Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3217,-5.3,5.38,-0.005955,
0.002,-0.2918,-4.7,-21.185,-0.004355,
0.004,-0.2558,-4.2,10.375,0.022222,
0.006,-0.1898,-4.6,6.766,0.036888,
0.008,-0.1679,-7.2,-32.347,0.000533,
0.01,-0.1795,-3.1,-25.975,-0.020622,
0.012,-0.1959,-4.6,6.836,-0.005955,
0.014,-0.1935,-5.2,6.776,0.004355,
0.016,-0.2014,-6.6,-1.086,0.002755,
0.018,-0.2027,-5.2,-19.659,-0.013599,
0.02,-0.2106,-5,1.881,-0.003822,
0.022,-0.2069,-5.4,2.297,0.003822,
0.024,-0.2149,-6.3,17.153,0.013511,
0.026,-0.2521,-5.6,-12.84,-0.015733,
0.028,-0.2985,-5.5,-3.404,-0.024444,
0.03,-0.351,-5.4,-0.826,-0.030933,
0.032,-0.4137,-6.5,21.102,-0.023822,
0.034,-0.5187,-6.1,-8.637,-0.052622,
0.036,-0.6298,-5.7,-1.698,-0.055911,
0.038,-0.7769,-5.7,-10.62,-0.081955,
0.04,-0.9063,-6,17.771,-0.060799,
0.042,-1.087,-6,-3.838,-0.092266,
0.044,-1.2719,-5.8,-3.466,-0.093866,
0.046,-1.4892,-5.9,-22.595,-0.120444,
0.048,-1.6863,-5.1,7.731,-0.107377,
0.05,-1.9219,-5.6,-1.199,-0.120977,
0.052,-2.1648,-5.6,0.53,-0.120977,
0.054,-2.4267,-6.4,-28.742,-0.144355,
0.056,-2.6763,-5,-24.155,-0.145422,
0.058,-2.9467,-5.1,1.862,-0.136177,
0.06,-3.2165,-5.1,-2.765,-0.137333,
0.062,-3.5046,-6.5,-11.129,-0.141066,
0.064,-3.7713,-5.3,-29.072,-0.150311,
0.066,-4.0594,-5.2,0.216,-0.141066,
0.068,-4.3432,-5.1,0.716,-0.143288,
0.07,-4.6392,-6.3,16.093,-0.132355,
0.072,-4.9462,-5.5,-25.435,-0.1584,
0.074,-5.2502,-5.3,-3.305,-0.154133,
0.076,-5.5566,-5.2,3.355,-0.149777,
0.078,-5.8733,-6.3,28.62,-0.139911,
0.08,-6.2182,-5.5,-8.051,-0.168711,
0.082,-6.5594,-5.4,-1.579,-0.171466,
0.084,-6.9244,-5.4,-8.157,-0.190488,
0.086,-7.2607,-5.9,20.867,-0.166577,
0.088,-7.6427,-5.8,0.697,-0.1888,
0.09,-8.0224,-5.7,1.695,-0.1888,
0.092,-8.4295,-5.6,-14.64,-0.209955,
0.094,-8.8195,-5.1,10.486,-0.193688,
0.096,-9.2461,-5.4,2.961,-0.213688,
0.098,-9.6734,-5.6,-0.725,-0.215377,
0.1,-10.1214,-6.2,-16.927,-0.233866,
0.102,-10.5639,-5.1,-4.725,-0.234399,
0.104,-11.0357,-5.4,0.799,-0.235466,
0.106,-11.5118,-5.5,-3.043,-0.235999,
0.108,-12.0074,-6.4,-15.653,-0.246844,
0.11,-12.4932,-5.4,-21.971,-0.255022,
0.112,-12.99,-5.3,-6.471,-0.251733,
0.114,-13.485,-5.2,1.057,-0.245777,
0.116,-13.9898,-6.1,6.094,-0.240888,
0.118,-14.4878,-5.5,-17.248,-0.251733,
0.12,-14.9932,-5.4,3.543,-0.251199,
0.122,-15.49,-5.3,0.11,-0.246311,
0.124,-15.9954,-6.2,6.823,-0.245244,
0.126,-16.5118,-5.6,-7.945,-0.257244,
0.128,-17.0312,-5.5,1.055,-0.258844,
0.13,-17.5555,-5.5,-2.251,-0.2648,
0.132,-18.0816,-6,3.966,-0.262044,
0.134,-18.6254,-5.7,-2.733,-0.270222,
0.136,-19.1759,-5.6,-0.974,-0.273422,
0.138,-19.7356,-5.5,-6.551,-0.2832,
0.14,-20.2898,-5.6,2.352,-0.278311,
0.142,-20.8654,-5.6,-2.519,-0.288088,
0.144,-21.4513,-5.3,-0.907,-0.292977,
0.146,-22.0464,-5.4,-7.063,-0.302755,
0.148,-22.6409,-5,7.069,-0.298933,
0.15,-23.2445,-5.2,5.681,-0.299466,
0.152,-23.8476,-5.3,1.307,-0.301688,
0.154,-24.4384,-5.6,-4.92,-0.3,
0.156,-25.0213,-5.1,-6.942,-0.296266,
0.158,-25.5859,-5.2,2.382,-0.280533,
0.16,-26.1437,-5.2,4.265,-0.278311,
0.162,-26.6985,-5.8,1.736,-0.273955,
0.164,-27.2448,-5.4,-9.178,-0.277244,
0.166,-27.7862,-5.4,-2.318,-0.272355,
0.168,-28.3269,-5.5,0.358,-0.270133,
0.17,-28.8744,-5.8,2.556,-0.2712,
0.172,-29.425,-5.6,-6.144,-0.276711,
0.174,-29.981,-5.8,-1.961,-0.279911,
0.176,-30.5437,-5.9,-4.689,-0.2848,
0.178,-31.123,-5.9,1.39,-0.286488,
0.18,-31.7217,-5.8,-4.75,-0.297866,
0.182,-32.3308,-5.7,-6.763,-0.307022,
0.184,-32.9626,-5.6,-2.58,-0.318488,
0.186,-33.5912,-5.6,2.022,-0.312977,
0.188,-34.2388,-5.5,1.745,-0.320088,
0.19,-34.8846,-5.4,3.369,-0.321244,
0.192,-35.526,-5.5,0.728,-0.320622,
0.194,-36.1639,-5.4,-0.391,-0.319022,
0.196,-36.7931,-5.4,2.046,-0.312977,
0.198,-37.4224,-5.4,-0.255,-0.313066,
0.2,-38.0413,-5.3,-1.232,-0.308711,
0.202,-38.6596,-5.5,-0.15,-0.308177,
0.204,-39.2779,-5.4,-2.688,-0.309777,
0.206,-39.898,-5.4,-1.939,-0.312,
0.208,-40.5083,-5.2,4.709,-0.304888,
0.21,-41.1272,-5.4,4.922,-0.305422,
0.212,-41.7467,-5.4,-3.248,-0.307022,
0.214,-42.3766,-5.3,-2.659,-0.312977,
0.216,-42.9919,-5.1,-3.609,-0.315822,
0.218,-43.6162,-5.2,10.75,-0.307555,
0.22,-44.229,-5.3,3.704,-0.305955,
0.222,-44.84,-5.3,1.53,-0.304888,
0.224,-45.4369,-5,-6.857,-0.304355,
0.226,-46.0186,-5.3,4.882,-0.288622,
0.228,-46.6015,-5.2,0.508,-0.290844,
0.23,-47.1667,-5.3,3.249,-0.278311,
0.232,-47.7404,-5.1,-10.073,-0.288088,
0.234,-48.297,-5.3,0.552,-0.282044,
0.236,-48.8561,-5.4,0.156,-0.279377,
0.238,-49.4103,-5.5,4.776,-0.272888,
0.24,-49.9779,-5.4,-8.652,-0.283733,
0.242,-50.5389,-5.3,-3.568,-0.281066,
0.244,-51.0979,-5.3,-0.549,-0.282666,
0.246,-51.6521,-5.3,8.179,-0.273422,
0.248,-52.2228,-5.5,-5.047,-0.280444,
0.25,-52.7819,-5.2,1.606,-0.279911,
0.252,-53.3404,-5.3,0.695,-0.28,
0.254,-53.8903,-4.6,10.187,-0.2696,
0.256,-54.4421,-5.5,12.55,-0.266933,
0.258,-54.9767,-5.4,-2.163,-0.268533,
0.26,-55.5077,-5.3,1.273,-0.263111,
0.262,-56.0302,-4.5,5.336,-0.260444,
0.264,-56.549,-5.5,10.159,-0.252799,
0.266,-57.0599,-5.3,-1.929,-0.255555,
0.268,-57.5701,-5.4,-1.826,-0.257688,
0.27,-58.0724,-4.7,2.054,-0.252799,
0.272,-58.5656,-5.4,9.208,-0.244177,
0.274,-59.06,-5.3,-2.089,-0.245777,
0.276,-59.555,-5.3,0.74,-0.247466,
0.278,-60.0426,-4.6,-11.558,-0.251733,
0.28,-60.5108,-5.2,6.769,-0.233866,
0.282,-60.985,-5.3,0.081,-0.239822,
0.284,-61.4361,-5.3,2.4,-0.220799,
0.286,-61.9146,-4.6,-23.304,-0.241955,
0.288,-62.3467,-4.9,1.033,-0.218044,
0.29,-62.7843,-5.1,2.98,-0.220266,
0.292,-63.1884,-5.4,15.318,-0.191555,
0.294,-63.6199,-7.2,-10.687,-0.216444,
0.296,-63.988,-3.6,-0.214,-0.186133,
0.298,-64.3511,-6.4,2.479,-0.180622,
0.3,-64.688,-6.1,19.126,-0.1568,
0.302,-65.0317,-6.6,7.095,-0.161155,
0.304,-65.3466,-6.3,5.688,-0.154044,
0.306,-65.6548,-6.4,0.548,-0.154577,
0.308,-65.9429,-6.3,17.188,-0.143733,
0.31,-66.2383,-6.7,24.259,-0.133955,
0.312,-66.5185,-6.7,3.126,-0.139466,
0.314,-66.795,-7.2,-0.071,-0.137333,
0.316,-67.0495,-6.5,-9.378,-0.138933,
0.318,-67.3186,-7.7,22.156,-0.122577,
0.32,-67.5732,-7.1,-0.157,-0.127555,
0.322,-67.8313,-7.3,-3.951,-0.133422,
0.324,-68.084,-6.9,-24.344,-0.149155,
0.326,-68.3117,-8.3,12.341,-0.117777,
0.328,-68.5509,-8.1,-2.651,-0.120444,
0.33,-68.7713,-8.4,-1.912,-0.103644,
0.332,-69.0221,-7.7,-30.415,-0.127466,
0.334,-69.2364,-9.3,4.544,-0.108533,
0.336,-69.4506,-10.2,-2.223,-0.108533,
0.338,-69.6422,-10.5,9.211,-0.089511,
0.34,-69.8662,-10.7,-19.605,-0.114399,
0.342,-70.0518,-10.9,-3.552,-0.094933,
0.344,-70.2386,-12.9,-0.951,-0.092266,
0.346,-70.3844,-18.8,28.285,-0.058577,
0.348,-70.5328,-24.7,2.39,-0.059199,
0.35,-70.6072,-27.8,7.271,-0.032533,
0.352,-70.6493,-29.5,6.643,-0.017866,
0.354,-70.6438,-28.2,31.958,0.016888,
0.356,-70.6457,-28.8,24.242,0.011377,
0.358,-70.6383,-28.3,1.903,0.005422,
0.36,-70.6426,-28.5,0.019,-0.003822,
0.362,-70.6402,-27.8,9.377,-0.009777,
0.364,-70.6542,-29.1,27.34,0.005422,
0.366,-70.667,-29.9,0.122,-0.005955,
0.368,-70.6835,-31.1,-1.852,-0.008088,
0.37,-70.7098,-31.3,-27.63,-0.038044,
0.372,-70.7146,-32.8,21.866,-0.004266,
0.374,-70.7256,-33.7,-4.33,-0.008622,
0.376,-70.7537,-34.7,-2.927,-0.020088,
0.378,-70.7653,-34,-35.442,-0.030933,
0.38,-70.758,-35.2,8.152,-0.002755,
0.382,-70.761,-35.4,0.221,-0.004355,
0.384,-70.711,-36,15.552,0.046133,
0.386,-70.7561,-33.8,-65.606,-0.021155,
0.388,-70.7207,-33.2,-13.352,0.010844,
0.39,-70.7159,-32.8,-5.232,0.001066,
0.392,-70.6365,-32.3,52.678,0.071644,
0.394,-70.6683,-30.9,-48.365,-0.018488,
0.396,-70.5987,-26.4,-15.561,0.033066,
0.398,-70.5529,-23.6,-6.741,0.020622,
0.4,-70.4687,-18.3,63.254,0.077511,
0.402,-70.4436,-19,17.398,0.048888,
0.404,-70.3594,-15.7,-5.363,0.042844,
0.406,-70.2856,-14.1,-1.365,0.0352,
0.408,-70.1781,-8.8,38.872,0.050488,
0.41,-70.0951,-12.8,69.148,0.0792,
0.412,-69.9615,-10.4,4.25,0.067822,
0.414,-69.8077,-9.7,9.585,0.080266,
0.416,-69.6166,-8.8,-3.809,0.086311,
0.418,-69.4067,-10.5,30.589,0.118755,
0.42,-69.1509,-9.2,7.575,0.131288,
0.422,-68.8708,-8.4,8.113,0.143733,
0.424,-68.5674,-8.2,7.964,0.156266,
0.426,-68.2445,-7.8,4.139,0.162222,
0.428,-67.8979,-7.4,1.934,0.176266,
0.43,-67.5536,-7,1.97,0.169333,
0.432,-67.1752,-8,32.753,0.196444,
0.434,-66.8297,-6.3,0.075,0.176888,
0.436,-66.4709,-6.3,6.326,0.182844,
0.438,-66.1632,-6.5,-26.627,0.132977,
0.44,-65.7854,-6.9,44.738,0.192088,
0.442,-65.4919,-6.6,8.383,0.148088,
0.444,-65.2013,-6.7,0.434,0.143288,
0.446,-64.9987,-6.7,-56.234,0.071644,
0.448,-64.7143,-6.4,22.955,0.114488,
0.45,-64.5318,-6.6,5.935,0.084622,
0.452,-64.37,-6.8,-2.868,0.080355,
0.454,-64.2901,-6.8,-82.334,-0.005955,
0.456,-64.1747,-6.5,-84.371,-0.006488,
0.458,-64.1363,-6.6,-8.024,0.010844,
0.46,-64.118,-6.8,-3.414,0.007555,
0.462,-64.1857,-6.9,-51.768,-0.019555,
0.464,-64.182,-6.3,-97,-0.049333,
0.466,-64.2553,-6.6,-4.682,-0.034755,
0.468,-64.3249,-6.5,1.65,-0.035288,
0.47,-64.4439,-7,49.991,-0.0016,
0.472,-64.5592,-6.3,-79.61,-0.073777,
0.474,-64.7155,-6.7,-0.804,-0.073777,
0.476,-64.8479,-6.4,5.41,-0.058577,
0.478,-65.003,-7.2,102.623,-0.009244,
0.48,-65.2441,-6.3,-21.967,-0.104177,
0.482,-65.454,-7.2,3.39,-0.106844,
0.484,-65.7128,-6.7,-8.527,-0.142666,
0.486,-65.9057,-7.6,58.617,-0.0928,
0.488,-66.1797,-6.5,4.23,-0.131822,
0.49,-66.4605,-7.3,-2.242,-0.141066,
0.492,-66.7663,-7,-16.305,-0.162222,
0.494,-67.044,-7.6,14.272,-0.137777,
0.496,-67.3595,-7.7,1.144,-0.16,
0.498,-67.6787,-7.9,-0.492,-0.16,
0.5,-68.0071,-8.7,-1.173,-0.164355,
0.502,-68.3349,-9.4,-1.04,-0.164444,
0.504,-68.6724,-10.2,0.055,-0.170311,
0.506,-69.0063,-10.7,-2.17,-0.1704,
0.508,-69.3212,-9.5,19.742,-0.157333,
0.51,-69.6471,-12.7,26.994,-0.147555,
0.512,-69.9547,-12.8,0.142,-0.157333,
0.514,-70.2569,-13.7,2.439,-0.152444,
0.516,-70.4974,-22,-13.638,-0.143822,
0.518,-70.7262,-34,73.902,-0.076444,
0.52,-70.8526,-41.1,17.221,-0.055377,
0.522,-70.9234,-43.9,15.066,-0.035288,
0.524,-70.9106,-39.8,-62.347,-0.053244,
0.526,-70.8178,-36.8,43.981,0.034133,
0.528,-70.7671,-33.8,-12.058,0.019555,
0.53,-70.736,-32.9,-22,0.017866,
0.532,-70.769,-28.4,-116.307,-0.064622,
0.534,-70.7262,-30.5,-0.514,0.006577,
0.536,-70.736,-31.6,-9.019,-0.008711,
0.538,-70.6695,-34.1,35.163,0.066133,
0.54,-70.7586,-33.4,-76.882,-0.044,
0.542,-70.7207,-32.1,-21.57,0.014133,
0.544,-70.7134,-31.6,-5.364,0.002755,
0.546,-70.6359,-30.3,63.349,0.071111,
0.548,-70.6683,-30.6,-21.008,0.009688,
0.55,-70.6127,-26.5,-8.998,0.030399,
0.552,-70.573,-24.6,0.658,0.022311,
0.554,-70.5071,-19.2,56.05,0.063999,
0.556,-70.4803,-19.8,41.409,0.062399,
0.558,-70.4034,-17,-5.633,0.037955,
0.56,-70.3307,-15.4,3.689,0.032533,
0.562,-70.2135,-10.6,16.679,0.044,
0.564,-70.1275,-12.4,56.481,0.076977,
0.566,-69.9901,-10.7,9.086,0.072711,
0.568,-69.8272,-10.6,4.903,0.085155,
0.57,-69.6313,-9.4,-12.423,0.085688,
0.572,-69.3981,-11,33.564,0.126933,
0.574,-69.1332,-9.8,7.418,0.138933,
0.576,-68.8445,-9,5.729,0.147022,
0.578,-68.5326,-8.6,4.959,0.158488,
0.58,-68.2018,-8.2,6.454,0.167111,
0.582,-67.8503,-7.8,3.096,0.1768,
0.584,-67.5066,-7.4,-2.569,0.166044,
0.586,-67.1203,-8.2,27.676,0.194222,
0.588,-66.7718,-6.7,2.296,0.177955,
0.59,-66.4098,-6.4,-2.689,0.177955,
0.592,-66.0937,-6.4,-33.641,0.139911,
0.594,-65.7293,-6.5,29.836,0.186577,
0.596,-65.4363,-6.6,3.094,0.144355,
0.598,-65.1513,-6.7,-0.479,0.1416,
0.6,-64.9407,-6.8,-61.248,0.077066,
0.602,-64.6819,-6.5,-11.252,0.088977,
0.604,-64.5074,-6.6,-3.907,0.0808,
0.606,-64.3566,-6.7,-7.089,0.071111,
0.608,-64.2864,-6.9,-75.029,0.020622,
0.61,-64.1845,-6.4,-109.468,-0.011911,
0.612,-64.1552,-6.7,-11.972,0.005422,
0.614,-64.1418,-6.7,-2.869,0.005955,
0.616,-64.2168,-7,-13.632,-0.005422,
0.618,-64.2107,-6.2,-104.474,-0.046666,
0.62,-64.2852,-6.7,-6.617,-0.041244,
0.622,-64.3413,-6.5,4.84,-0.027111,
0.624,-64.414,-7.1,84.606,0.036888,
0.626,-64.5721,-6.3,-51.118,-0.060266,
