Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1636,-5.4,-1.672,0,
0.002,-0.1636,-5.3,4.412,0.0016,
0.004,-0.1648,-5.3,0.643,-0.002133,
0.006,-0.1624,-5.3,-0.896,0.002666,
0.008,-0.1636,-5.3,-4.205,-0.0016,
0.01,-0.1642,-5.3,0.854,-0.002755,
0.012,-0.1624,-5.3,3.565,0.001066,
0.014,-0.1636,-5.3,2.752,-0.000533,
0.016,-0.1618,-5.3,-1.152,-0.000622,
0.018,-0.163,-5.3,0.384,0.000533,
0.02,-0.1624,-5.4,-0.618,0,
0.022,-0.1636,-5.3,1.833,0.002133,
0.024,-0.1618,-5.3,-1.866,0.000533,
0.026,-0.1611,-5.4,2.864,0.002755,
0.028,-0.166,-5.3,1.463,-0.0032,
0.03,-0.1611,-5.2,2.167,0.002222,
0.032,-0.1636,-5.3,-0.717,-0.002222,
0.034,-0.1618,-5.3,-1.768,0.0016,
0.036,-0.1648,-5.4,3.691,-0.001066,
0.038,-0.1618,-5.3,0.968,0.002666,
0.04,-0.1624,-5.3,0.444,0.0016,
0.042,-0.1624,-5.4,2.142,0.002133,
0.044,-0.163,-5.2,3.064,0.000533,
0.046,-0.1654,-5.3,1.485,-0.0016,
0.048,-0.1636,-5.4,-1.573,0,
0.05,-0.166,-5.3,-0.81,-0.003733,
0.052,-0.1673,-5.3,0.521,-0.004355,
0.054,-0.1642,-5.3,-0.889,-0.000533,
0.056,-0.1642,-5.3,4.105,0.003288,
0.058,-0.1654,-5.3,2.185,0.001688,
0.06,-0.163,-5.3,1.254,0.001066,
0.062,-0.1624,-5.3,-1.172,0.001066,
0.064,-0.166,-5.3,-2.217,-0.002666,
0.066,-0.1654,-5.3,-0.263,-0.0016,
0.068,-0.1654,-5.3,-1.684,-0.002133,
0.07,-0.1654,-5.3,1.504,0.000533,
0.072,-0.1666,-5.3,0.687,0,
0.074,-0.1642,-5.4,-0.393,-0.000533,
0.076,-0.166,-5.3,0.162,0,
0.078,-0.1666,-5.3,0.608,0.001155,
0.08,-0.1636,-5.3,1.565,0.0016,
0.082,-0.1673,-5.3,-1.888,-0.000622,
0.084,-0.166,-5.4,3.439,0.003288,
0.086,-0.1679,-5.3,1.595,0.002666,
0.088,-0.1703,-5.4,-1.784,-0.002133,
0.09,-0.1727,-5.4,-0.416,-0.000533,
0.092,-0.1813,-5.3,-0.432,-0.005955,
0.094,-0.1795,-5.3,0.698,0,
0.096,-0.1788,-5.3,4.235,0.001688,
0.098,-0.1825,-5.4,1.441,-0.002133,
0.1,-0.1843,-5.3,0.875,-0.001066,
0.102,-0.1831,-5.4,-1.464,0.001066,
0.104,-0.1862,-5.3,-2.337,-0.002755,
0.106,-0.1898,-5.3,1.704,-0.002666,
0.108,-0.188,-5.3,0.123,-0.000533,
0.11,-0.1923,-5.3,0.472,-0.001066,
0.112,-0.1959,-5.4,0.543,-0.0016,
0.114,-0.2075,-5.5,-0.773,-0.004888,
0.116,-0.2277,-5.6,-2.776,-0.013599,
0.118,-0.2521,-5.5,-4.557,-0.016266,
0.12,-0.2844,-5.6,-4.435,-0.017333,
0.122,-0.3247,-5.5,-2.217,-0.022222,
0.124,-0.3661,-5.5,3.484,-0.022133,
0.126,-0.415,-5.4,4.711,-0.023377,
0.128,-0.4638,-5.3,-2.85,-0.024977,
0.13,-0.5126,-5.3,-0.822,-0.026577,
0.132,-0.559,-5.3,-1.551,-0.021155,
0.134,-0.609,-5.3,1.079,-0.024888,
0.136,-0.6573,-5.3,2.686,-0.023377,
0.138,-0.7037,-5.2,0.761,-0.023377,
0.14,-0.747,-5.3,-1.334,-0.023377,
0.142,-0.7909,-5.2,1.84,-0.022755,
0.144,-0.8324,-5.2,-1.825,-0.021155,
0.146,-0.8709,-5.2,0.727,-0.020088,
0.148,-0.9051,-5.3,3.806,-0.016888,
0.15,-0.9386,-5.2,2.109,-0.015733,
0.152,-0.9753,-5.4,-4.847,-0.018488,
0.154,-1.0039,-5.3,-0.298,-0.014044,
0.156,-1.04,-5.4,-0.145,-0.016888,
0.158,-1.076,-5.3,0.218,-0.017422,
0.16,-1.1077,-5.3,-2.411,-0.0184,
