Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3027,-5.3,-0.306,0.001066,
0.002,-0.2813,-4.6,-11.922,-0.005422,
0.004,-0.2484,-4.1,11.396,0.018933,
0.006,-0.1819,-4.6,7.132,0.0352,
0.008,-0.1434,-7.1,-14.619,0.010844,
0.01,-0.1587,-4.8,-10.41,-0.009777,
0.012,-0.1727,-4.7,2.928,-0.002755,
0.014,-0.1739,-5.4,6.784,0.005422,
0.016,-0.1672,-5.9,1.031,0.000533,
0.018,-0.1715,-5.1,0.78,-0.003822,
0.02,-0.1715,-5.2,5.37,0.000533,
0.022,-0.1696,-5.6,1.022,0.003288,
0.024,-0.1733,-5.3,-1.98,-0.001066,
0.026,-0.1727,-5.2,-3.427,-0.000533,
0.028,-0.1751,-5.4,-3.978,-0.001066,
0.03,-0.1776,-5.5,-5.047,-0.006488,
0.032,-0.1751,-5.2,-2.979,-0.0016,
0.034,-0.1751,-5.3,-2.308,-0.003733,
0.036,-0.1764,-5.2,-1.942,-0.000533,
0.038,-0.1758,-5.3,0.669,0.0016,
0.04,-0.1788,-5.3,-1.303,-0.002666,
0.042,-0.1819,-5.3,-2.243,-0.004888,
0.044,-0.1861,-5.4,-1.977,-0.005422,
0.046,-0.1959,-5.7,-6.793,-0.006488,
0.048,-0.1959,-5.4,-2.656,-0.002133,
0.05,-0.2081,-5.3,-0.959,-0.004888,
0.052,-0.2191,-5.4,-0.116,-0.003288,
0.054,-0.2331,-5.4,-3.343,-0.005422,
0.056,-0.2502,-5.5,-3.802,-0.008711,
0.058,-0.274,-5.6,-2.959,-0.010844,
0.06,-0.3051,-5.5,-1.426,-0.014044,
0.062,-0.3466,-5.8,1.113,-0.019466,
0.064,-0.3948,-5.6,-0.397,-0.026044,
0.066,-0.4564,-5.6,2.768,-0.028711,
0.068,-0.5248,-5.6,0.72,-0.034755,
0.07,-0.5956,-5.5,-0.472,-0.036355,
0.072,-0.6743,-5.5,-3.629,-0.039555,
0.074,-0.753,-5.5,1.08,-0.039022,
0.076,-0.8452,-5.4,-3.169,-0.051022,
0.078,-0.9325,-5.6,0.515,-0.046666,
0.08,-1.0332,-5.3,-0.86,-0.051022,
0.082,-1.1339,-5.3,1.5,-0.049333,
0.084,-1.2438,-5.3,2.945,-0.052622,
0.086,-1.3433,-5.3,3.297,-0.049422,
0.088,-1.4434,-5.3,0.272,-0.048355,
0.09,-1.5453,-5.2,-0.153,-0.050488,
0.092,-1.6484,-5.6,-7.673,-0.053155,
0.094,-1.7479,-5.5,-5.029,-0.054222,
0.096,-1.8517,-5.2,-5.302,-0.053688,
0.098,-1.9542,-5.3,1.575,-0.051555,
0.1,-2.0531,-5.3,-0.361,-0.050488,
0.102,-2.1532,-5.3,1.219,-0.049955,
0.104,-2.2539,-5.3,-5.242,-0.052622,
0.106,-2.3528,-5.3,0.978,-0.049955,
0.108,-2.4523,-5.6,3.522,-0.046133,
0.11,-2.5658,-5.5,-0.269,-0.053688,
0.112,-2.6787,-5.4,-0.096,-0.057511,
