Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3185,0.8,-0.007555,
0.002,-0.3143,0.7,-0.001688,
0.004,-0.3173,0.8,-0.0032,
0.006,-0.3143,0.7,0,
0.008,-0.3179,0.8,0.001066,
0.01,-0.3161,0.8,0.003288,
0.012,-0.3191,0.7,-0.000533,
0.014,-0.324,0.7,-0.000533,
0.016,-0.3295,0.5,-0.002133,
0.018,-0.3491,0.1,-0.012533,
0.02,-0.3887,0.1,-0.022755,
0.022,-0.4424,0.1,-0.026577,
0.024,-0.5175,0.1,-0.037422,
0.026,-0.6091,0.2,-0.0472,
0.028,-0.7165,0.2,-0.057511,
0.03,-0.8331,0.3,-0.060799,
0.032,-0.9594,0.3,-0.0656,
0.034,-1.1004,0.4,-0.068355,
0.036,-1.2432,0.5,-0.072711,
0.038,-1.3946,0.5,-0.076533,
0.04,-1.5594,0.5,-0.085155,
0.042,-1.7211,0.6,-0.086755,
0.044,-1.8841,0.6,-0.086311,
0.046,-2.058,0.8,-0.087822,
0.048,-2.2332,0.7,-0.088444,
0.05,-2.4065,0.7,-0.084622,
0.052,-2.589,0.8,-0.090044,
0.054,-2.7721,0.6,-0.091644,
0.056,-2.9577,0.6,-0.095466,
0.058,-3.1524,0.6,-0.098222,
0.06,-3.3514,0.6,-0.101511,
0.062,-3.554,0.5,-0.102488,
0.064,-3.7658,0.5,-0.108533,
0.066,-3.9837,0.5,-0.109066,
0.068,-4.2162,0.5,-0.116622,
0.07,-4.4524,0.4,-0.120977,
0.072,-4.6996,0.4,-0.126399,
0.074,-4.9627,0.4,-0.131822,
0.076,-5.2282,0.3,-0.136177,
0.078,-5.5059,0.4,-0.1416,
0.08,-5.7958,0.4,-0.146488,
0.082,-6.0961,0.4,-0.150844,
0.084,-6.405,0.4,-0.155733,
0.086,-6.7254,0.4,-0.162222,
0.088,-7.0556,0.4,-0.166577,
0.09,-7.3937,0.4,-0.168711,
0.092,-7.7435,0.4,-0.177422,
0.094,-8.1017,0.5,-0.180622,
0.096,-8.471,0.5,-0.183911,
0.098,-8.8506,0.5,-0.192,
0.1,-9.2388,0.4,-0.193688,
0.102,-9.6423,0.4,-0.201866,
0.104,-10.05,0.4,-0.206222,
0.106,-10.4711,0.4,-0.211555,
0.108,-10.902,0.4,-0.216444,
0.11,-11.3433,0.4,-0.224088,
0.112,-11.7931,0.4,-0.226755,
0.114,-12.2515,0.5,-0.227822,
0.116,-12.7172,0.5,-0.230044,
0.118,-13.1921,0.5,-0.234399,
0.12,-13.6706,0.4,-0.237066,
0.122,-14.1522,0.5,-0.239822,
0.124,-14.6343,0.3,-0.242488,
0.126,-15.1183,0.3,-0.244088,
0.128,-15.6127,0.3,-0.245777,
0.13,-16.1138,0.2,-0.253333,
0.132,-16.6265,0.3,-0.258222,
0.134,-17.1465,0.2,-0.262044,
0.136,-17.6788,0.3,-0.268622,
0.138,-18.2226,0.3,-0.271288,
0.14,-18.7792,0.3,-0.280444,
0.142,-19.342,0.2,-0.285955,
0.144,-19.9163,0.3,-0.285333,
0.146,-20.5084,0.4,-0.2968,
0.148,-21.1071,0.4,-0.302755,
0.15,-21.7223,0.9,-0.310844,
0.152,-22.3406,0.9,-0.311911,
0.154,-22.9595,1,-0.305955,
0.156,-23.5741,1.1,-0.302133,
0.158,-24.1784,1,-0.2984,
0.16,-24.7692,1,-0.295111,
0.162,-25.3375,1.1,-0.284355,
0.164,-25.8874,1,-0.272355,
0.166,-26.422,1,-0.265777,
0.168,-26.9402,0.9,-0.255466,
0.17,-27.4487,0.9,-0.251199,
0.172,-27.9443,0.8,-0.249599,
0.174,-28.4362,0.7,-0.244088,
0.176,-28.9288,0.7,-0.245244,
0.178,-29.414,0.5,-0.242488,
0.18,-29.9041,0.5,-0.244711,
0.182,-30.396,0.5,-0.247911,
0.184,-30.8917,0.5,-0.247999,
0.186,-31.3952,0.5,-0.251199,
0.188,-31.9054,0.5,-0.258222,
0.19,-32.423,0.6,-0.257688,
0.192,-32.9424,0.6,-0.262044,
0.194,-33.4741,0.7,-0.263733,
0.196,-34.0032,0.8,-0.263111,
0.198,-34.5226,0.8,-0.258222,
0.2,-35.0457,0.8,-0.259288,
0.202,-35.5572,0.8,-0.256622,
0.204,-36.065,0.8,-0.255555,
0.206,-36.56,0.8,-0.247377,
0.208,-37.0477,0.9,-0.244177,
0.21,-37.528,0.8,-0.239288,
0.212,-38.001,0.8,-0.235999,
0.214,-38.4655,0.8,-0.233866,
0.216,-38.9282,0.9,-0.230044,
0.218,-39.3841,0.8,-0.227377,
0.22,-39.8364,0.9,-0.227377,
0.222,-40.2868,0.8,-0.227288,
0.224,-40.7342,0.8,-0.226222,
0.226,-41.1736,0.8,-0.221333,
0.228,-41.618,0.8,-0.218666,
0.23,-42.0617,0.8,-0.219199,
0.232,-42.4987,0.9,-0.215911,
0.234,-42.9376,0.9,-0.220888,
0.236,-43.3691,0.9,-0.215911,
0.238,-43.7975,0.8,-0.216977,
0.24,-44.2107,0.8,-0.206133,
0.242,-44.6276,0.9,-0.206666,
0.244,-45.0304,1,-0.199644,
0.246,-45.4296,0.9,-0.197422,
0.248,-45.819,0.9,-0.195822,
0.25,-46.206,0.9,-0.189866,
0.252,-46.5875,0.9,-0.192088,
0.254,-46.9598,0.8,-0.186133,
0.256,-47.3309,0.9,-0.183911,
0.258,-47.6965,0.8,-0.182311,
0.26,-48.0572,0.8,-0.179022,
0.262,-48.4191,0.8,-0.181155,
0.264,-48.7811,0.8,-0.181777,
0.266,-49.1369,0.7,-0.177955,
0.268,-49.4952,0.8,-0.181777,
0.27,-49.8455,0.8,-0.1752,
0.272,-50.1959,0.8,-0.170933,
0.274,-50.5431,0.8,-0.171377,
0.276,-50.8917,0.9,-0.171466,
0.278,-51.2316,0.9,-0.170311,
0.28,-51.5704,0.8,-0.166044,
0.282,-51.9097,0.8,-0.167111,
0.284,-52.2411,0.8,-0.165422,
0.286,-52.5713,0.9,-0.160533,
0.288,-52.8979,0.9,-0.161688,
0.29,-53.2214,0.8,-0.163288,
