Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3178,0.8,-0.000533,
0.002,-0.3209,0.8,-0.000533,
0.004,-0.3209,0.8,-0.000533,
0.006,-0.3221,0.8,0.001066,
0.008,-0.3233,0.8,-0.0016,
0.01,-0.3246,0.8,0.001066,
0.012,-0.3307,0.8,-0.003822,
0.014,-0.3313,0.8,-0.003822,
0.016,-0.3374,0.5,-0.004355,
0.018,-0.3532,0.1,-0.008622,
0.02,-0.3911,0.1,-0.019555,
0.022,-0.4533,0.1,-0.029244,
0.024,-0.5309,0.2,-0.041777,
0.026,-0.623,0.2,-0.048266,
0.028,-0.7298,0.3,-0.053155,
0.03,-0.8543,0.4,-0.065066,
0.032,-0.9837,0.4,-0.0672,
0.034,-1.1266,0.5,-0.072177,
0.036,-1.2755,0.5,-0.074844,
0.038,-1.4317,0.6,-0.076444,
0.04,-1.5978,0.7,-0.082488,
0.042,-1.7668,0.7,-0.086755,
0.044,-1.9359,0.8,-0.085155,
0.046,-2.1129,0.7,-0.087377,
0.048,-2.2929,0.8,-0.089511,
0.05,-2.4736,0.7,-0.093866,
0.052,-2.6579,0.7,-0.0944,
0.054,-2.8465,0.7,-0.095466,
0.056,-3.0364,0.7,-0.092266,
0.058,-3.2317,0.7,-0.098755,
0.06,-3.4349,0.6,-0.103111,
0.062,-3.6418,0.5,-0.104711,
0.064,-3.8524,0.5,-0.106844,
0.066,-4.0733,0.5,-0.112266,
0.068,-4.3041,0.4,-0.115644,
0.07,-4.539,0.5,-0.120444,
0.072,-4.7905,0.5,-0.124266,
0.074,-5.0481,0.4,-0.132444,
0.076,-5.3124,0.4,-0.131377,
0.078,-5.5888,0.4,-0.1416,
0.08,-5.8818,0.4,-0.148088,
0.082,-6.1791,0.4,-0.147111,
0.084,-6.4909,0.3,-0.1568,
0.086,-6.8114,0.4,-0.159555,
0.088,-7.1483,0.4,-0.169244,
0.09,-7.4864,0.4,-0.172533,
0.092,-7.8392,0.4,-0.177955,
0.094,-8.2054,0.4,-0.186044,
0.096,-8.5777,0.4,-0.186044,
0.098,-8.9641,0.4,-0.195288,
0.1,-9.362,0.5,-0.201777,
0.102,-9.7655,0.5,-0.201866,
0.104,-10.1817,0.5,-0.209422,
0.106,-10.6102,0.5,-0.216444,
0.108,-11.0429,0.4,-0.216977,
0.11,-11.4873,0.5,-0.226222,
0.112,-11.9426,0.5,-0.230044,
0.114,-12.4046,0.5,-0.231644,
0.116,-12.8758,0.5,-0.241955,
0.118,-13.3434,0.5,-0.238222,
0.12,-13.8231,0.5,-0.239288,
0.122,-14.3004,0.5,-0.240355,
0.124,-14.7868,0.4,-0.245777,
0.126,-15.2776,0.4,-0.245777,
0.128,-15.7713,0.3,-0.246311,
0.13,-16.2767,0.3,-0.253333,
0.132,-16.7925,0.3,-0.258311,
0.134,-17.3143,0.2,-0.262577,
0.136,-17.8532,0.4,-0.270666,
0.138,-18.3971,0.3,-0.272888,
0.14,-18.9555,0.3,-0.281511,
0.142,-19.5244,0.4,-0.285955,
0.144,-20.103,0.4,-0.292444,
0.146,-20.6944,0.3,-0.300533,
0.148,-21.3023,0.5,-0.305422,
0.15,-21.9151,0.8,-0.309244,
0.152,-22.5426,1,-0.312,
0.154,-23.1633,1,-0.309777,
0.156,-23.7712,1.1,-0.302222,
0.158,-24.3675,1.1,-0.293511,
0.16,-24.9504,1.1,-0.282133,
0.162,-25.5174,1.2,-0.281511,
0.164,-26.0613,1,-0.2664,
0.166,-26.5929,1,-0.265333,
0.168,-27.1104,0.9,-0.259288,
0.17,-27.6152,0.9,-0.249599,
0.172,-28.1114,0.8,-0.246311,
0.174,-28.6046,0.7,-0.244711,
0.176,-29.0941,0.6,-0.245777,
0.178,-29.5793,0.6,-0.239822,
0.18,-30.0652,0.6,-0.240888,
0.182,-30.5577,0.5,-0.238133,
0.184,-31.0594,0.5,-0.251199,
0.186,-31.5605,0.5,-0.256622,
0.188,-32.0702,0.5,-0.256622,
0.19,-32.5877,0.6,-0.252266,
0.192,-33.1169,0.6,-0.264711,
0.194,-33.6491,0.7,-0.2696,
0.196,-34.1704,0.9,-0.259377,
0.198,-34.6953,0.9,-0.257155,
0.2,-35.2147,0.8,-0.256088,
0.202,-35.7292,0.9,-0.257688,
0.204,-36.2279,0.9,-0.249066,
0.206,-36.7223,0.8,-0.245777,
0.208,-37.2075,0.9,-0.241422,
0.21,-37.6848,0.9,-0.239288,
0.212,-38.1529,0.9,-0.232711,
0.214,-38.6168,0.9,-0.228977,
0.216,-39.0801,0.8,-0.228444,
0.218,-39.5366,0.8,-0.227288,
0.22,-39.9889,0.8,-0.226844,
0.222,-40.4344,0.8,-0.222399,
0.224,-40.8843,0.8,-0.225777,
0.226,-41.328,0.8,-0.221333,
0.228,-41.7711,0.9,-0.223555,
0.23,-42.2093,0.9,-0.218577,
0.232,-42.6457,0.9,-0.214311,
0.234,-43.0809,0.9,-0.218133,
0.236,-43.513,0.9,-0.220266,
0.238,-43.9342,0.9,-0.209422,
0.24,-44.3492,1,-0.206133,
0.242,-44.7594,0.9,-0.203466,
0.244,-45.1628,0.9,-0.201244,
0.246,-45.5602,1,-0.198044,
0.248,-45.9483,0.9,-0.193066,
0.25,-46.3365,1,-0.194222,
0.252,-46.7113,0.9,-0.187733,
0.254,-47.0866,0.9,-0.187111,
0.256,-47.4559,0.9,-0.183377,
0.258,-47.8191,0.9,-0.180711,
0.26,-48.1816,0.9,-0.182844,
0.262,-48.5393,0.8,-0.179555,
0.264,-48.8951,0.8,-0.177422,
0.266,-49.2491,0.8,-0.176266,
0.268,-49.6025,0.8,-0.174666,
0.27,-49.9529,0.8,-0.172533,
0.272,-50.302,0.9,-0.174755,
0.274,-50.6487,0.8,-0.172,
0.276,-50.9947,0.8,-0.172533,
0.278,-51.3359,0.9,-0.171466,
0.28,-51.6777,0.8,-0.1736,
0.282,-52.0158,0.9,-0.163288,
0.284,-52.3534,0.9,-0.169333,
0.286,-52.6793,0.9,-0.160088,
0.288,-53.0077,0.9,-0.161688,
0.29,-53.3287,0.9,-0.16,
0.292,-53.6485,0.9,-0.158933,
0.294,-53.9604,0.9,-0.157333,
0.296,-54.2687,0.9,-0.152533,
0.298,-54.5665,0.8,-0.148088,
0.3,-54.8644,0.9,-0.148711,
0.302,-55.1592,0.9,-0.144355,
0.304,-55.4436,0.9,-0.142133,
0.306,-55.7292,0.9,-0.142666,
0.308,-56.0051,0.8,-0.138844,
0.31,-56.2773,0.9,-0.135111,
0.312,-56.5483,0.9,-0.135644,
0.314,-56.8114,0.9,-0.132444,
0.316,-57.0714,0.8,-0.128088,
0.318,-57.332,0.8,-0.129688,
0.32,-57.5829,0.8,-0.125866,
0.322,-57.8355,0.8,-0.124177,
0.324,-58.0809,0.9,-0.122577,
0.326,-58.3244,0.8,-0.118755,
0.328,-58.5661,0.8,-0.119911,
0.33,-58.8023,0.9,-0.117688,
0.332,-59.0343,0.9,-0.111822,
0.334,-59.2668,0.8,-0.115022,
0.336,-59.4853,0.9,-0.108444,
0.338,-59.7069,0.9,-0.110133,
0.34,-59.9187,0.9,-0.107466,
0.342,-60.1238,1,-0.099911,
0.344,-60.3239,0.9,-0.098133,
0.346,-60.5174,0.9,-0.091111,
0.348,-60.7103,0.8,-0.095466,
0.35,-60.8977,0.8,-0.090666,
0.352,-61.0832,0.9,-0.090044,
0.354,-61.2621,0.9,-0.086844,
0.356,-61.4366,0.8,-0.086222,
0.358,-61.6106,0.8,-0.090666,
0.36,-61.7748,0.9,-0.084711,
0.362,-61.9304,0.8,-0.078133,
0.364,-62.0915,0.9,-0.075911,
0.366,-62.2447,0.9,-0.074844,
0.368,-62.3943,0.8,-0.073244,
0.37,-62.534,0.8,-0.066666,
0.372,-62.6775,0.8,-0.069511,
0.374,-62.8117,0.8,-0.067822,
0.376,-62.9466,0.8,-0.068355,
0.378,-63.0791,0.8,-0.066222,
0.38,-63.2054,0.8,-0.064533,
0.382,-63.3263,0.6,-0.062399,
0.384,-63.4435,-0.7,-0.057511,
0.386,-63.5551,-0.3,-0.054222,
0.388,-63.6498,-0.4,-0.048355,
0.39,-63.7407,0,-0.043377,
0.392,-63.8316,-0.3,-0.042844,
0.394,-63.9085,-0.4,-0.037422,
0.396,-63.9909,-0.5,-0.039555,
0.398,-64.0691,-0.3,-0.034755,
0.4,-64.1393,-0.3,-0.033688,
0.402,-64.2058,-0.3,-0.028799,
0.404,-64.2723,-0.3,-0.029244,
0.406,-64.334,-0.2,-0.029866,
0.408,-64.3944,-0.2,-0.031999,
0.41,-64.4487,-0.2,-0.024977,
0.412,-64.5055,-0.3,-0.026577,
0.414,-64.5543,-0.2,-0.022755,
0.416,-64.608,-0.2,-0.026044,
0.418,-64.6574,-0.2,-0.025422,
0.42,-64.702,-0.2,-0.019555,
0.422,-64.7417,-0.3,-0.017422,
0.424,-64.7862,-0.2,-0.019466,
0.426,-64.8241,-0.3,-0.019555,
0.428,-64.8521,-0.3,-0.015111,
0.43,-64.8796,-0.3,-0.011911,
0.432,-64.9065,-0.3,-0.010311,
0.434,-64.9266,-0.3,-0.007022,
0.436,-64.9468,-0.3,-0.009244,
0.438,-64.962,-0.3,-0.007555,
0.44,-64.9693,-0.3,-0.002666,
0.442,-64.9754,-0.3,-0.0016,
0.444,-64.9754,-0.3,0,
0.446,-64.9834,-0.5,-0.003288,
0.448,-64.987,-0.4,-0.0016,
0.45,-64.9986,-0.4,-0.0032,
0.452,-65.0145,-0.5,-0.009244,
0.454,-65.0383,-0.5,-0.011911,
0.456,-65.0682,-0.6,-0.0168,
0.458,-65.1036,-0.7,-0.023288,
0.46,-65.1469,-0.7,-0.025422,
0.462,-65.1982,-0.8,-0.027111,
0.464,-65.2586,-0.9,-0.031999,
0.466,-65.3221,-1,-0.032533,
0.468,-65.4039,-1,-0.041244,
0.47,-65.4912,-1.1,-0.044533,
0.472,-65.5846,-1,-0.048888,
0.474,-65.692,-1.3,-0.052622,
0.476,-65.8098,-1.1,-0.058577,
0.478,-65.9325,-1.2,-0.061866,
0.48,-66.0613,-1.1,-0.065688,
0.482,-66.1992,-1,-0.069955,
0.484,-66.3445,-1,-0.071644,
0.486,-66.4909,-1,-0.072622,
0.488,-66.649,-1.1,-0.0776,
0.49,-66.8059,-1,-0.078133,
0.492,-66.9591,-1.3,-0.077066,
0.494,-67.1117,-1.5,-0.074933,
0.496,-67.263,-1.7,-0.076444,
0.498,-67.404,-1.9,-0.071555,
0.5,-67.5432,-2.2,-0.069955,
0.502,-67.6793,-2.4,-0.067288,
0.504,-67.8105,-2.7,-0.064533,
0.506,-67.9369,-3.1,-0.064088,
0.508,-68.0589,-3.3,-0.060177,
0.51,-68.1786,-3.5,-0.059199,
0.512,-68.289,-3.8,-0.056355,
0.514,-68.3946,-4.1,-0.050933,
0.516,-68.5008,-4.4,-0.050933,
0.518,-68.5997,-4.7,-0.049866,
0.52,-68.6919,-5,-0.0472,
0.522,-68.7853,-5.2,-0.044533,
0.524,-68.8713,-5.4,-0.043911,
0.526,-68.9525,-5.6,-0.038488,
0.528,-69.0337,-5.8,-0.037422,
0.53,-69.1124,-6,-0.036888,
0.532,-69.1875,-6.3,-0.039111,
0.534,-69.2601,-6.4,-0.034755,
0.536,-69.3315,-6.5,-0.035288,
0.538,-69.3956,-6.7,-0.033066,
0.54,-69.456,-7,-0.029777,
0.542,-69.5146,-7.1,-0.027644,
0.544,-69.5726,-7.2,-0.026577,
0.546,-69.6257,-7.3,-0.024444,
0.548,-69.6758,-7.4,-0.026044,
0.55,-69.7197,-7.6,-0.023288,
0.552,-69.7636,-7.7,-0.021688,
0.554,-69.8021,-7.8,-0.020088,
0.556,-69.8393,-7.9,-0.017866,
0.558,-69.876,-8,-0.019555,
0.56,-69.9028,-8.1,-0.015199,
0.562,-69.9272,-8.1,-0.010311,
0.564,-69.9529,-8.2,-0.014133,
0.566,-69.9706,-8.3,-0.006044,
0.568,-69.9864,-8.3,-0.006488,
0.57,-70.0005,-8.3,-0.007111,
0.572,-70.009,-8.3,-0.005422,
0.574,-70.0145,-8.3,-0.0016,
0.576,-70.0139,-8.4,0.000533,
0.578,-70.0139,-8.4,-0.000533,
0.58,-70.0102,-8.4,0.005955,
0.582,-70.0102,-8.3,0.000533,
0.584,-70.0078,-8.3,-0.0016,
0.586,-70.0029,-8.2,0.001066,
0.588,-69.9986,-8.1,0.005422,
0.59,-69.9901,-7.8,0.002133,
0.592,-69.9724,-7.6,0.008711,
0.594,-69.9455,-7.4,0.016266,
0.596,-69.9187,-7.2,0.014666,
0.598,-69.8729,-7,0.021688,
0.6,-69.8167,-6.7,0.029333,
0.602,-69.7527,-6.5,0.031999,
0.604,-69.6751,-6.4,0.037511,
0.606,-69.5787,-6.2,0.049955,
0.608,-69.4804,-6,0.053777,
0.61,-69.3645,-5.8,0.057511,
0.612,-69.2381,-5.5,0.066222,
0.614,-69.1026,-5.3,0.068888,
0.616,-68.9586,-5.1,0.073244,
0.618,-68.806,-4.8,0.075377,
0.62,-68.6461,-4.6,0.078133,
0.622,-68.4795,-4.6,0.0824,
0.624,-68.3171,-4.4,0.083022,
0.626,-68.156,-4.1,0.081866,
0.628,-68.0034,-3.9,0.076533,
0.63,-67.852,-3.6,0.074933,
0.632,-67.7031,-3.4,0.069955,
0.634,-67.5591,-3.1,0.069422,
0.636,-67.4223,-2.9,0.067288,
0.638,-67.2911,-2.6,0.061866,
0.64,-67.1642,-2.4,0.062933,
0.642,-67.0457,-2.1,0.058666,
0.644,-66.9328,-1.9,0.055911,
0.646,-66.8297,-1.6,0.053155,
0.648,-66.7308,-1.5,0.0488,
0.65,-66.635,-1.3,0.046133,
0.652,-66.5459,-1.1,0.046133,
0.654,-66.4604,-0.9,0.042311,
0.656,-66.3811,-0.8,0.040088,
0.658,-66.303,-0.6,0.041155,
0.66,-66.2285,-0.5,0.036355,
0.662,-66.1577,-0.4,0.036888,
0.664,-66.082,-0.2,0.035288,
0.666,-66.0112,-0.2,0.036355,
0.668,-65.9483,-0.1,0.030399,
0.67,-65.8806,-0.1,0.032533,
0.672,-65.8196,0,0.028177,
0.674,-65.7622,0,0.029244,
0.676,-65.7091,0,0.027111,
0.678,-65.6578,0,0.024444,
0.68,-65.609,0,0.022755,
0.682,-65.5644,-0.1,0.022311,
0.684,-65.5217,-0.2,0.019555,
0.686,-65.4863,-0.3,0.0168,
0.688,-65.4552,-0.4,0.013511,
0.69,-65.421,-0.5,0.014666,
0.692,-65.3947,-0.5,0.010311,
0.694,-65.3703,-0.5,0.013066,
0.696,-65.3545,-0.5,0.007555,
0.698,-65.3392,-0.5,0.002133,
0.7,-65.3264,-0.5,0.002666,
0.702,-65.3191,-0.5,0.003733,
0.704,-65.3148,-0.6,0,
0.706,-65.3105,-0.5,0.002755,
0.708,-65.3148,-0.6,-0.002133,
0.71,-65.3154,-0.5,0,
0.712,-65.3172,-0.6,-0.002666,
0.714,-65.3209,-0.5,-0.0016,
0.716,-65.3233,-0.6,-0.002133,
0.718,-65.3288,-0.6,-0.004355,
0.72,-65.338,-0.6,-0.005955,
0.722,-65.3532,-0.7,-0.009688,
0.724,-65.3734,-0.7,-0.015199,
0.726,-65.4051,-0.7,-0.019466,
0.728,-65.4417,-0.7,-0.022222,
0.73,-65.4906,-0.8,-0.025511,
0.732,-65.5534,-0.8,-0.034133,
0.734,-65.6255,-0.8,-0.035822,
0.736,-65.7121,-0.9,-0.044444,
0.738,-65.808,-0.9,-0.048355,
0.74,-65.9178,-1,-0.055288,
0.742,-66.0338,-1,-0.059733,
0.744,-66.1614,-1.1,-0.062399,
0.746,-66.3005,-1.4,-0.067822,
0.748,-66.4464,-1.6,-0.072711,
0.75,-66.6014,-1.8,-0.077066,
0.752,-66.7613,-1.7,-0.083555,
0.754,-66.9218,-2.2,-0.079733,
0.756,-67.0793,-2.4,-0.078666,
0.758,-67.2319,-2.6,-0.074844,
0.76,-67.3827,-2.9,-0.073244,
0.762,-67.5304,-3.3,-0.073244,
0.764,-67.672,-3.5,-0.069511,
0.766,-67.8075,-3.7,-0.065155,
0.768,-67.9375,-4.1,-0.063999,
0.77,-68.062,-4.3,-0.063466,
0.772,-68.1816,-4.5,-0.060711,
0.774,-68.2951,-4.8,-0.056355,
0.776,-68.3983,-5.1,-0.053155,
0.778,-68.5045,-5.4,-0.053155,
0.78,-68.5985,-5.6,-0.047733,
0.782,-68.6882,-5.9,-0.046133,
0.784,-68.7767,-6.1,-0.043911,
0.786,-68.8585,-6.3,-0.040177,
0.788,-68.9391,-6.6,-0.039111,
0.79,-69.016,-6.8,-0.036355,
0.792,-69.0929,-6.9,-0.036888,
0.794,-69.1686,-7.2,-0.039111,
0.796,-69.2357,-7.3,-0.034222,
0.798,-69.3065,-7.4,-0.033066,
0.8,-69.373,-7.6,-0.0336,
0.802,-69.4377,-7.7,-0.0336,
0.804,-69.5,-7.9,-0.034755,
0.806,-69.5537,-8,-0.027111,
0.808,-69.6086,-8.1,-0.026577,
0.81,-69.6611,-8.3,-0.024977,
0.812,-69.7093,-8.3,-0.024977,
0.814,-69.7588,-8.4,-0.025511,
0.816,-69.7984,-8.6,-0.021688,
0.818,-69.8387,-8.7,-0.022755,
0.82,-69.8741,-8.7,-0.019555,
0.822,-69.9046,-8.8,-0.017333,
0.824,-69.9309,-8.8,-0.011911,
0.826,-69.9547,-8.9,-0.010311,
0.828,-69.9742,-8.9,-0.007555,
0.83,-69.9895,-9,-0.008711,
0.832,-70.0029,-8.9,-0.004888,
0.834,-70.0108,-9,-0.002666,
0.836,-70.0157,-9,-0.0032,
0.838,-70.0206,-9,-0.005422,
0.84,-70.0157,-9.1,-0.001066,
0.842,-70.0121,-9,0.0016,
0.844,-70.0114,-9,0.004355,
0.846,-70.0108,-9,-0.001066,
0.848,-70.0053,-8.9,0.002755,
0.85,-70.0023,-8.7,0.003288,
0.852,-69.9901,-8.5,0.008711,
0.854,-69.9779,-8.3,0.007555,
0.856,-69.9559,-8,0.012444,
