Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1623,-1.4,-0.0016,
0.002,-0.1654,-1,0.003822,
0.004,-0.1642,-1.5,0.002666,
0.006,-0.163,-1.4,0.000533,
0.008,-0.1764,-1.7,-0.008711,
0.01,-0.1868,-1.2,-0.005422,
0.012,-0.1886,-1.4,-0.003822,
0.014,-0.1953,-1.6,0,
0.016,-0.2142,-2.2,-0.012977,
0.018,-0.2576,-2.5,-0.028799,
0.02,-0.3362,-2.6,-0.042844,
0.022,-0.4479,-2.6,-0.059644,
0.024,-0.6072,-2.9,-0.0792,
0.026,-0.8019,-2.7,-0.100355,
0.028,-1.0387,-2.8,-0.130755,
0.03,-1.3097,-2.6,-0.139466,
0.032,-1.6124,-2.5,-0.151911,
0.034,-1.9658,-2.7,-0.175733,
0.036,-2.3424,-2.3,-0.192,
0.038,-2.755,-2.4,-0.212088,
0.04,-3.1841,-2.2,-0.219199,
0.042,-3.6382,-2,-0.228977,
0.044,-4.1246,-2.2,-0.237066,
0.046,-4.6215,-2,-0.253422,
0.048,-5.1452,-2,-0.263733,
0.05,-5.6768,-2,-0.2664,
0.052,-6.223,-1.9,-0.273955,
0.054,-6.7949,-2,-0.282044,
0.056,-7.3729,-2,-0.290222,
0.058,-7.9674,-1.9,-0.304355,
0.06,-8.5741,-1.9,-0.303822,
0.062,-9.2016,-1.9,-0.3136,
0.064,-9.8534,-2,-0.323377,
0.066,-10.526,-2,-0.336888,
0.068,-11.2218,-2,-0.352088,
0.07,-11.9347,-1.9,-0.357511,
0.072,-12.6683,-1.9,-0.3656,
0.074,-13.4258,-2,-0.374933,
0.076,-14.1869,-2,-0.381955,
0.078,-14.948,-2.1,-0.383555,
0.08,-15.7152,-2.2,-0.384622,
0.082,-16.4959,-2,-0.392266,
0.084,-17.2924,-2.2,-0.399288,
0.086,-18.109,-2.2,-0.4096,
0.088,-18.9476,-2.1,-0.422044,
0.09,-19.807,-2.1,-0.431288,
0.092,-20.6859,-1.9,-0.445422,
0.094,-21.5996,-1.8,-0.462755,
0.096,-22.5383,-1.8,-0.468711,
0.098,-23.5021,-1.4,-0.485066,
0.1,-24.4573,-1.4,-0.475822,
0.102,-25.3972,-1.3,-0.463288,
0.104,-26.3201,-1.4,-0.456799,
0.106,-27.2118,-1.3,-0.443822,
0.108,-28.0932,-1.3,-0.441155,
0.11,-28.958,-1.5,-0.434044,
0.112,-29.8223,-1.6,-0.430755,
0.114,-30.6939,-1.7,-0.437333,
0.116,-31.5795,-1.8,-0.445422,
0.118,-32.4877,-1.7,-0.457955,
0.12,-33.4215,-1.7,-0.466044,
0.122,-34.3657,-1.7,-0.471466,
0.124,-35.3081,-1.7,-0.470933,
0.126,-36.2462,-1.7,-0.466044,
0.128,-37.1776,-1.8,-0.464355,
0.13,-38.1017,-1.8,-0.462222,
0.132,-39.03,-1.8,-0.465422,
0.134,-39.9639,-1.6,-0.469333,
0.136,-40.9069,-1.9,-0.474222,
0.138,-41.8621,-1.7,-0.477955,
0.14,-42.8362,-1.5,-0.486133,
0.142,-43.8085,-1.5,-0.485599,
0.144,-44.7716,-1.3,-0.479555,
0.146,-45.7244,-1.2,-0.469333,
0.148,-46.6576,-1.1,-0.462222,
0.15,-47.5719,-1.2,-0.454133,
0.152,-48.4704,-1.1,-0.449244,
0.154,-49.3596,-1,-0.444266,
0.156,-50.2489,-1.1,-0.445955,
0.158,-51.1272,-1,-0.435644,
0.16,-52.0031,-1,-0.441155,
0.162,-52.8716,-1,-0.430222,
0.164,-53.7291,-0.9,-0.430755,
0.166,-54.5653,-1.1,-0.415022,
0.168,-55.3795,-1,-0.402577,
0.17,-56.1742,-1,-0.393866,
0.172,-56.9481,-1.3,-0.385688,
0.174,-57.7123,-1,-0.380888,
0.176,-58.4624,-1.1,-0.374311,
0.178,-59.2083,-1,-0.370044,
0.18,-59.948,-1.1,-0.370577,
0.182,-60.6835,-1,-0.365688,
0.184,-61.4025,-0.7,-0.361866,
0.186,-62.116,-0.9,-0.356977,
0.188,-62.8063,-0.9,-0.338577,
0.19,-63.4789,-1.6,-0.331466,
0.192,-64.1118,-2.3,-0.308711,
0.194,-64.6886,-2.1,-0.291911,
0.196,-65.2453,-2.4,-0.2784,
0.198,-65.7616,-2.4,-0.250666,
0.2,-66.2511,-3.5,-0.239288,
0.202,-66.7211,-2.5,-0.233333,
0.204,-67.1538,-3.4,-0.219199,
0.206,-67.5683,-3.8,-0.205688,
0.208,-67.9558,-3.8,-0.190933,
0.21,-68.3281,-3.9,-0.185511,
0.212,-68.687,-4.9,-0.177955,
0.214,-69.0178,-5.1,-0.169777,
0.216,-69.3358,-6.5,-0.157866,
0.218,-69.6361,-6.9,-0.142666,
0.22,-69.9212,-8,-0.1416,
0.222,-70.1952,-9.1,-0.137244,
0.224,-70.4332,-17.5,-0.118755,
0.226,-70.6273,-26.4,-0.091111,
0.228,-70.75,-32.4,-0.0488,
0.23,-70.8056,-35.3,-0.019022,
0.232,-70.808,-35.4,0.002666,
0.234,-70.7775,-33,0.008622,
0.236,-70.747,-31.1,0.012977,
0.238,-70.7262,-30,0.013066,
0.24,-70.728,-29.8,0.001155,
0.242,-70.7415,-30.3,-0.008177,
0.244,-70.7439,-30.6,-0.008711,
0.246,-70.7482,-30.9,-0.002222,
0.248,-70.7329,-30.2,0.020088,
0.25,-70.7274,-30.1,0.003288,
0.252,-70.7189,-29.2,0.0016,
0.254,-70.6621,-26.2,0.014133,
0.256,-70.6133,-23,0.026577,
0.258,-70.5217,-19.1,0.059733,
0.26,-70.4332,-14.9,0.046666,
0.262,-70.3313,-11.4,0.049422,
0.264,-70.1903,-8.5,0.063466,
0.266,-70.0402,-7.8,0.078666,
0.268,-69.8473,-6.5,0.104177,
0.27,-69.6215,-5.7,0.117155,
0.272,-69.3322,-5.3,0.149688,
0.274,-68.9953,-4.9,0.176266,
0.276,-68.6022,-4,0.200177,
0.278,-68.1707,-3.9,0.214311,
0.28,-67.7007,-3.4,0.240355,
0.282,-67.2014,-2.8,0.252266,
0.284,-66.704,-3.4,0.259911,
0.286,-66.1919,-2.4,0.253333,
0.288,-65.7103,-2.5,0.225688,
0.29,-65.2349,-2.7,0.232177,
0.292,-64.7905,-2.3,0.221422,
0.294,-64.4445,-3.1,0.184977,
0.296,-64.1265,-2.6,0.154044,
0.298,-63.908,-3.1,0.084622,
0.3,-63.7566,-3.3,0.071111,
0.302,-63.6858,-3,0.027644,
0.304,-63.7389,-3.2,-0.019555,
0.306,-63.8408,-3.1,-0.056977,
0.308,-64.0398,-3.1,-0.121511,
0.31,-64.2882,-3.7,-0.134488,
0.312,-64.6019,-3,-0.163288,
0.314,-64.9962,-3.4,-0.196355,
