Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.24,-70.7311,-29.5,-7.563,0.0016,
0.242,-70.7384,-29.6,-0.372,-0.005955,
0.244,-70.739,-30,1.742,-0.003822,
0.246,-70.7469,-30.5,7.289,-0.001066,
0.248,-70.7256,-30.8,16.596,0.022222,
0.25,-70.7329,-30,-4.458,0.0016,
0.252,-70.7201,-29.2,5.275,0.006488,
0.254,-70.678,-26.7,6.887,0.007022,
0.256,-70.631,-23.9,6.371,0.020533,
0.258,-70.5394,-20.4,12.517,0.054222,
0.26,-70.4533,-15.4,-5.306,0.051022,
0.262,-70.3526,-11.7,4.454,0.052622,
0.264,-70.2208,-8.8,9.231,0.063466,
0.266,-70.078,-7.1,6.151,0.073777,
0.268,-69.8973,-6.5,13.408,0.096,
0.27,-69.6764,-5.8,6.991,0.115022,
0.272,-69.4041,-5.2,14.885,0.142755,
0.274,-69.077,-4.9,18.232,0.172,
0.276,-68.6974,-3.8,13.727,0.197422,
0.278,-68.2829,-3.2,5.17,0.205688,
0.28,-67.816,-3.7,14.011,0.234399,
0.282,-67.3247,-2.9,5.504,0.247377,
0.284,-66.8285,-3.3,6.34,0.258755,
0.286,-66.3194,-2.4,0.328,0.254488,
0.288,-65.8373,-2.2,-11.53,0.229422,
0.29,-65.3557,-3.1,3.851,0.232711,
0.292,-64.9156,-2.3,-13.26,0.214311,
0.294,-64.5476,-3,-16.673,0.1888,
0.296,-64.2192,-2.9,-14.367,0.157333,
0.298,-63.9946,-2.9,-32.098,0.090577,
0.3,-63.8316,-3.3,-8.34,0.066755,
0.302,-63.7511,-3,-22.801,0.028711,
0.304,-63.781,-3.1,-30.321,-0.015199,
0.306,-63.8713,-3,-15.128,-0.051555,
0.308,-64.0416,-3,-26.019,-0.104711,
0.31,-64.2613,-3.5,-4.167,-0.119377,
0.312,-64.5482,-3.1,-14.708,-0.150311,
0.314,-64.9168,-3.2,-23.709,-0.1888,
0.316,-65.3276,-3.3,-15.85,-0.213777,
0.318,-65.7933,-3.7,-14.987,-0.239822,
0.32,-66.3042,-4.4,-8.289,-0.260444,
0.322,-66.8468,-4.4,-6.791,-0.274044,
0.324,-67.4217,-5.2,-8.998,-0.292444,
0.326,-68.004,-6.2,0.397,-0.290222,
0.328,-68.5844,-7.2,5.128,-0.283733,
0.33,-69.1759,-7.4,-2.056,-0.289777,
0.332,-69.7496,-8.5,6.085,-0.284266,
0.334,-70.2788,-9.5,4.577,-0.271822,
0.336,-70.761,-31.1,19.773,-0.230577,
0.338,-71.0924,-51.9,50.591,-0.137244,
0.34,-71.2505,-52.1,41.033,-0.051022,
0.342,-71.2016,-52.1,44.424,0.044,
0.344,-71.0179,-46.2,23.261,0.086311,
0.346,-70.8312,-33.3,0.809,0.090577,
0.348,-70.6664,-25.8,-1.965,0.086755,
0.35,-70.5895,-20.6,-28.478,0.035733,
0.352,-70.5614,-19.5,-15.325,0.007022,
0.354,-70.5388,-18.4,1.009,-0.0016,
0.356,-70.5339,-18.6,-0.168,-0.000533,
0.358,-70.5034,-18.4,11.975,0.025511,
0.36,-70.4662,-15.8,-7.705,0.021688,
0.362,-70.3941,-12.8,8.194,0.039644,
0.364,-70.2654,-9.3,15.533,0.069422,
0.366,-70.1091,-7.4,9.427,0.081422,
0.368,-69.9016,-7.4,14.24,0.115555,
0.37,-69.6532,-6.8,6.239,0.128533,
0.372,-69.37,-5.7,9.517,0.148088,
0.374,-69.0404,-5.6,14.267,0.172533,
0.376,-68.6766,-4.4,10.719,0.185511,
0.378,-68.2829,-3.7,3.697,0.196977,
0.38,-67.8441,-4.1,11.703,0.219199,
0.382,-67.3747,-3.2,5.612,0.237155,
0.384,-66.9023,-3.6,3.289,0.247911,
0.386,-66.4092,-2.7,2.373,0.248977,
0.388,-65.9386,-2.4,-11.2,0.226755,
0.39,-65.468,-3.2,5.751,0.228355,
0.392,-65.0163,-2.6,-7.234,0.219199,
0.394,-64.6294,-3.3,-17.56,0.199111,
0.396,-64.2821,-2.8,-17.025,0.163822,
0.398,-64.0239,-2.8,-28.368,0.106311,
0.4,-63.8213,-3.3,-11.995,0.085688,
0.402,-63.7083,-3.1,-23.69,0.050488,
0.404,-63.7254,-3.2,-35.623,-0.008088,
0.406,-63.7962,-3.1,-18.757,-0.042311,
0.408,-63.9555,-3.1,-23.149,-0.096533,
0.41,-64.1789,-3.7,-4.916,-0.118755,
0.412,-64.4701,-2.8,-14.041,-0.154133,
0.414,-64.846,-3.6,-24.435,-0.194222,
0.416,-65.2727,-3.9,-15.043,-0.219733,
0.418,-65.7555,-4.2,-14.93,-0.247466,
0.42,-66.2816,-4.9,-7.887,-0.266933,
0.422,-66.8401,-5.1,-9.664,-0.284355,
0.424,-67.4223,-5.6,-8.263,-0.296711,
0.426,-68.0193,-6.7,-4.644,-0.301155,
0.428,-68.6113,-7.7,6.377,-0.290222,
0.43,-69.2113,-7.8,4.279,-0.292977,
0.432,-69.7911,-9.1,8.048,-0.285866,
0.434,-70.3203,-10.4,12.074,-0.269688,
0.436,-70.8055,-33.5,19.375,-0.232711,
0.438,-71.1272,-52,48.624,-0.130222,
0.44,-71.2712,-52.1,43.806,-0.041777,
0.442,-71.1998,-52.1,46.957,0.055377,
0.444,-70.9953,-45.5,28.04,0.098222,
0.446,-70.8086,-32.5,-10.37,0.087288,
0.448,-70.6487,-25,-4.082,0.081866,
0.45,-70.5687,-20.1,-31.514,0.035288,
0.452,-70.5449,-19.1,-2.166,0.008711,
0.454,-70.5272,-17.9,3.363,-0.0016,
0.456,-70.5229,-18.2,3.178,0.003822,
0.458,-70.4961,-18.1,10.104,0.021155,
0.46,-70.454,-15.6,4.355,0.027644,
0.462,-70.3813,-12.7,4.683,0.039111,
0.464,-70.2562,-9.6,16.74,0.068355,
0.466,-70.1036,-7.9,4.921,0.081422,
0.468,-69.904,-7.3,12.684,0.106933,
0.47,-69.6648,-6.8,2.53,0.122577,
0.472,-69.3834,-6,10.518,0.145422,
0.474,-69.0587,-5.5,15.09,0.168711,
0.476,-68.6913,-4.3,9.184,0.183911,
0.478,-68.2988,-4,1.542,0.193688,
0.48,-67.8624,-4.4,12.216,0.220266,
0.482,-67.3991,-3.3,4.204,0.232266,
0.484,-66.9316,-3.9,0.766,0.244711,
0.486,-66.4427,-2.8,0.963,0.247377,
0.488,-65.9752,-2.5,-8.203,0.226755,
0.49,-65.4997,-3.4,8.593,0.233333,
0.492,-65.0542,-2.6,-3.832,0.221866,
0.494,-64.6642,-3.3,-18.093,0.200177,
0.496,-64.3077,-2.8,-12.317,0.1736,
0.498,-64.0447,-2.8,-32.727,0.111733,
0.5,-63.8353,-3.2,-7.353,0.087911,
0.502,-63.7053,-3.1,-26.34,0.049333,
0.504,-63.6961,-3.3,-30.887,0.004888,
0.506,-63.7529,-3,-16.443,-0.031999,
0.508,-63.9067,-3,-24.628,-0.093333,
0.51,-64.1216,-3.6,-7.111,-0.115555,
0.512,-64.4145,-3,-15.314,-0.152977,
0.514,-64.7887,-4.2,-25.003,-0.193688,
0.516,-65.2232,-4.3,-17.218,-0.223466,
0.518,-65.717,-4.2,-15.642,-0.253866,
0.52,-66.2602,-4.7,-8.347,-0.276711,
0.522,-66.8395,-5.3,-7.224,-0.294133,
0.524,-67.4364,-5.8,-7.152,-0.303822,
0.526,-68.0431,-6.9,-4.157,-0.305511,
0.528,-68.6418,-8,4.026,-0.294044,
0.53,-69.254,-8,1.699,-0.2984,
0.532,-69.8369,-9.2,7.694,-0.289155,
0.534,-70.3691,-11.2,9.528,-0.273422,
0.536,-70.8464,-35.7,22.795,-0.226222,
0.538,-71.1534,-52.1,53.69,-0.124799,
0.54,-71.2755,-52.1,47.062,-0.029866,
0.542,-71.1943,-52.1,44.915,0.056444,
0.544,-70.9917,-44.1,20.517,0.088977,
