Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2782,-5.1,-1.184,0.007022,
0.002,-0.3215,-6.2,17.021,-0.005955,
0.004,-0.4003,-7,-21.911,-0.050488,
0.006,-0.5608,-6.8,-20.18,-0.091644,
0.008,-0.8202,-6.6,-27.696,-0.141066,
0.01,-1.1986,-6.7,-27.143,-0.202311,
0.012,-1.6967,-7,-33.787,-0.265866,
0.014,-2.3259,-7.2,-35.376,-0.328711,
0.016,-3.1078,-7.4,-36.082,-0.403111,
0.018,-4.0166,-7.5,-32.177,-0.467111,
0.02,-5.0664,-7.5,-36.978,-0.536533,
0.022,-6.2481,-7.4,-33.296,-0.604977,
0.024,-7.567,-7.2,-29.533,-0.671111,
0.026,-9.0337,-7.2,-36.905,-0.748177,
0.028,-10.6633,-7.2,-42.641,-0.833333,
0.03,-12.459,-7,-42.543,-0.913599,
0.032,-14.3688,-6.9,-17.701,-0.959199,
0.034,-16.3317,-7,-15.575,-0.986844,
0.036,-18.3886,-6.8,-27.527,-1.040622,
0.038,-20.5919,-6.6,-37.738,-1.1176,
0.04,-22.9973,-6.1,-55.173,-1.226666,
0.042,-25.5193,-5.7,-5.57,-1.2592,
0.044,-27.9552,-6.3,27.585,-1.206044,
0.046,-30.3521,-6.5,0.688,-1.199022,
0.048,-32.8606,-6.5,-41.696,-1.274933,
0.05,-35.5059,-5.7,-17.517,-1.324888,
0.052,-38.0614,-5.1,37.69,-1.265155,
0.054,-40.5468,-4.7,5.573,-1.2408,
0.056,-43.0364,-4.6,-9.531,-1.249422,
0.058,-45.5285,-3.9,9.991,-1.239733,
0.06,-47.8972,-3.6,30.657,-1.170755,
0.062,-50.1854,-3.2,13.861,-1.139288,
0.064,-52.4541,-2.8,1.879,-1.1344,
0.066,-54.6825,-2.6,15.272,-1.105155,
0.068,-56.7675,-2.4,40.704,-1.026488,
0.07,-58.7194,-2.2,29.848,-0.963555,
0.072,-60.5968,-2,17.546,-0.930399,
0.074,-62.4151,-1.9,16.107,-0.902311,
0.076,-64.1301,-23.9,32.998,-0.840888,
0.078,-65.6279,13.3,49.301,-0.733511,
0.08,-66.9768,-3.5,29.048,-0.661866,
0.082,-68.2048,-4.6,27.404,-0.601066,
0.084,-69.3078,-19,31.001,-0.536622,
0.086,-70.2672,-5.9,24.541,-0.469777,
0.088,-71.0717,-39.9,49.362,-0.377066,
0.09,-71.5349,-52.1,100.584,-0.182844,
0.092,-71.5014,-52.1,126.424,0.068355,
0.094,-71.1382,-52.1,59.753,0.201777,
0.096,-70.7335,-29.5,-5.46,0.201866,
0.098,-70.4009,-15.6,-26.588,0.153511,
0.1,-70.2129,-16.3,-47.352,0.070577,
0.102,-70.1098,-17.4,-10.108,0.055288,
0.104,-70.136,-17.9,-29.174,-0.023911,
0.106,-70.2575,-17.6,-19.562,-0.071111,
0.108,-70.4546,-22.1,-16.817,-0.103644,
0.11,-70.6743,-30.1,-1.775,-0.108444,
0.112,-70.8703,-39.9,11.997,-0.090133,
0.114,-70.9819,-46.9,21.246,-0.042844,
0.116,-70.9996,-48.8,23.246,0.001688,
0.118,-70.938,-44.2,15.225,0.036355,
0.12,-70.8373,-38.5,6.3,0.051555,
0.122,-70.7622,-33.9,-10.536,0.031466,
0.124,-70.7335,-31.6,-14.004,0.005955,
0.126,-70.7561,-32.1,-13.031,-0.018933,
0.128,-70.8086,-34.8,-2.789,-0.030399,
0.13,-70.8623,-38.7,-0.895,-0.027111,
0.132,-70.9087,-42,0.734,-0.020622,
0.134,-70.9386,-44.1,4.944,-0.014666,
0.136,-70.9417,-44.1,8.555,0.0016,
0.138,-70.9337,-42.2,0.529,0.002222,
0.14,-70.9252,-40.3,1.02,0.004888,
0.142,-70.9148,-39.4,-1.963,0.004888,
0.144,-70.8971,-40.7,-1.008,0.009777,
0.146,-70.8861,-41,-0.266,0.005955,
0.148,-70.8715,-40.2,-0.24,0.007555,
0.15,-70.8611,-39.4,-1.284,0.005422,
0.152,-70.8556,-39.9,-6.428,-0.000533,
0.154,-70.8519,-40.6,-0.634,0.001688,
0.156,-70.8495,-40.7,2.679,0.003822,
0.158,-70.8489,-40.3,-0.303,0.0016,
0.16,-70.8477,-40.2,1.296,0.0016,
0.162,-70.8452,-40.4,-5.162,-0.000533,
0.164,-70.8452,-40,-3.012,0,
0.166,-70.8471,-39.4,1.243,0,
0.168,-70.8495,-38.8,-0.563,-0.003288,
0.17,-70.8452,-38.4,-0.246,0.002222,
0.172,-70.8495,-38,2.884,-0.004355,
0.174,-70.8446,-37.6,-1.693,0.001066,
0.176,-70.8483,-37.4,2.793,0.0016,
0.178,-70.8495,-37.1,1.67,0.000533,
0.18,-70.8544,-37.1,2.204,-0.001066,
0.182,-70.8654,-37.5,-6.828,-0.009244,
0.184,-70.8727,-38.3,0.224,-0.004888,
0.186,-70.8806,-39.2,4.89,-0.0016,
0.188,-70.8892,-40.3,0.974,-0.003822,
0.19,-70.8977,-40.9,2.469,-0.005422,
0.192,-70.8916,-41,1.8,0.000533,
0.194,-70.891,-40.7,-1.165,-0.001066,
0.196,-70.8904,-40.2,0.9,0.000533,
0.198,-70.8861,-39.8,-5.899,-0.000533,
0.2,-70.8764,-39.5,1.882,0.008088,
0.202,-70.8678,-38.5,-5.478,0.002222,
0.204,-70.8458,-37,-0.819,0.011466,
0.206,-70.819,-34.9,2.616,0.012444,
0.208,-70.7818,-32.6,-1.901,0.016266,
0.21,-70.7402,-30.5,-3.524,0.021777,
0.212,-70.7134,-28.8,-6.131,0.014133,
0.214,-70.6884,-27.6,-3.948,0.008622,
0.216,-70.6676,-26.8,2.3,0.010844,
0.218,-70.6554,-26.2,-3.526,0.003288,
0.22,-70.6322,-25.4,2.346,0.014666,
0.222,-70.6041,-24,3.419,0.016355,
0.224,-70.5614,-22.1,5.106,0.024444,
0.226,-70.5083,-19.7,-2.066,0.026044,
0.228,-70.443,-17.3,1.065,0.0336,
0.23,-70.3685,-15.2,0.794,0.040711,
0.232,-70.2855,-13.5,7.46,0.044533,
0.234,-70.1854,-12.8,2.411,0.049955,
0.236,-70.0621,-12.2,7.543,0.065155,
0.238,-69.9285,-11.9,2.056,0.067822,
0.24,-69.7716,-11.6,5.059,0.080888,
0.242,-69.5879,-11.2,12.468,0.094933,
0.244,-69.3822,-10.9,3.609,0.102044,
0.246,-69.1503,-10.5,4.62,0.118222,
0.248,-68.8958,-10.3,6.347,0.131822,
