Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2593,-5.1,-3.765,0.005955,
0.002,-0.3002,-6.4,14.722,-0.005422,
0.004,-0.3832,-6.9,-21.282,-0.052622,
0.006,-0.5468,-6.8,-24.778,-0.093866,
0.008,-0.8105,-6.7,-26.38,-0.142755,
0.01,-1.1889,-6.7,-29.545,-0.201866,
0.012,-1.6967,-7,-30.301,-0.2648,
0.014,-2.3357,-7.2,-42.052,-0.338488,
0.016,-3.1066,-7.2,-37.04,-0.402577,
0.018,-4.0221,-7.3,-30.362,-0.470844,
0.02,-5.0677,-7.3,-32.36,-0.538222,
0.022,-6.2493,-7.2,-34.569,-0.606044,
0.024,-7.5671,-7.3,-32.76,-0.671111,
0.026,-9.0258,-7.1,-39.287,-0.744355,
0.028,-10.6567,-7.1,-43.66,-0.832799,
0.03,-12.4468,-6.9,-43.244,-0.909777,
0.032,-14.3529,-6.9,-19.252,-0.956444,
0.034,-16.3079,-6.9,-15.806,-0.984711,
0.036,-18.3623,-6.8,-25.532,-1.039999,
0.038,-20.5566,-6.4,-35.289,-1.1144,
0.04,-22.9583,-6.2,-61.422,-1.227733,
0.042,-25.4851,-5.8,-8.36,-1.259733,
0.044,-27.9186,-6.4,24.148,-1.208177,
0.046,-30.313,-6.5,4.169,-1.1984,
0.048,-32.8094,-6.2,-35.689,-1.264177,
0.05,-35.4534,-5.6,-18.774,-1.32,
0.052,-38.0144,-5.2,30.447,-1.265688,
0.054,-40.5059,-4.7,3.698,-1.246755,
0.056,-42.9931,-4.2,-5.389,-1.252711,
0.058,-45.4913,-3.6,13.865,-1.242488,
0.06,-47.8692,-3.6,34.79,-1.173511,
0.062,-50.1586,-3,14.653,-1.140355,
0.064,-52.4346,-2.6,3.546,-1.136622,
0.066,-54.6709,-2,19.02,-1.105066,
0.068,-56.7669,-2.1,39.977,-1.029155,
0.07,-58.7249,-2.1,27.808,-0.968977,
0.072,-60.6042,-1.8,17.427,-0.929955,
0.074,-62.4279,-1.5,15.422,-0.904977,
0.076,-64.132,-25,31.456,-0.833333,
0.078,-65.6304,14,53.125,-0.730755,
0.08,-66.9726,-3.8,31.86,-0.6576,
0.082,-68.1951,-4.6,24.228,-0.597866,
0.084,-69.2889,-16,32.927,-0.528977,
0.086,-70.2453,-6,24.724,-0.468799,
0.088,-71.0491,-38.3,49.379,-0.377066,
0.09,-71.5252,-52.1,100.298,-0.191555,
0.092,-71.5038,-52.1,125.6,0.062399,
0.094,-71.1529,-52.1,57.551,0.194222,
0.096,-70.7464,-30.5,-4.91,0.199111,
0.098,-70.4119,-15.7,-23.209,0.1568,
0.1,-70.2184,-15.6,-50.229,0.072711,
0.102,-70.1049,-16.8,-10.636,0.055911,
0.104,-70.1104,-17,-32.268,-0.015733,
0.106,-70.1946,-16.5,-17.218,-0.047733,
0.108,-70.3417,-17.1,-10.52,-0.074844,
0.11,-70.5163,-23.2,-2.297,-0.087911,
0.112,-70.6628,-28.9,11.033,-0.067288,
0.114,-70.7409,-32.8,15.72,-0.034755,
0.116,-70.7421,-33.3,24.973,0.009244,
0.118,-70.6646,-28.9,16.451,0.041244,
0.12,-70.5505,-23.6,7.649,0.060711,
0.122,-70.4388,-19,-3.003,0.052622,
0.124,-70.3466,-16.1,-4.521,0.042844,
0.126,-70.2898,-14.7,-7.287,0.023911,
0.128,-70.2563,-12.7,-9.815,0.011911,
0.13,-70.2312,-12.4,1.382,0.012,
0.132,-70.2019,-12,4.721,0.015733,
0.134,-70.1604,-11.4,2.329,0.022311,
0.136,-70.108,-10.9,5.09,0.029244,
0.138,-70.0274,-10.6,5.092,0.042311,
0.14,-69.9175,-10.2,4.998,0.055377,
0.142,-69.7643,-9.9,14.673,0.083022,
0.144,-69.5666,-10,14.08,0.104177,
0.146,-69.3328,-10,6.519,0.119911,
0.148,-69.0661,-9.2,8.647,0.137244,
0.15,-68.7756,-9,4.725,0.148088,
0.152,-68.4704,-9,3.134,0.154044,
0.154,-68.156,-8.4,4.364,0.159022,
0.156,-67.8393,-8.2,1.85,0.161688,
0.158,-67.5231,-7.9,0.292,0.160088,
0.16,-67.2112,-7.5,-0.508,0.157866,
0.162,-66.906,-7.2,-3.956,0.150311,
0.164,-66.6051,-6.9,-1.332,0.149244,
0.166,-66.3122,-6.7,-2.252,0.145955,
0.168,-66.0363,-6.4,-0.619,0.138844,
0.17,-65.7726,-6.3,-3.223,0.130755,
0.172,-65.5297,-6.3,-5.189,0.122044,
0.174,-65.3161,-6.4,-6.357,0.104177,
0.176,-65.1195,-6.5,-10.357,0.093333,
0.178,-64.9468,-6.5,-8.147,0.083555,
0.18,-64.8052,-6.7,-4.713,0.070577,
0.182,-64.6954,-6.6,-9.328,0.051999,
0.184,-64.6069,-6.6,-5.053,0.040622,
0.186,-64.5519,-6.6,-5.737,0.026044,
0.188,-64.5177,-6.4,-2.871,0.014666,
0.19,-64.511,-6.4,-0.218,0.004888,
0.192,-64.5129,-6.3,-1.125,-0.005422,
0.194,-64.5122,-6.4,-2.473,-0.005422,
0.196,-64.5165,-6.4,-1.924,-0.003822,
0.198,-64.5171,-6.4,-1.049,-0.002666,
0.2,-64.5116,-6.4,6.737,0.006577,
0.202,-64.508,-6.4,-4.733,-0.001066,
0.204,-64.4994,-6.4,4.404,0.010844,
0.206,-64.483,-6.4,4.67,0.014577,
0.208,-64.4634,-6.5,1.007,0.011377,
0.21,-64.439,-6.5,3.171,0.013066,
0.212,-64.4097,-6.5,3.463,0.014133,
0.214,-64.3835,-6.5,2.069,0.014044,
0.216,-64.367,-6.5,-1.105,0.010311,
0.218,-64.3548,-6.5,-6.432,0.0032,
0.22,-64.3517,-6.5,-2.087,-0.0016,
0.222,-64.3517,-6.4,-0.173,0.001066,
0.224,-64.3554,-6.4,0.664,0,
0.226,-64.356,-6.5,0.524,-0.000533,
0.228,-64.3566,-6.4,1.735,-0.000533,
0.23,-64.3591,-6.4,0.178,-0.002755,
0.232,-64.3542,-6.5,-1.016,0,
0.234,-64.3542,-6.5,0.758,0.000533,
0.236,-64.356,-6.5,0.236,-0.000533,
0.238,-64.3542,-6.4,-2.3,0,
0.24,-64.3554,-6.4,0.114,0,
0.242,-64.3554,-6.4,1.184,0,
0.244,-64.3554,-6.4,2.644,0.004355,
0.246,-64.3554,-6.4,0.281,0,
0.248,-64.3554,-6.4,0.121,0.001066,
0.25,-64.3554,-6.5,0.256,0,
0.252,-64.3566,-6.4,0.393,-0.001066,
0.254,-64.3554,-6.4,0.013,-0.0016,
0.256,-64.3554,-6.5,4.591,0,
0.258,-64.3542,-6.5,-1.055,0.001066,
0.26,-64.3554,-6.5,-0.102,0.000533,
0.262,-64.3542,-6.5,-4.539,-0.002222,
0.264,-64.3566,-6.5,-3.045,-0.0016,
0.266,-64.3554,-6.4,-1.537,0,
0.268,-64.356,-6.4,0.371,0,
0.27,-64.356,-6.4,4.115,0.002133,
0.272,-64.3566,-6.4,0.106,0,
0.274,-64.3572,-6.4,0.93,0,
0.276,-64.356,-6.4,-0.617,0.000533,
0.278,-64.3572,-6.4,-2.11,-0.002133,
0.28,-64.356,-6.4,-0.428,-0.000533,
0.282,-64.3554,-6.4,-1.447,0.000533,
0.284,-64.3554,-6.4,2.852,0.002133,
0.286,-64.3554,-6.4,0.194,0,
0.288,-64.3554,-6.4,2.681,0,
0.29,-64.3566,-6.5,-0.818,-0.003288,
0.292,-64.356,-6.4,1.29,0,
0.294,-64.3536,-6.5,0.429,0.000533,
0.296,-64.3554,-6.5,0.542,-0.0016,
0.298,-64.3554,-6.4,1.021,0.001066,
0.3,-64.3597,-6.5,-0.051,-0.003288,
0.302,-64.3621,-6.5,3.61,0.001066,
0.304,-64.3713,-6.5,-2.505,-0.004355,
0.306,-64.3829,-6.5,-1.344,-0.004888,
0.308,-64.4067,-6.6,-0.731,-0.009777,
0.31,-64.4537,-6.6,-6.376,-0.028266,
0.312,-64.5116,-6.6,-5.623,-0.0336,
0.314,-64.5867,-6.6,-7.867,-0.039555,
0.316,-64.6819,-6.6,-3.106,-0.0488,
0.318,-64.7912,-6.7,-3.727,-0.059111,
0.32,-64.9102,-6.7,-2.048,-0.060799,
0.322,-65.0433,-6.8,0.069,-0.065688,
0.324,-65.1928,-6.8,-3.977,-0.076,
0.326,-65.346,-7,0.19,-0.076533,
0.328,-65.5144,-7.1,-2.247,-0.082933,
0.33,-65.6933,-7.2,0.936,-0.089511,
0.332,-65.8825,-7.2,-3.062,-0.096,
0.334,-66.0851,-7.1,-5.119,-0.104711,
0.336,-66.2933,-7,-2.822,-0.105333,
0.338,-66.5197,-7.1,-3.78,-0.111733,
0.34,-66.7596,-7.2,-2.637,-0.121599,
0.342,-67.0049,-7.3,-6.407,-0.127999,
0.344,-67.2576,-7.6,-2.294,-0.126933,
0.346,-67.5182,-7.9,-0.635,-0.129599,
0.348,-67.7801,-8.2,-1.635,-0.130755,
0.35,-68.0444,-8.6,-0.274,-0.131911,
0.352,-68.3154,-9,6.943,-0.131911,
0.354,-68.5827,-9.7,2.707,-0.134044,
0.356,-68.8378,-10.3,2.388,-0.129155,
0.358,-69.0948,-10.8,2.655,-0.128622,
0.36,-69.3377,-11.4,1.953,-0.124266,
0.362,-69.5739,-12,2.249,-0.117777,
0.364,-69.7991,-12.5,3.874,-0.112266,
0.366,-70.0219,-13,-1.033,-0.112266,
0.368,-70.2319,-14,-0.754,-0.106399,
0.37,-70.4247,-21.1,4.191,-0.095466,
0.372,-70.5743,-27.3,8.78,-0.068977,
0.374,-70.6786,-32,14.209,-0.046666,
0.376,-70.7244,-34.4,9.768,-0.0168,
0.378,-70.7317,-34.7,5.346,-0.002133,
0.38,-70.722,-33.7,0.811,0.006488,
0.382,-70.714,-32.7,0.275,0.003822,
0.384,-70.7104,-32.1,-4.937,0.001066,
0.386,-70.7146,-32,2.085,-0.0016,
0.388,-70.7207,-32.3,-1.145,-0.0032,
0.39,-70.7256,-32.7,-3.792,-0.002666,
0.392,-70.733,-33.3,-0.711,-0.003822,
0.394,-70.7403,-34,-3.731,-0.004888,
0.396,-70.7488,-34.5,-1.788,-0.009244,
0.398,-70.7531,-34.7,-1.049,-0.006488,
0.4,-70.7452,-34.8,0.233,0.001066,
0.402,-70.7458,-34.6,-5.1,-0.001688,
0.404,-70.7366,-34.5,4.441,0.004355,
0.406,-70.736,-34.3,0.807,0.004355,
0.408,-70.7323,-34.1,0.669,0.002222,
0.41,-70.7214,-33.5,-0.451,0.005422,
0.412,-70.7116,-32.5,-0.097,0.005955,
0.414,-70.6933,-31,0.291,0.005955,
