Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3062,-1.5,2.1,0.000622,
0.002,-0.28,-1.1,-17.446,0.002755,
0.004,-0.2562,-0.5,6.698,0.012444,
0.006,-0.1964,-0.7,8.079,0.031999,
0.008,-0.1495,-3.6,-9.273,0.019555,
0.01,-0.1629,-1.4,-14.148,-0.011911,
0.012,-0.1739,-0.9,1.181,-0.002755,
0.014,-0.1763,-1.4,1.302,-0.000533,
0.016,-0.177,-2,-6.702,-0.004888,
0.018,-0.18,-1.4,-4.648,-0.004355,
0.02,-0.1794,-1.1,-1.16,-0.002755,
0.022,-0.1757,-1.6,1.916,0.003822,
0.024,-0.1776,-1.4,-1.449,0.000533,
0.026,-0.1885,-1.7,-10.333,-0.011377,
0.028,-0.197,-1.5,-0.633,-0.003288,
0.03,-0.2031,-1.4,2.149,-0.002755,
0.032,-0.2092,-1.6,0.211,-0.002133,
0.034,-0.2226,-1.7,-2.762,-0.006488,
0.036,-0.2397,-2,-7.652,-0.012444,
0.038,-0.2745,-1.9,-5.403,-0.017333,
0.04,-0.316,-2,-4.173,-0.023822,
0.042,-0.3746,-1.9,-0.032,-0.028711,
0.044,-0.4485,-1.8,-1.449,-0.039111,
0.046,-0.5321,-2.2,-10.107,-0.044,
0.048,-0.631,-2.1,-2.742,-0.050488,
0.05,-0.7439,-2,-1.836,-0.058577,
0.052,-0.8757,-1.9,-6.869,-0.068888,
0.054,-1.013,-1.8,-2.882,-0.069422,
0.056,-1.1662,-1.9,-5.075,-0.080266,
0.058,-1.3231,-1.8,-4.128,-0.083022,
0.06,-1.4934,-1.6,-2.787,-0.087377,
0.062,-1.6631,-1.6,-3.781,-0.086311,
0.064,-1.8437,-1.5,-1.597,-0.088977,
0.066,-2.0311,-1.6,-4.377,-0.098755,
0.068,-2.2118,-1.6,-1.881,-0.090133,
0.07,-2.4028,-1.5,-0.281,-0.098222,
0.072,-2.5951,-1.4,5.893,-0.0928,
0.074,-2.7885,-1.4,0.098,-0.0944,
0.076,-2.9839,-1.6,-10.27,-0.103111,
0.078,-3.1792,-1.6,-3.815,-0.099288,
0.08,-3.3788,-1.5,1.597,-0.100977,
0.082,-3.5802,-1.5,-1.837,-0.105244,
0.084,-3.7822,-1.5,0.949,-0.103644,
0.086,-3.9952,-1.7,-5.142,-0.110133,
0.088,-4.2046,-1.7,-5.519,-0.107466,
0.09,-4.4225,-1.7,-1.891,-0.111822,
0.092,-4.6422,-1.6,4.019,-0.108533,
0.094,-4.8711,-1.6,-3.499,-0.113422,
0.096,-5.103,-1.8,-8.219,-0.118311,
0.098,-5.3423,-1.8,-2.279,-0.119911,
0.1,-5.5913,-1.7,-3.474,-0.126933,
0.102,-5.8434,-1.7,0.645,-0.127555,
0.104,-6.1009,-1.6,0.443,-0.127999,
0.106,-6.3707,-1.8,-4.769,-0.135644,
0.108,-6.6472,-1.7,-2.598,-0.138311,
0.11,-6.931,-1.7,-3.596,-0.144888,
0.112,-7.216,-1.6,-3.122,-0.144266,
0.114,-7.5114,-1.6,-1.102,-0.147022,
0.116,-7.813,-1.8,-5.282,-0.154133,
0.118,-8.1163,-1.8,-1.286,-0.151911,
0.12,-8.4331,-1.7,-2.554,-0.162222,
0.122,-8.7566,-1.6,-0.895,-0.164444,
0.124,-9.0825,-1.6,-2.179,-0.166044,
0.126,-9.417,-1.7,-4.918,-0.172,
0.128,-9.7539,-1.7,-0.556,-0.1704,
0.13,-10.1012,-1.6,-1.712,-0.177422,
0.132,-10.4491,-1.7,-1.022,-0.175288,
0.134,-10.8055,-1.6,-0.358,-0.176888,
