Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3375,-1.3,-5.881,-0.023911,
0.002,-0.357,-3.1,12.413,-0.017333,
0.004,-0.4559,-3.2,-19.389,-0.056444,
0.006,-0.6432,-3,-27.048,-0.105244,
0.008,-0.9338,-3,-29.624,-0.158488,
0.01,-1.3354,-3.2,-32.345,-0.215911,
0.012,-1.8676,-3.5,-31.019,-0.278311,
0.014,-2.542,-3.7,-38.518,-0.352622,
0.016,-3.3569,-3.8,-36.147,-0.423733,
0.018,-4.3041,-3.7,-35.741,-0.491466,
0.02,-5.3881,-3.6,-32.002,-0.556088,
0.022,-6.6143,-3.5,-34.023,-0.627733,
0.024,-7.9797,-3.5,-30,-0.696088,
0.026,-9.5019,-3.4,-42.137,-0.779111,
0.028,-11.195,-3.3,-46.153,-0.866933,
0.03,-13.0444,-3.1,-34.362,-0.938577,
0.032,-14.9835,-3.1,-10.039,-0.972799,
0.034,-16.9763,-3.1,-16.606,-1.006399,
0.036,-19.0832,-3.1,-30.261,-1.066666,
0.038,-21.3494,-2.8,-45.911,-1.155555,
0.04,-23.8189,-1.8,-53.959,-1.254311,
0.042,-26.3329,-1.8,12.181,-1.2424,
0.044,-28.7493,-2.6,23.744,-1.201688,
0.046,-31.1657,-2.6,-5.39,-1.215288,
0.048,-33.7292,-2.4,-44.522,-1.298311,
0.05,-36.3543,-1.5,3.432,-1.305333,
0.052,-38.8616,-1.3,31.979,-1.242933,
0.054,-41.3232,-0.9,4.297,-1.230488,
0.056,-43.8116,-0.6,-13.805,-1.247288,
0.058,-46.2524,0,22.942,-1.204977,
0.06,-48.5705,0.2,31.322,-1.1464,
0.062,-50.827,0.9,7.781,-1.125777,
0.064,-53.0761,1.1,1.227,-1.121422,
0.066,-55.2599,1.3,29.473,-1.075822,
0.068,-57.2973,1.5,36.359,-1.004266,
0.07,-59.2266,1.5,19.883,-0.954844,
0.072,-61.0894,1.8,16.241,-0.923911,
0.074,-62.8961,2,14.557,-0.896888,
0.076,-64.5623,-29.5,46.023,-0.805066,
0.078,-66.0302,0,38.953,-0.713422,
0.08,-67.3602,2.7,30.366,-0.648888,
0.082,-68.5674,-2.4,31.056,-0.587555,
0.084,-69.6282,-1,42.837,-0.506666,
0.086,-70.5676,-13.2,29.767,-0.452533,
0.088,-71.2902,-51.9,69.228,-0.326044,
0.09,-71.5899,-52.1,124.974,-0.091644,
0.092,-71.383,-52.1,109.575,0.147022,
0.094,-70.9625,-38.8,29.774,0.218044,
0.096,-70.5596,-17.7,-16.934,0.193155,
0.098,-70.2636,-9.4,-30.814,0.135111,
0.1,-70.133,-15.2,-58.586,0.046133,
0.102,-70.0671,-16.4,-1.22,0.018933,
