Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2825,-5.2,6.022,0.022755,
0.005,-0.1928,-4.5,12.067,0.036888,
0.01,-0.1721,-5,-4.842,-0.009244,
0.015,-0.1709,-5.6,-0.069,0.004888,
0.02,-0.1727,-5.3,-4.217,0.001688,
0.025,-0.1764,-5.1,0.545,-0.000533,
0.03,-0.177,-5.3,-1.837,-0.0016,
0.035,-0.1794,-5.2,4.46,-0.003733,
0.04,-0.177,-5.2,-4.68,0,
0.045,-0.1813,-5.2,1.096,-0.002755,
0.05,-0.1782,-5.3,-2.519,0.000533,
0.055,-0.1825,-5.1,3.328,0,
0.06,-0.1862,-5.2,-0.457,-0.000622,
0.065,-0.1983,-5.2,4.156,0.000533,
0.07,-0.2068,-5.3,-4.751,-0.002666,
0.075,-0.2184,-5.3,2.467,-0.0016,
0.08,-0.2587,-5.5,-0.187,-0.010311,
0.085,-0.3484,-5.4,-2.372,-0.020088,
0.09,-0.4601,-5.4,2.016,-0.0184,
0.095,-0.6078,-5.3,-0.739,-0.029866,
0.1,-0.7689,-5.3,-2.296,-0.031466,
0.105,-0.9459,-5.2,0.794,-0.038488,
0.11,-1.115,-5.2,-3.011,-0.035822,
0.115,-1.2774,-5.2,2.016,-0.034222,
0.12,-1.433,-5.2,1.195,-0.029333,
0.125,-1.5917,-5.2,1.186,-0.034755,
0.13,-1.7449,-5.2,-2.149,-0.036355,
0.135,-1.9005,-5.2,3.026,-0.033066,
0.14,-2.0733,-5.3,-1.713,-0.034222,
0.145,-2.2625,-5.2,-2.537,-0.040711,
0.15,-2.4651,-5.3,0.935,-0.039022,
0.155,-2.6751,-5.2,-0.613,-0.042844,
0.16,-2.896,-5.3,-0.84,-0.044444,
0.165,-3.1292,-5.2,-0.367,-0.048888,
0.17,-3.3629,-5.2,-5.242,-0.047733,
0.175,-3.6028,-5.2,4.773,-0.0456,
0.18,-3.8476,-5.3,-1.595,-0.044533,
0.185,-4.1057,-5.2,2.302,-0.050933,
0.19,-4.3664,-5.3,0.046,-0.054311,
0.195,-4.6392,-5.2,5.725,-0.053688,
0.2,-4.9132,-5.2,-2.726,-0.058044,
0.205,-5.2001,-5.2,2.177,-0.059644,
0.21,-5.4925,-5.3,-1.772,-0.058133,
0.215,-5.7964,-5.2,2.015,-0.059644,
0.22,-6.1089,-5.3,-5.383,-0.066755,
0.225,-6.4275,-5.2,1.604,-0.061866,
0.23,-6.7479,-5.3,1.793,-0.061244,
0.235,-7.0812,-5.3,1.749,-0.065688,
0.24,-7.4181,-5.3,-1.373,-0.068888,
0.245,-7.7617,-5.2,2.369,-0.069955,
0.25,-8.1133,-5.3,-2.314,-0.071111,
0.255,-8.4777,-5.2,1.075,-0.073244,
0.26,-8.8488,-5.3,-3.223,-0.076,
0.265,-9.2235,-5.2,1.516,-0.076977,
0.27,-9.5965,-5.3,-2.054,-0.075466,
0.275,-9.9785,-5.3,-0.347,-0.076444,
0.28,-10.3777,-5.3,-5.334,-0.081955,
0.285,-10.7818,-5.3,-0.092,-0.080355,
0.29,-11.2023,-5.3,-1.917,-0.081955,
0.295,-11.6253,-5.2,2.847,-0.083555,
0.3,-12.0531,-5.3,-2.751,-0.085155,
0.305,-12.4785,-5.3,3.092,-0.083555,
0.31,-12.9113,-5.3,1.872,-0.082488,
0.315,-13.3495,-5.3,4.768,-0.086222,
0.32,-13.7914,-5.4,-4.216,-0.086844,
0.325,-14.2412,-5.3,-0.774,-0.087822,
0.33,-14.6947,-5.4,0.172,-0.092711,
0.335,-15.1446,-5.4,-0.893,-0.0912,
0.34,-15.6035,-5.4,-1.442,-0.092177,
