Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3215,-5.3,-1.482,-0.009244,
0.005,-0.2123,-4.5,10.132,0.034666,
0.01,-0.1617,-4.5,-10.009,-0.013599,
0.015,-0.169,-5.6,3.865,0.003288,
0.02,-0.1745,-5.1,1.085,-0.003822,
0.025,-0.169,-5.2,-0.587,-0.000533,
0.03,-0.1696,-5.2,-0.484,0.001155,
0.035,-0.1721,-5.3,-0.507,-0.001688,
0.04,-0.1739,-5.2,-2.549,0,
0.045,-0.1757,-5.3,3.92,-0.0016,
0.05,-0.1757,-5.3,-0.115,-0.002133,
0.055,-0.177,-5.2,2.149,0.002133,
0.06,-0.1825,-5.3,-1.268,-0.004888,
0.065,-0.194,-5.3,-4.417,-0.004355,
0.07,-0.2019,-5.3,4.441,-0.000533,
0.075,-0.2135,-5.4,5.533,-0.001066,
0.08,-0.2568,-5.5,1.131,-0.014666,
0.085,-0.3398,-5.5,3.165,-0.015199,
0.09,-0.4582,-5.4,0.515,-0.026044,
0.095,-0.5925,-5.4,5.106,-0.026577,
0.1,-0.7524,-5.3,-1.899,-0.0336,
0.105,-0.9154,-5.2,1.99,-0.030933,
0.11,-1.0845,-5.2,-4.821,-0.033688,
0.115,-1.2438,-5.2,5.135,-0.030399,
0.12,-1.3933,-5.2,0.007,-0.030933,
0.125,-1.5483,-5.3,2.051,-0.030399,
0.13,-1.7064,-5.3,-1.539,-0.032533,
0.135,-1.8755,-5.3,2.029,-0.037422,
0.14,-2.0537,-5.3,-2.728,-0.039111,
0.145,-2.2405,-5.3,3.346,-0.038044,
0.15,-2.4419,-5.2,0.168,-0.044,
0.155,-2.6415,-5.3,6.104,-0.033155,
0.16,-2.8587,-5.3,-3.648,-0.045511,
0.165,-3.0797,-5.3,-0.396,-0.042311,
0.17,-3.319,-5.3,-2.529,-0.048888,
0.175,-3.5674,-5.4,-8.715,-0.052088,
0.18,-3.8201,-5.3,-1.982,-0.054844,
0.185,-4.0733,-5.3,-2.972,-0.051999,
0.19,-4.3352,-5.3,0.509,-0.058044,
0.195,-4.5983,-5.3,0.866,-0.050488,
0.2,-4.8735,-5.3,2.893,-0.056977,
0.205,-5.1616,-5.3,2.215,-0.057511,
0.21,-5.454,-5.3,0,-0.058666,
0.215,-5.7573,-5.3,1.499,-0.057511,
0.22,-6.0692,-5.3,-2.774,-0.064533,
0.225,-6.3835,-5.3,-0.904,-0.061244,
