Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3063,-5.3,0.847,0.0016,
0.005,-0.219,-4.4,7.256,0.029866,
0.01,-0.1624,-4.7,-9.474,-0.013066,
0.015,-0.1709,-5.5,0.183,0.007022,
0.02,-0.1721,-5.1,2.247,-0.001066,
0.025,-0.1721,-5.3,-2.068,0.000533,
0.03,-0.174,-5.3,1.28,0,
0.035,-0.1733,-5.3,-4.393,0.001155,
0.04,-0.1752,-5.2,2.439,0,
0.045,-0.1752,-5.3,-1.238,-0.000533,
0.05,-0.1776,-5.2,1.284,-0.000533,
0.055,-0.1758,-5.3,0.817,0.003822,
0.06,-0.1837,-5.3,0.157,-0.004888,
0.065,-0.194,-5.3,-4.533,-0.0032,
0.07,-0.2019,-5.3,0.49,0.001155,
0.075,-0.2117,-5.4,-3.123,0,
0.08,-0.2508,-5.5,-3.63,-0.015199,
0.085,-0.3264,-5.5,0.702,-0.018933,
0.09,-0.44,-5.4,1.366,-0.025511,
0.095,-0.5761,-5.4,-0.353,-0.025511,
0.1,-0.7342,-5.3,1.309,-0.030933,
0.105,-0.9026,-5.3,-1.51,-0.031999,
0.11,-1.0723,-5.2,1.782,-0.032533,
0.115,-1.2292,-5.2,4.224,-0.024977,
0.12,-1.3927,-5.2,3.172,-0.0352,
0.125,-1.5447,-5.3,-1.545,-0.0336,
0.13,-1.6973,-5.3,-1.346,-0.028799,
0.135,-1.8627,-5.4,-3.582,-0.0336,
0.14,-2.0367,-5.4,-1.306,-0.036977,
0.145,-2.2259,-5.4,3.566,-0.034755,
0.15,-2.4322,-5.3,0.577,-0.041244,
0.155,-2.6385,-5.4,0.04,-0.035822,
0.16,-2.86,-5.3,3.1,-0.040711,
0.165,-3.0889,-5.4,-3.364,-0.048266,
0.17,-3.3269,-5.4,1.276,-0.0472,
0.175,-3.5668,-5.3,-6.921,-0.048266,
0.18,-3.8146,-5.3,0.61,-0.051555,
0.185,-4.063,-5.3,-3.484,-0.049333,
0.19,-4.32,-5.3,-1.192,-0.051022,
0.195,-4.5849,-5.3,-0.879,-0.052088,
0.2,-4.8632,-5.3,3.964,-0.055911,
0.205,-5.1458,-5.4,-2.877,-0.056977,
0.21,-5.4394,-5.2,0.545,-0.056977,
0.215,-5.7342,-5.3,1.622,-0.054844,
0.22,-6.0406,-5.3,-2.253,-0.065688,
0.225,-6.3482,-5.4,-2.767,-0.060799,
0.23,-6.6741,-5.4,-0.146,-0.067288,
0.235,-7.0025,-5.3,1.389,-0.064622,
0.24,-7.3424,-5.4,1.086,-0.070488,
0.245,-7.6836,-5.4,-1.409,-0.068355,
0.25,-8.0382,-5.3,1.199,-0.069422,
0.255,-8.4063,-5.4,-3.334,-0.074311,
0.26,-8.7804,-5.2,1.308,-0.074311,
0.265,-9.1576,-5.4,-4.448,-0.075377,
0.27,-9.5409,-5.3,-1.475,-0.078666,
0.275,-9.9254,-5.4,-0.59,-0.074844,
0.28,-10.3234,-5.3,-4.517,-0.082488,
0.285,-10.7177,-5.4,-3.917,-0.0792,
0.29,-11.1285,-5.3,3.04,-0.083022,
0.295,-11.5435,-5.4,0.706,-0.084088,
0.3,-11.9585,-5.4,-0.902,-0.085155,
0.305,-12.3821,-5.4,-4.103,-0.085688,
0.31,-12.8136,-5.3,4.114,-0.086222,
0.315,-13.2494,-5.4,-0.49,-0.085688,
0.32,-13.6968,-5.4,-1.853,-0.090577,
0.325,-14.1436,-5.5,-2.148,-0.087377,
0.33,-14.6007,-5.4,-1.554,-0.091644,
0.335,-15.0561,-5.5,-1.312,-0.091733,
0.34,-15.5138,-5.4,2.492,-0.086755,
0.345,-15.9795,-5.4,0.627,-0.091644,
0.35,-16.4416,-5.4,-1.936,-0.0928,
0.355,-16.906,-5.5,-2.38,-0.0944,
0.36,-17.3736,-5.3,-1.533,-0.094933,
0.365,-17.8393,-5.4,0.624,-0.093866,
0.37,-18.3013,-5.4,-1.5,-0.0928,
