Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.31,-5.3,3.166,-0.007644,
0.005,-0.2057,-4.5,9.835,0.033066,
0.01,-0.1715,-4.9,-3.138,-0.009777,
0.015,-0.1721,-5.7,0.761,0.002222,
0.02,-0.1746,-5.2,0.298,0.001066,
0.025,-0.1746,-5.2,2.856,0.002666,
0.03,-0.1746,-5.2,3.026,0.001066,
0.035,-0.1764,-5.3,1.916,0,
0.04,-0.1776,-5.2,2.057,0,
0.045,-0.1795,-5.2,0.505,-0.002755,
0.05,-0.1801,-5.3,-1.635,-0.003822,
0.055,-0.1807,-5.2,2.363,0.0016,
0.06,-0.188,-5.3,-5.536,-0.004355,
0.065,-0.1984,-5.3,0.813,-0.0016,
0.07,-0.2075,-5.3,1.14,-0.0016,
0.075,-0.2167,-5.4,2.103,0,
0.08,-0.2539,-5.5,-1.415,-0.010844,
0.085,-0.3326,-5.4,-0.311,-0.015199,
0.09,-0.443,-5.5,-4.289,-0.023288,
0.095,-0.584,-5.4,-2.352,-0.028177,
0.1,-0.7446,-5.3,-1.645,-0.033688,
0.105,-0.8996,-5.3,-0.72,-0.029333,
0.11,-1.0644,-5.2,-2.559,-0.033155,
0.115,-1.2218,-5.2,5.745,-0.029777,
0.12,-1.3799,-5.2,-3.594,-0.029777,
0.125,-1.5362,-5.2,0.966,-0.030399,
0.13,-1.6991,-5.3,-2.177,-0.031466,
0.135,-1.867,-5.3,-1.895,-0.031466,
0.14,-2.0495,-5.3,-3.236,-0.036888,
0.145,-2.243,-5.3,1.019,-0.038044,
0.15,-2.4487,-5.3,-3.342,-0.049955,
0.155,-2.6507,-5.2,1.149,-0.039644,
0.16,-2.8692,-5.3,-1.255,-0.042844,
0.165,-3.0907,-5.3,-2.177,-0.040622,
0.17,-3.3276,-5.3,-2.145,-0.047822,
0.175,-3.5748,-5.3,2.515,-0.051555,
0.18,-3.8238,-5.2,0.059,-0.053155,
0.185,-4.0722,-5.3,-1.592,-0.049422,
0.19,-4.3334,-5.3,-0.79,-0.052622,
0.195,-4.5983,-5.3,-0.768,-0.049333,
0.2,-4.8809,-5.3,-1.909,-0.057511,
0.205,-5.1641,-5.3,1.643,-0.055288,
0.21,-5.4528,-5.3,1.272,-0.057511,
0.215,-5.7519,-5.3,3.034,-0.057511,
0.22,-6.0595,-5.3,-2.894,-0.063999,
0.225,-6.3726,-5.3,4.746,-0.059644,
0.23,-6.6985,-5.3,0.986,-0.064533,
0.235,-7.0232,-5.3,1.003,-0.066133,
0.24,-7.3516,-5.3,-0.117,-0.067288,
0.245,-7.6928,-5.3,1.046,-0.068355,
0.25,-8.048,-5.3,-0.834,-0.073244,
0.255,-8.413,-5.4,0.951,-0.072711,
0.26,-8.7902,-5.3,0.28,-0.076533,
0.265,-9.1705,-5.3,0.412,-0.0776,
0.27,-9.5538,-5.3,-1.264,-0.075466,
0.275,-9.948,-5.3,-2.932,-0.0792,
0.28,-10.3436,-5.3,-2.644,-0.080355,
0.285,-10.7433,-5.3,7.466,-0.075377,
0.29,-11.1565,-5.3,-2.614,-0.083555,
0.295,-11.5691,-5.3,3.957,-0.0824,
0.3,-11.9817,-5.4,-5.544,-0.0824,
0.305,-12.4053,-5.3,1.659,-0.081333,
0.31,-12.8301,-5.4,-3.037,-0.085688,
0.315,-13.2623,-5.3,0.256,-0.087377,
0.32,-13.6962,-5.4,1.192,-0.087377,
0.325,-14.1454,-5.4,-2.218,-0.092177,
0.33,-14.6032,-5.4,-3.382,-0.0944,
0.335,-15.0591,-5.4,-0.686,-0.089511,
0.34,-15.5242,-5.3,1.916,-0.091644,
0.345,-15.9893,-5.4,-1.187,-0.0928,
0.35,-16.4562,-5.3,1.945,-0.092711,
0.355,-16.9238,-5.4,0.252,-0.0928,
0.36,-17.3943,-5.4,-1.296,-0.0944,
0.365,-17.8619,-5.3,3.582,-0.0944,
0.37,-18.3263,-5.4,-1.608,-0.092177,
0.375,-18.7975,-5.3,-1.755,-0.095466,
0.38,-19.262,-5.4,-2.62,-0.094933,
0.385,-19.7314,-5.4,2.212,-0.097155,
0.39,-20.2081,-5.4,-0.764,-0.098222,
0.395,-20.6939,-5.5,1.57,-0.097155,
0.4,-21.184,-5.4,0.802,-0.101422,
0.405,-21.6735,-5.4,-1.344,-0.096,
0.41,-22.1734,-5.3,1.38,-0.102044,
0.415,-22.6598,-5.4,4.082,-0.093866,
0.42,-23.1487,-5.4,0.177,-0.095466,
0.425,-23.6327,-5.4,-4.226,-0.0976,
0.43,-24.1094,-5.4,-1.356,-0.096,
0.435,-24.5892,-5.4,-1.657,-0.095022,
0.44,-25.0622,-5.5,-1.659,-0.0944,
0.445,-25.5401,-5.5,-1.926,-0.0944,
0.45,-26.0278,-5.5,-0.353,-0.099822,
0.455,-26.5252,-5.5,-1.302,-0.099822,
0.46,-27.0324,-5.5,0.539,-0.105244,
0.465,-27.5323,-5.5,1.256,-0.099288,
0.47,-28.0401,-5.4,-0.171,-0.102044,
0.475,-28.5509,-5.4,-2.641,-0.103022,
0.48,-29.0624,-5.4,-0.083,-0.103022,
0.485,-29.5696,-5.4,-4.253,-0.103022,
0.49,-30.0793,-5.4,0.892,-0.102044,
0.495,-30.5938,-5.4,-1.364,-0.105244,
0.5,-31.1089,-5.4,1.385,-0.103555,
0.505,-31.6314,-5.4,2.01,-0.103644,
0.51,-32.1569,-5.4,-0.966,-0.103644,
0.515,-32.6897,-5.4,-0.463,-0.107377,
0.52,-33.2146,-5.4,-4.369,-0.106844,
0.525,-33.745,-5.4,2.305,-0.101955,
0.53,-34.2736,-5.4,0.81,-0.104711,
0.535,-34.7948,-5.4,-2.947,-0.105244,
0.54,-35.313,-5.4,-0.906,-0.101955,
0.545,-35.8337,-5.4,0.733,-0.101511,
0.55,-36.3506,-5.4,2.83,-0.101422,
0.555,-36.8664,-5.4,-2.946,-0.103644,
0.56,-37.3821,-5.4,-0.573,-0.102488,
0.565,-37.8954,-5.4,1.047,-0.101422,
0.57,-38.4093,-5.4,-2.318,-0.104088,
0.575,-38.9214,-5.4,-1.783,-0.101955,
0.58,-39.4341,-5.4,-1.21,-0.103022,
0.585,-39.945,-5.3,-2.401,-0.105777,
0.59,-40.4504,-5.3,-0.061,-0.099822,
0.595,-40.9588,-5.3,3.682,-0.100888,
0.6,-41.4568,-5.3,0.392,-0.096,
0.605,-41.9549,-5.3,1.967,-0.102577,
0.61,-42.4389,-5.3,3.998,-0.093866,
0.615,-42.9235,-5.2,-1.5,-0.096,
0.62,-43.4032,-5.2,3.26,-0.095466,
0.625,-43.8744,-5.3,-0.782,-0.094933,
0.63,-44.3468,-5.3,-0.667,-0.096,
0.635,-44.8205,-5.3,-1.476,-0.098755,
0.64,-45.2862,-5.3,4.796,-0.093866,
0.645,-45.7513,-5.3,0.678,-0.0944,
0.65,-46.2145,-5.3,-1.284,-0.091644,
0.655,-46.6723,-5.3,-0.316,-0.090577,
0.66,-47.1227,-5.3,1.991,-0.086222,
0.665,-47.5732,-5.2,-0.915,-0.088977,
0.67,-48.0138,-5.3,4.227,-0.084088,
0.675,-48.4606,-5.3,-2.302,-0.088444,
0.68,-48.9007,-5.3,1.109,-0.087911,
0.685,-49.3365,-5.2,-0.555,-0.087377,
0.69,-49.7649,-5.3,1.969,-0.082933,
0.695,-50.1965,-5.3,-3.227,-0.086844,
0.7,-50.6243,-5.3,9.408,-0.081955,
0.705,-51.0503,-5.3,3.195,-0.085688,
0.71,-51.4739,-5.2,2.342,-0.082488,
0.715,-51.8877,-5.3,1.133,-0.085155,
0.72,-52.2961,-5.3,1.711,-0.076,
0.725,-52.7026,-5.3,-0.788,-0.082488,
0.73,-53.1023,-5.3,-0.585,-0.081333,
0.735,-53.496,-5.3,0.907,-0.076444,
0.74,-53.8891,-5.3,1.401,-0.074844,
0.745,-54.2767,-5.3,0.708,-0.078133,
0.75,-54.6551,-5.3,-0.515,-0.073244,
0.755,-55.0268,-5.3,1.45,-0.074311,
0.76,-55.3948,-5.3,3.062,-0.070488,
0.765,-55.7525,-5.3,0.503,-0.070577,
0.77,-56.1034,-5.4,2.05,-0.066666,
0.775,-56.4513,-5.3,-0.641,-0.067822,
0.78,-56.7956,-5.4,0.163,-0.066755,
0.785,-57.1325,-5.3,-0.207,-0.065688,
0.79,-57.4578,-5.3,0.755,-0.061333,
0.795,-57.7813,-5.3,2.696,-0.065066,
0.8,-58.0895,-5.3,0.619,-0.061866,
0.805,-58.3929,-5.3,0.575,-0.062399,
0.81,-58.6883,-5.3,2.76,-0.057511,
0.815,-58.9721,-5.4,0.405,-0.054844,
0.82,-59.251,-5.3,0.075,-0.054755,
0.825,-59.5214,-5.3,-1.782,-0.053688,
0.83,-59.7796,-5.3,2.407,-0.048266,
0.835,-60.0311,-5.4,0.243,-0.051022,
0.84,-60.2752,-5.4,6.112,-0.0456,
0.845,-60.5175,-5.3,-0.134,-0.0488,
0.85,-60.7488,-5.4,0.305,-0.046133,
0.855,-60.9783,-5.3,1.827,-0.044444,
0.86,-61.2023,-5.3,1.062,-0.041777,
0.865,-61.4086,-5.3,2.16,-0.042311,
0.87,-61.6064,-5.3,-1.863,-0.039644,
0.875,-61.8005,-5.3,-1.131,-0.044533,
0.88,-61.9817,-5.4,0.124,-0.037422,
0.885,-62.1697,-5.4,2.269,-0.039555,
0.89,-62.3394,-5.4,2.461,-0.032533,
0.895,-62.5134,-5.3,-0.554,-0.035822,
0.9,-62.6702,-5.4,-0.756,-0.029866,
0.905,-62.8277,-5.4,-3.249,-0.029333,
0.91,-62.9711,-5.4,4.268,-0.025511,
0.915,-63.1072,-5.4,-5.019,-0.027644,
0.92,-63.233,-5.6,-2.81,-0.025511,
0.925,-63.3514,-5.9,-3.97,-0.027199,
0.93,-63.4435,-6.7,1.446,-0.015199,
0.935,-63.5198,-6.6,-0.332,-0.017866,
0.94,-63.5748,-6.6,1.144,-0.009777,
0.945,-63.6303,-6.4,-2.429,-0.015199,
0.95,-63.6962,-6.4,4.799,-0.011911,
0.955,-63.7749,-6.5,-2.025,-0.016266,
0.96,-63.8482,-6.5,2.033,-0.013599,
0.965,-63.9159,-6.5,-5.542,-0.014044,
0.97,-63.9703,-6.5,-5.463,-0.011466,
0.975,-64.0209,-6.4,-4.203,-0.014133,
0.98,-64.0508,-6.4,1.727,-0.002666,
0.985,-64.0777,-6.4,-0.792,-0.006488,
0.99,-64.0874,-6.5,-0.522,-0.0016,
0.995,-64.096,-6.5,-1.826,-0.003288,
1,-64.0984,-6.5,-0.798,-0.001066,
1.005,-64.1399,-6.6,-2.079,-0.012444,
1.01,-64.2626,-6.6,-2.632,-0.031999,
1.015,-64.4799,-6.6,-8.446,-0.052622,
1.02,-64.79,-6.6,-6.319,-0.069511,
1.025,-65.1818,-6.7,-4.26,-0.085688,
1.03,-65.6542,-6.7,-5.691,-0.101955,
1.035,-66.1956,-7.2,-2.375,-0.112266,
1.04,-66.7815,-7.7,-2.699,-0.120977,
1.045,-67.401,-7.4,0.021,-0.127466,
1.05,-68.0321,-7.6,-1.376,-0.127999,
1.055,-68.6651,-8.4,1.526,-0.125866,
1.06,-69.2803,-9.6,0.73,-0.122044,
1.065,-69.8608,-11,3.468,-0.114488,
1.07,-70.3838,-19.3,4.886,-0.099822,
1.075,-70.6799,-32,12.231,-0.035822,
1.08,-70.6933,-32.7,0.668,0.006488,
1.085,-70.6817,-31.1,-4.512,-0.002755,
1.09,-70.6921,-31.6,-1.368,-0.003822,
1.095,-70.7055,-32.8,-0.887,-0.004355,
1.1,-70.7067,-33.3,2.359,0.003822,
1.105,-70.6982,-33.3,-2.359,0.002133,
1.11,-70.6847,-32.7,2.805,0.006044,
1.115,-70.6396,-29.6,-0.095,0.013511,
1.12,-70.5431,-23.9,-0.362,0.020622,
1.125,-70.4076,-18,-4.06,0.027199,
1.13,-70.2489,-13.5,4.057,0.034755,
1.135,-70.0359,-11.2,1.615,0.047733,
1.14,-69.7094,-10.4,7.416,0.075911,
1.145,-69.2345,-9.5,5.6,0.105333,
1.15,-68.6236,-8.7,3.292,0.131822,
1.155,-67.9369,-7.9,3.08,0.139466,
1.16,-67.21,-7.1,1.497,0.145422,
1.165,-66.5044,-6.4,-3.812,0.136177,
1.17,-65.8672,-6.3,-5.482,0.117777,
1.175,-65.3405,-6.6,-4.953,0.0944,
1.18,-64.9395,-6.7,-8.937,0.068355,
1.185,-64.6563,-6.5,-6.715,0.047733,
1.19,-64.4848,-6.4,-6.861,0.023822,
1.195,-64.4097,-6.4,-1.209,0.009244,
1.2,-64.4134,-6.3,0.703,-0.003822,
1.205,-64.4366,-6.5,-1.186,-0.004888,
1.21,-64.5,-6.5,0.512,-0.017866,
1.215,-64.6477,-6.7,-5.423,-0.037955,
1.22,-64.9017,-6.7,-5.487,-0.060266,
1.225,-65.2465,-6.9,-1.77,-0.074311,
1.23,-65.686,-7.2,-5.399,-0.095022,
1.235,-66.2048,-7,-1.66,-0.108533,
1.24,-66.7876,-7.2,-3.721,-0.120444,
1.245,-67.4133,-7.7,0.726,-0.125333,
1.25,-68.0566,-8.6,-1.005,-0.130222,
1.255,-68.6968,-9.9,1.728,-0.126399,
1.26,-69.3145,-11.2,3.286,-0.118844,
1.265,-69.8864,-12.5,-0.109,-0.109599,
1.27,-70.4009,-20.4,5.414,-0.095466,
1.275,-70.6927,-33.5,17.425,-0.028266,
1.28,-70.7055,-33.9,2.065,0.006488,
1.285,-70.6872,-32.1,-2.017,0.000533,
1.29,-70.7012,-32.6,-0.557,-0.0032,
1.295,-70.7153,-33.8,-2.41,-0.004355,
1.3,-70.7171,-34.1,-2.199,0,
1.305,-70.711,-34.1,-0.566,0.001066,
1.31,-70.6957,-33.4,6.271,0.006488,
1.315,-70.6469,-30.1,4.573,0.012444,
1.32,-70.5468,-24.4,8.645,0.025511,
1.325,-70.4186,-18.6,-1.689,0.021688,
1.33,-70.2599,-14.1,3.619,0.031466,
1.335,-70.042,-11.9,3.393,0.051022,
1.34,-69.7124,-11,6.499,0.078133,
1.345,-69.2321,-10.2,6.239,0.107466,
1.35,-68.6205,-9.4,3.161,0.130222,
1.355,-67.9357,-8.5,0.705,0.137777,
1.36,-67.2124,-7.6,-0.405,0.144355,
1.365,-66.5099,-6.8,-2.396,0.137333,
1.37,-65.8727,-6.3,-1.098,0.123199,
1.375,-65.3454,-6.4,-1.638,0.0976,
1.38,-64.9377,-6.6,-4.625,0.074311,
1.385,-64.652,-6.6,-2.47,0.046666,
1.39,-64.4787,-6.4,-1.347,0.024355,
1.395,-64.4061,-6.4,-2.026,0.007022,
1.4,-64.4097,-6.3,0.871,-0.0016,
1.405,-64.4384,-6.5,-2.634,-0.009777,
1.41,-64.5037,-6.6,-1.855,-0.0184,
1.415,-64.6563,-6.7,-7.099,-0.037955,
1.42,-64.9047,-6.8,-3.061,-0.058577,
1.425,-65.2538,-7.1,-3.552,-0.076977,
1.43,-65.6963,-7.1,-4.356,-0.094933,
1.435,-66.2157,-7,-1.295,-0.108977,
1.44,-66.7974,-7.3,-0.85,-0.120444,
1.445,-67.42,-7.9,-0.847,-0.127555,
1.45,-68.0584,-9.1,-0.548,-0.129688,
1.455,-68.6932,-10.3,0.066,-0.124799,
1.46,-69.309,-11.7,2.538,-0.119911,
1.465,-69.8809,-13,3.447,-0.111199,
1.47,-70.3985,-20.6,4.602,-0.097155,
1.475,-70.6982,-33.9,16.907,-0.033155,
1.48,-70.7085,-34.5,3.093,0.007111,
1.485,-70.6933,-32.5,-3.118,0,
1.49,-70.7079,-33.1,2.487,-0.0032,
1.495,-70.722,-34.3,0.295,-0.002755,
1.5,-70.7207,-34.5,2.728,0.002755,
1.505,-70.7153,-34.4,-1.035,-0.001155,
1.51,-70.6969,-33.6,1.155,0.006044,
1.515,-70.6475,-30.2,2.075,0.011377,
1.52,-70.548,-24.6,1.831,0.023911,
1.525,-70.4192,-18.8,0.912,0.025511,
1.53,-70.2624,-14.4,1.736,0.033066,
1.535,-70.0463,-12.1,5.79,0.0488,
1.54,-69.7137,-11.3,5.946,0.076977,
1.545,-69.2321,-10.4,6.271,0.108533,
1.55,-68.6211,-9.6,3.853,0.131911,
1.555,-67.9339,-8.7,-0.886,0.14,
1.56,-67.2112,-7.8,-1.538,0.144355,
1.565,-66.5112,-7,-3.391,0.136177,
1.57,-65.8758,-6.5,-2.28,0.118222,
1.575,-65.3472,-6.3,-3.609,0.096,
1.58,-64.9425,-6.6,-3.533,0.070044,
1.585,-64.6557,-6.7,-5.698,0.044444,
1.59,-64.4775,-6.5,-0.781,0.027644,
1.595,-64.4067,-6.4,-3.891,0.005422,
1.6,-64.4085,-6.2,1.024,-0.002133,
1.605,-64.436,-6.4,-2.481,-0.007111,
1.61,-64.5098,-6.6,-2.644,-0.020622,
1.615,-64.6563,-6.8,-4.974,-0.035822,
1.62,-64.909,-7,-5.644,-0.059733,
1.625,-65.2605,-7.1,-1.21,-0.077511,
1.63,-65.6982,-7,-0.983,-0.091733,
1.635,-66.2188,-7,-4.795,-0.110133,
1.64,-66.7962,-7.4,-1.465,-0.119377,
1.645,-67.4181,-8.1,-0.96,-0.126933,
1.65,-68.0535,-9.3,-2.306,-0.126399,
1.655,-68.6895,-10.7,1.836,-0.125333,
1.66,-69.3029,-12,1.673,-0.117155,
1.665,-69.8791,-13.3,1.498,-0.112355,
1.67,-70.3997,-20.7,2.959,-0.098222,
1.675,-70.703,-34.2,15.342,-0.036266,
1.68,-70.7128,-34.8,2.196,0.008711,
1.685,-70.6933,-32.6,-3.6,-0.001066,
1.69,-70.7043,-33.3,2.574,0,
1.695,-70.7262,-34.5,1.396,-0.004888,
1.7,-70.7232,-34.7,3.573,0.003822,
1.705,-70.7153,-34.6,2.852,0.000533,
1.71,-70.7,-33.8,-0.524,0.003822,
1.715,-70.6481,-30.3,0.588,0.016266,
1.72,-70.5486,-24.7,6.845,0.027111,
1.725,-70.4198,-19,-1.794,0.026044,
1.73,-70.2605,-14.5,0.905,0.034755,
1.735,-70.0481,-12.4,3.215,0.0472,
1.74,-69.7186,-11.5,3.685,0.074311,
1.745,-69.237,-10.6,6.661,0.106844,
1.75,-68.6242,-9.8,1.232,0.130222,
1.755,-67.9333,-8.9,1.316,0.142666,
1.76,-67.2118,-8,2.491,0.145422,
1.765,-66.5105,-7.1,-7.76,0.132444,
1.77,-65.8733,-6.5,0.277,0.122666,
1.775,-65.3448,-6.3,-1.802,0.099288,
1.78,-64.9371,-6.6,-5.373,0.074844,
1.785,-64.652,-6.7,-3.741,0.048266,
1.79,-64.4787,-6.6,-9.643,0.020088,
1.795,-64.403,-6.5,-1.7,0.007555,
1.8,-64.4103,-6.3,1.606,-0.004355,
1.805,-64.4353,-6.4,-3.007,-0.007555,
1.81,-64.5123,-6.7,-8.038,-0.021777,
1.815,-64.6612,-6.8,3.026,-0.037955,
1.82,-64.9139,-7,-1.243,-0.056444,
1.825,-65.2618,-7,-1.513,-0.078133,
1.83,-65.7,-6.9,-3.021,-0.091111,
1.835,-66.2194,-7.1,-1.543,-0.108533,
1.84,-66.7992,-7.4,1.265,-0.118222,
1.845,-67.4194,-8.3,-1.635,-0.127555,
1.85,-68.0529,-9.5,-1.352,-0.128622,
1.855,-68.6889,-10.9,1.008,-0.126933,
1.86,-69.3029,-12.3,-0.12,-0.119377,
1.865,-69.8779,-13.5,0.753,-0.113422,
1.87,-70.3985,-20.8,5.082,-0.097688,
1.875,-70.703,-34.4,20.107,-0.031466,
1.88,-70.7195,-35.1,1.638,0.007644,
1.885,-70.6982,-32.9,-1.024,-0.000533,
1.89,-70.7134,-33.6,-0.839,-0.006488,
1.895,-70.7287,-34.8,-0.275,-0.004355,
1.9,-70.7293,-35.1,0.744,-0.001066,
1.905,-70.7201,-34.9,-2.433,-0.000533,
1.91,-70.7079,-34.1,0.968,0.001155,
1.915,-70.6561,-30.6,-1.381,0.009688,
1.92,-70.5541,-24.9,3.045,0.022222,
1.925,-70.4198,-19.1,1.972,0.028799,
1.93,-70.2673,-14.7,5.145,0.034666,
1.935,-70.0524,-12.5,5.072,0.050488,
1.94,-69.7234,-11.6,10.566,0.078666,
1.945,-69.2431,-10.8,2.741,0.108533,
1.95,-68.6297,-9.9,6.038,0.134577,
1.955,-67.9412,-9,-1.603,0.14,
1.96,-67.2173,-8.1,0.584,0.142133,
1.965,-66.5136,-7.2,-4.905,0.135111,
1.97,-65.8764,-6.5,-5.278,0.120444,
1.975,-65.3472,-6.3,-2.121,0.094933,
1.98,-64.9377,-6.5,-5.777,0.073244,
1.985,-64.6496,-6.7,-2.679,0.049866,
1.99,-64.4769,-6.6,-0.612,0.024888,
1.995,-64.4012,-6.5,-4.024,0.010311,
2,-64.4097,-6.4,-7.53,-0.005422,
2.005,-64.4372,-6.5,0.814,-0.007644,
2.01,-64.5098,-6.7,-1.041,-0.0168,
2.015,-64.6606,-6.8,-2.465,-0.036888,
2.02,-64.9139,-7,-1.735,-0.059199,
2.025,-65.2593,-7.1,-2.782,-0.074844,
2.03,-65.7006,-6.9,-5.302,-0.093866,
2.035,-66.2212,-7.1,-0.939,-0.110666,
2.04,-66.7992,-7.5,-1.814,-0.119822,
2.045,-67.42,-8.4,-1.045,-0.125333,
2.05,-68.0553,-9.6,0.711,-0.129066,
2.055,-68.6889,-11,1.222,-0.125866,
2.06,-69.3041,-12.4,0.444,-0.116622,
2.065,-69.8815,-13.6,1.639,-0.113333,
2.07,-70.4015,-21,2.556,-0.095466,
2.075,-70.7092,-34.7,15.379,-0.032088,
2.08,-70.7189,-35.2,2.699,0.009244,
2.085,-70.6982,-33,-3.5,-0.001155,
2.09,-70.7116,-33.7,-3.961,-0.005955,
2.095,-70.7287,-34.9,0.76,-0.0016,
2.1,-70.7293,-35.2,-0.868,-0.001066,
2.105,-70.7214,-35,0.863,0.002133,
2.11,-70.7067,-34.1,3.503,0.003288,
2.115,-70.6573,-30.7,-1.935,0.010844,
2.12,-70.5541,-25,4.52,0.023911,
2.125,-70.4235,-19.2,0.486,0.025511,
2.13,-70.266,-14.8,1.651,0.033155,
2.135,-70.0536,-12.6,3.758,0.051555,
2.14,-69.7259,-11.7,6.375,0.076444,
2.145,-69.2437,-10.8,7.413,0.109066,
2.15,-68.6327,-10.1,6.642,0.131911,
2.155,-67.9406,-9.2,-1.028,0.14,
2.16,-67.2161,-8.2,0.902,0.144888,
2.165,-66.5093,-7.3,-6.946,0.137244,
2.17,-65.8739,-6.6,-1.297,0.122666,
2.175,-65.3454,-6.3,-2.196,0.098222,
2.18,-64.9358,-6.5,-10.239,0.073244,
2.185,-64.6545,-6.7,-8.224,0.046044,
2.19,-64.4787,-6.7,-2.675,0.026577,
2.195,-64.4067,-6.5,-4.794,0.008622,
2.2,-64.4042,-6.3,2.826,0.004355,
2.205,-64.4097,-6.4,-0.369,-0.0032,
2.21,-64.403,-6.4,0.493,0.004888,
2.215,-64.4054,-6.4,1.424,0.002222,
2.22,-64.4048,-6.4,5.757,0.003822,
2.225,-64.403,-6.4,-4.64,-0.0016,
2.23,-64.3865,-6.4,1.007,0.004888,
2.235,-64.3603,-6.3,2.281,0.006488,
2.24,-64.3011,-6.3,0.998,0.0168,
2.245,-64.2315,-6.3,-3.9,0.011911,
2.25,-64.143,-6.4,5.296,0.021688,
2.255,-64.0563,-6.4,-3.458,0.017422,
2.26,-63.9587,-6.5,-0.413,0.017866,
2.265,-63.8726,-6.4,-0.356,0.016266,
2.27,-63.7792,-6.4,-0.45,0.018488,
2.275,-63.6925,-6.4,-1.806,0.018488,
2.28,-63.6004,-6.4,2.251,0.017866,
2.285,-63.4924,-6.4,1.007,0.022222,
