Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2954,-5.2,0.325,0.000533,
0.005,-0.2124,-4.3,11.108,0.026577,
0.01,-0.1733,-5,-8.318,-0.013511,
0.015,-0.1746,-5.5,-1.288,0.003733,
0.02,-0.1776,-5.1,1.754,-0.002666,
0.025,-0.1776,-5.2,0.222,-0.001066,
0.03,-0.1746,-5.2,0.857,0,
0.035,-0.1776,-5.2,-2.049,0.002222,
0.04,-0.1801,-5.2,-0.478,-0.003288,
0.045,-0.1782,-5.2,-0.689,0.002222,
0.05,-0.1807,-5.2,1.116,-0.001688,
0.055,-0.1837,-5.2,-2.737,-0.0016,
0.06,-0.1898,-5.1,4.61,-0.003733,
0.065,-0.199,-5.2,-2.619,-0.002222,
0.07,-0.2094,-5.2,0.853,-0.003288,
0.075,-0.221,-5.3,-0.372,-0.003288,
0.08,-0.2557,-5.4,3.104,-0.009155,
0.085,-0.3289,-5.3,-4.151,-0.0168,
0.09,-0.4369,-5.3,0.196,-0.022755,
0.095,-0.5718,-5.3,-0.913,-0.026577,
0.1,-0.7287,-5.2,2.073,-0.030399,
0.105,-0.899,-5.2,-0.553,-0.031466,
0.11,-1.0674,-5.1,4.052,-0.031999,
0.115,-1.2322,-5.1,1.371,-0.031466,
0.12,-1.3982,-5.1,6.242,-0.033066,
0.125,-1.5484,-5.2,-2.593,-0.031466,
0.13,-1.7095,-5.2,-2.79,-0.035822,
0.135,-1.8755,-5.3,-1.237,-0.037422,
0.14,-2.0507,-5.2,-3.062,-0.040177,
0.145,-2.2393,-5.2,-4.13,-0.037955,
0.15,-2.4431,-5.2,0.936,-0.044444,
0.155,-2.6488,-5.2,4.609,-0.038488,
0.16,-2.8667,-5.2,0.941,-0.043911,
0.165,-3.0919,-5.2,-2.451,-0.046044,
0.17,-3.3239,-5.2,3.552,-0.045066,
0.175,-3.5656,-5.2,-0.091,-0.047733,
0.18,-3.8146,-5.2,3.224,-0.052088,
0.185,-4.063,-5.3,0.518,-0.044977,
0.19,-4.3267,-5.2,-1.557,-0.055911,
0.195,-4.5952,-5.2,-1.042,-0.054755,
0.2,-4.8742,-5.2,1.479,-0.056977,
0.205,-5.1562,-5.3,-3.789,-0.058666,
0.21,-5.4436,-5.2,-2.693,-0.056355,
0.215,-5.7378,-5.2,0.552,-0.057511,
0.22,-6.0412,-5.2,-2.273,-0.062399,
0.225,-6.3537,-5.2,-0.408,-0.062933,
0.23,-6.6765,-5.2,-0.22,-0.064533,
0.235,-7.008,-5.3,-4.874,-0.066222,
0.24,-7.3479,-5.2,-0.292,-0.071022,
0.245,-7.6952,-5.3,-2.818,-0.070488,
0.25,-8.0541,-5.3,3.472,-0.073244,
0.255,-8.4185,-5.3,2.488,-0.073777,
0.26,-8.7951,-5.3,0.051,-0.077066,
0.265,-9.1729,-5.2,0.058,-0.076533,
0.27,-9.5507,-5.2,-0.729,-0.076,
0.275,-9.9389,-5.2,-0.914,-0.0792,
0.28,-10.335,-5.2,1.575,-0.080266,
0.285,-10.7311,-5.2,-4.798,-0.078666,
0.29,-11.1443,-5.2,1.281,-0.083022,
0.295,-11.5569,-5.2,3.805,-0.081333,
0.3,-11.9744,-5.2,-2.283,-0.087911,
0.305,-12.398,-5.3,-3.518,-0.085777,
0.31,-12.8295,-5.3,2.792,-0.086222,
0.315,-13.2696,-5.2,2.091,-0.087377,
0.32,-13.7151,-5.3,3.553,-0.090577,
0.325,-14.1619,-5.3,3.378,-0.088977,
0.33,-14.6172,-5.3,-5.88,-0.093333,
0.335,-15.075,-5.3,2.226,-0.092266,
0.34,-15.5315,-5.3,3.31,-0.088444,
0.345,-15.9997,-5.4,3.433,-0.093333,
0.35,-16.4635,-5.3,2.384,-0.091644,
0.355,-16.9268,-5.3,-0.169,-0.090577,
0.36,-17.3931,-5.3,-0.309,-0.0928,
0.365,-17.857,-5.3,2.1,-0.091733,
0.37,-18.3184,-5.3,-0.296,-0.091733,
0.375,-18.7908,-5.4,-0.571,-0.094933,
0.38,-19.2663,-5.3,-1.639,-0.094933,
0.385,-19.7472,-5.3,-3.557,-0.097066,
0.39,-20.23,-5.3,-3.43,-0.099288,
0.395,-20.7171,-5.3,2.212,-0.099288,
0.4,-21.2047,-5.3,0.759,-0.099822,
0.405,-21.6936,-5.3,-1.072,-0.099288,
0.41,-22.1783,-5.2,1.285,-0.092266,
0.415,-22.6623,-5.3,0.483,-0.0912,
0.42,-23.1505,-5.3,-1.484,-0.098666,
0.425,-23.6223,-5.3,1.934,-0.093244,
0.43,-24.088,-5.4,-3.773,-0.090577,
0.435,-24.5684,-5.4,-5.894,-0.097155,
0.44,-25.053,-5.4,-2.426,-0.095466,
0.445,-25.5419,-5.4,-1.746,-0.097688,
0.45,-26.0381,-5.4,-0.154,-0.097066,
0.455,-26.5423,-5.4,0.551,-0.100977,
0.46,-27.0458,-5.4,1.828,-0.099288,
0.465,-27.5469,-5.4,0.751,-0.098755,
0.47,-28.0431,-5.4,-0.091,-0.096,
0.475,-28.5473,-5.3,1.565,-0.097688,
0.48,-29.0514,-5.4,1.626,-0.098222,
0.485,-29.555,-5.3,-0.183,-0.100444,
0.49,-30.0591,-5.4,-1.15,-0.103644,
0.495,-30.5718,-5.4,1.21,-0.105777,
0.5,-31.0894,-5.4,0.735,-0.104177,
0.505,-31.6204,-5.3,0.636,-0.108533,
0.51,-32.1496,-5.3,3.496,-0.102044,
0.515,-32.6873,-5.3,0.111,-0.108533,
0.52,-33.2226,-5.3,0.149,-0.107999,
0.525,-33.7475,-5.3,-2.778,-0.106933,
0.53,-34.2693,-5.3,-1.291,-0.104177,
0.535,-34.7918,-5.3,-1.5,-0.105777,
0.54,-35.3051,-5.3,-1.383,-0.104711,
0.545,-35.8178,-5.3,0.178,-0.101511,
0.55,-36.3317,-5.3,3.248,-0.102044,
0.555,-36.8468,-5.3,2.087,-0.101422,
0.56,-37.3638,-5.3,-1.369,-0.105244,
0.565,-37.8814,-5.3,0.084,-0.103644,
0.57,-38.3996,-5.3,-1.664,-0.104177,
0.575,-38.9196,-5.3,0.987,-0.104711,
0.58,-39.4298,-5.3,1.383,-0.099288,
0.585,-39.9413,-5.2,-2.71,-0.103644,
0.59,-40.4424,-5.3,0.259,-0.097066,
0.595,-40.9423,-5.2,2.916,-0.098755,
0.6,-41.4348,-5.2,-1.825,-0.099822,
0.605,-41.9256,-5.2,4.226,-0.097688,
0.61,-42.4157,-5.2,-0.096,-0.098755,
0.615,-42.9003,-5.2,2.191,-0.097688,
0.62,-43.3831,-5.2,-3.602,-0.097688,
0.625,-43.8634,-5.2,-0.481,-0.0976,
0.63,-44.3401,-5.3,-3.362,-0.098755,
0.635,-44.8144,-5.3,-0.948,-0.096088,
0.64,-45.2843,-5.3,-0.253,-0.095466,
0.645,-45.7476,-5.2,2.163,-0.093333,
0.65,-46.2041,-5.3,1.578,-0.091644,
0.655,-46.6619,-5.2,-0.102,-0.093866,
0.66,-47.1117,-5.2,-0.194,-0.089511,
0.665,-47.5567,-5.3,0.552,-0.088977,
0.67,-47.9992,-5.2,-0.278,-0.086844,
0.675,-48.4405,-5.2,2.648,-0.089511,
0.68,-48.8805,-5.2,1.424,-0.085155,
0.685,-49.3249,-5.2,0.697,-0.088444,
0.69,-49.7625,-5.2,1.027,-0.085155,
0.695,-50.1958,-5.2,-0.179,-0.087822,
0.7,-50.6249,-5.3,-0.76,-0.084088,
0.705,-51.0497,-5.2,1.493,-0.086222,
0.71,-51.4672,-5.2,1.534,-0.078666,
0.715,-51.8804,-5.2,3.408,-0.081955,
0.72,-52.2918,-5.3,0.015,-0.082488,
0.725,-52.6934,-5.2,-2.296,-0.084088,
0.73,-53.0871,-5.2,-1.391,-0.078666,
0.735,-53.4832,-5.3,5.808,-0.073777,
0.74,-53.8775,-5.3,-2.409,-0.080888,
0.745,-54.2553,-5.2,-0.521,-0.075466,
0.75,-54.6349,-5.3,-1.084,-0.075377,
0.755,-55.0146,-5.3,-0.339,-0.079288,
0.76,-55.3789,-5.3,1.388,-0.071022,
0.765,-55.7439,-5.3,0.196,-0.073244,
0.77,-56.1065,-5.3,-3.565,-0.072177,
0.775,-56.4544,-5.2,-0.705,-0.070577,
0.78,-56.7968,-5.3,-2.033,-0.070044,
0.785,-57.1264,-5.3,0.239,-0.063999,
0.79,-57.4505,-5.2,0.55,-0.061866,
0.795,-57.7709,-5.2,1.034,-0.063466,
0.8,-58.0785,-5.3,-0.56,-0.061866,
0.805,-58.3843,-5.3,3.847,-0.061333,
0.81,-58.6815,-5.3,1.118,-0.060177,
0.815,-58.966,-5.3,0.369,-0.056977,
0.82,-59.2394,-5.3,1.036,-0.052088,
0.825,-59.5055,-5.3,2.995,-0.051555,
0.83,-59.7686,-5.3,3.606,-0.051022,
0.835,-60.0176,-5.2,0.065,-0.047733,
