Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3203,-5.2,-2.453,-0.008711,
0.005,-0.2104,-4.5,10.573,0.036355,
0.01,-0.1672,-4.7,-6.485,-0.011911,
0.015,-0.1709,-5.6,2.359,0.004888,
0.02,-0.1757,-5.2,-2.303,-0.0016,
0.025,-0.1721,-5.2,1.999,0.0016,
0.03,-0.1727,-5.2,1.289,0.0016,
0.035,-0.1745,-5.2,3.564,0.003822,
0.04,-0.1745,-5.2,-0.105,-0.002666,
0.045,-0.1745,-5.3,3.903,0.004355,
0.05,-0.1776,-5.2,-0.417,0.000533,
0.055,-0.1782,-5.2,2.342,0.002133,
0.06,-0.1855,-5.3,-3.958,-0.007022,
0.065,-0.1934,-5.3,1.004,0.0016,
0.07,-0.2037,-5.3,-0.316,-0.001066,
0.075,-0.2129,-5.4,2.174,0.002133,
0.08,-0.2519,-5.5,-5.393,-0.013511,
0.085,-0.3362,-5.5,-0.194,-0.020622,
0.09,-0.4479,-5.4,-1.663,-0.023911,
0.095,-0.5895,-5.4,1.517,-0.028799,
0.1,-0.7494,-5.3,-0.453,-0.033688,
0.105,-0.9148,-5.3,-0.737,-0.030933,
0.11,-1.0845,-5.2,-2.072,-0.036888,
0.115,-1.2432,-5.2,1.633,-0.030399,
0.12,-1.3976,-5.3,-4.119,-0.033688,
0.125,-1.5477,-5.3,0.988,-0.029244,
0.13,-1.7064,-5.3,-2.886,-0.035288,
0.135,-1.8718,-5.3,1.176,-0.028711,
0.14,-2.0525,-5.3,-0.104,-0.036355,
0.145,-2.2411,-5.3,2.47,-0.035822,
0.15,-2.448,-5.3,-0.417,-0.0488,
0.155,-2.6518,-5.4,1.203,-0.039555,
0.16,-2.8734,-5.3,-1.979,-0.0456,
0.165,-3.098,-5.3,3.334,-0.042311,
0.17,-3.3318,-5.3,0.398,-0.046133,
0.175,-3.5765,-5.4,-0.12,-0.0488,
0.18,-3.8268,-5.3,2.356,-0.051555,
0.185,-4.074,-5.3,0.838,-0.049422,
0.19,-4.3303,-5.3,-6.063,-0.055911,
0.195,-4.597,-5.3,0.413,-0.053155,
0.2,-4.876,-5.4,-0.546,-0.055911,
0.205,-5.1634,-5.3,3.092,-0.052088,
0.21,-5.4576,-5.3,2.028,-0.056355,
0.215,-5.7549,-5.3,-1.129,-0.058577,
0.22,-6.0655,-5.3,-0.422,-0.062933,
0.225,-6.3787,-5.3,0.605,-0.059199,
0.23,-6.7021,-5.3,1.712,-0.063999,
0.235,-7.0275,-5.4,-2.235,-0.065688,
0.24,-7.3601,-5.3,-1.628,-0.066222,
0.245,-7.7031,-5.3,0.39,-0.069955,
0.25,-8.0541,-5.3,-0.11,-0.070577,
0.255,-8.4178,-5.3,1.352,-0.073244,
0.26,-8.7944,-5.4,-2.219,-0.075911,
0.265,-9.1716,-5.3,2.338,-0.072177,
