Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3039,-5.2,0.228,0.008088,
0.005,-0.2032,-4.5,12.757,0.036888,
0.01,-0.1715,-4.7,-8.781,-0.012444,
0.015,-0.174,-5.6,1.958,0.004355,
0.02,-0.177,-5.2,-4.434,-0.0032,
0.025,-0.1764,-5.2,1.231,0.001688,
0.03,-0.1764,-5.3,-1.72,0,
0.035,-0.177,-5.2,2.892,0.000533,
0.04,-0.1795,-5.2,-1.583,-0.001066,
0.045,-0.1789,-5.2,2.982,0.000533,
0.05,-0.1831,-5.3,-5.943,-0.004888,
0.055,-0.1831,-5.2,2.278,0,
0.06,-0.188,-5.2,-7.141,-0.005422,
0.065,-0.1971,-5.2,4.583,0.002133,
0.07,-0.2117,-5.2,-2.467,-0.007022,
0.075,-0.2203,-5.3,4.006,0.000533,
0.08,-0.2667,-5.5,-4.738,-0.015199,
0.085,-0.3509,-5.4,-3.17,-0.021155,
0.09,-0.4638,-5.4,-2.76,-0.025511,
0.095,-0.6036,-5.3,-1.251,-0.029333,
0.1,-0.7592,-5.3,-4.589,-0.033066,
0.105,-0.9216,-5.2,4.15,-0.032622,
0.11,-1.0864,-5.3,-4.004,-0.034755,
0.115,-1.2463,-5.2,5.539,-0.027733,
0.12,-1.408,-5.2,-1.616,-0.035288,
0.125,-1.5643,-5.2,4.753,-0.032622,
0.13,-1.7284,-5.3,-3.538,-0.039555,
0.135,-1.8896,-5.2,1.621,-0.029866,
0.14,-2.0721,-5.2,-0.724,-0.036355,
0.145,-2.2619,-5.3,5.871,-0.035288,
0.15,-2.4664,-5.3,-1.419,-0.044533,
0.155,-2.6788,-5.2,3.511,-0.044,
0.16,-2.8912,-5.3,-2.757,-0.044,
0.165,-3.1176,-5.3,2.483,-0.043911,
0.17,-3.3556,-5.2,-2.308,-0.053155,
0.175,-3.5967,-5.2,5.62,-0.0488,
0.18,-3.8458,-5.3,-5.38,-0.052088,
0.185,-4.1003,-5.2,6.8,-0.052088,
0.19,-4.3603,-5.3,-9.58,-0.056977,
0.195,-4.6276,-5.3,-3.541,-0.056977,
0.2,-4.909,-5.2,-3.805,-0.058577,
0.205,-5.1922,-5.2,1.036,-0.057511,
0.21,-5.4845,-5.3,-1.62,-0.056888,
0.215,-5.7879,-5.3,1.922,-0.061333,
0.22,-6.1022,-5.3,-3.83,-0.067822,
0.225,-6.4159,-5.2,1.891,-0.063466,
0.23,-6.7352,-5.2,0.996,-0.064088,
0.235,-7.0593,-5.3,1.732,-0.066755,
0.24,-7.3913,-5.3,-3.865,-0.068888,
0.245,-7.7331,-5.3,1.357,-0.068355,
0.25,-8.092,-5.3,-3.247,-0.076533,
0.255,-8.4551,-5.2,3.89,-0.072711,
0.26,-8.8329,-5.3,-5.816,-0.078133,
0.265,-9.2138,-5.3,2.114,-0.075377,
0.27,-9.6038,-5.3,-0.421,-0.078133,
0.275,-9.9896,-5.2,1.356,-0.0776,
0.28,-10.3906,-5.2,-3.101,-0.082488,
0.285,-10.7922,-5.3,-0.24,-0.082488,
0.29,-11.2023,-5.3,-0.672,-0.083555,
0.295,-11.6174,-5.3,-0.289,-0.084711,
0.3,-12.0416,-5.3,-1.65,-0.085777,
0.305,-12.4664,-5.3,3.289,-0.083555,
0.31,-12.8906,-5.3,-4.225,-0.084088,
0.315,-13.3233,-5.3,3.254,-0.086844,
0.32,-13.7658,-5.4,-1.83,-0.093333,
0.325,-14.2132,-5.3,7.122,-0.088444,
0.33,-14.6648,-5.3,-4.351,-0.088888,
0.335,-15.1281,-5.3,2.55,-0.0944,
0.34,-15.5908,-5.3,0.328,-0.095555,
0.345,-16.0571,-5.3,3.324,-0.0928,
0.35,-16.524,-5.3,-0.135,-0.091733,
0.355,-16.9921,-5.4,-1.683,-0.0928,
0.36,-17.4609,-5.3,-1.012,-0.092266,
0.365,-17.9327,-5.3,0.988,-0.093333,
0.37,-18.4014,-5.3,-3.131,-0.0944,
0.375,-18.8671,-5.3,-2.797,-0.096,
0.38,-19.3298,-5.3,1.248,-0.0912,
0.385,-19.8022,-5.3,-0.403,-0.092266,
0.39,-20.2819,-5.4,-0.998,-0.097688,
0.395,-20.7665,-5.4,-0.005,-0.095466,
0.4,-21.256,-5.4,-5.368,-0.098666,
0.405,-21.751,-5.3,3.484,-0.097066,
0.41,-22.2442,-5.3,-4.013,-0.097688,
0.415,-22.7325,-5.3,6.278,-0.0928,
0.42,-23.2208,-5.4,-1.319,-0.096088,
0.425,-23.7035,-5.4,2.179,-0.0976,
0.43,-24.1808,-5.4,1.469,-0.097066,
0.435,-24.6569,-5.3,2.922,-0.096533,
0.44,-25.1275,-5.4,0.45,-0.0944,
0.445,-25.6078,-5.5,-1.425,-0.092177,
0.45,-26.101,-5.5,2.181,-0.098755,
0.455,-26.5997,-5.4,1.472,-0.099822,
0.46,-27.1075,-5.4,-1.322,-0.102577,
0.465,-27.6092,-5.4,0.311,-0.100355,
0.47,-28.1164,-5.4,-1.63,-0.101422,
0.475,-28.6254,-5.3,3.111,-0.099822,
0.48,-29.1314,-5.4,1.142,-0.100888,
0.485,-29.6404,-5.3,1.19,-0.103022,
0.49,-30.144,-5.4,-1.708,-0.100977,
0.495,-30.6585,-5.3,1.398,-0.104177,
0.5,-31.1706,-5.4,-1.174,-0.102577,
0.505,-31.6943,-5.4,-1.435,-0.106933,
0.51,-32.2259,-5.3,-3.979,-0.105244,
0.515,-32.749,-5.3,0.066,-0.100977,
0.52,-33.28,-5.3,-2.506,-0.103111,
0.525,-33.8116,-5.3,0.963,-0.105244,
0.53,-34.3328,-5.3,1.209,-0.100888,
0.535,-34.8595,-5.4,-3.446,-0.108444,
0.54,-35.3759,-5.4,0.424,-0.100888,
0.545,-35.891,-5.4,-1.416,-0.103555,
0.55,-36.4123,-5.3,1.56,-0.104177,
0.555,-36.9299,-5.3,-2.06,-0.104177,
0.56,-37.4407,-5.4,-0.388,-0.102488,
0.565,-37.9528,-5.3,0.84,-0.099288,
0.57,-38.4649,-5.4,1.11,-0.100888,
0.575,-38.9831,-5.3,-0.495,-0.104177,
0.58,-39.4946,-5.3,-0.437,-0.103111,
0.585,-40.006,-5.3,-3.557,-0.104711,
0.59,-40.5114,-5.2,-1.183,-0.102577,
0.595,-41.0143,-5.3,1.857,-0.100355,
0.6,-41.5136,-5.2,-1.416,-0.101955,
0.605,-42.0055,-5.3,-1.497,-0.098666,
0.61,-42.4963,-5.2,-1.716,-0.099822,
0.615,-42.9809,-5.3,-3.276,-0.099822,
0.62,-43.4545,-5.3,2.573,-0.093866,
0.625,-43.9269,-5.3,-4.461,-0.096,
0.63,-44.4012,-5.3,-1.066,-0.097155,
0.635,-44.8711,-5.2,0.635,-0.093244,
0.64,-45.3393,-5.3,-0.749,-0.094933,
0.645,-45.8056,-5.3,-0.754,-0.097155,
0.65,-46.2676,-5.2,3.173,-0.091111,
0.655,-46.7284,-5.3,-4.413,-0.096,
0.66,-47.174,-5.2,1.768,-0.088977,
0.665,-47.6226,-5.3,-2.409,-0.090044,
0.67,-48.0657,-5.3,0.203,-0.088444,
0.675,-48.5101,-5.3,-2.213,-0.090666,
0.68,-48.9526,-5.2,-0.603,-0.088977,
0.685,-49.3877,-5.2,-1.834,-0.086755,
0.69,-49.8174,-5.3,1.874,-0.085155,
0.695,-50.2502,-5.2,-3.02,-0.087377,
0.7,-50.6799,-5.2,1.137,-0.081955,
0.705,-51.1071,-5.2,-0.574,-0.087911,
0.71,-51.5276,-5.2,6.166,-0.0808,
0.715,-51.9396,-5.3,-2.049,-0.081866,
0.72,-52.3522,-5.2,-0.248,-0.084088,
0.725,-52.7508,-5.3,-4.6,-0.081955,
0.73,-53.1542,-5.3,2.369,-0.080266,
0.735,-53.5485,-5.2,-1.075,-0.083555,
0.74,-53.9355,-5.2,2.695,-0.077066,
0.745,-54.3188,-5.3,-0.049,-0.074933,
0.75,-54.6972,-5.2,3.198,-0.073777,
0.755,-55.072,-5.3,-5.914,-0.070577,
0.76,-55.4369,-5.2,-0.654,-0.072622,
0.765,-55.7958,-5.3,1.71,-0.071555,
0.77,-56.1474,-5.3,1.131,-0.069955,
0.775,-56.4983,-5.3,0.772,-0.070488,
0.78,-56.8377,-5.3,1.182,-0.065066,
0.785,-57.1758,-5.3,0.052,-0.0672,
0.79,-57.5018,-5.2,-2.295,-0.067288,
0.795,-57.8185,-5.3,3.208,-0.062399,
0.8,-58.128,-5.3,0.674,-0.062399,
0.805,-58.4295,-5.3,0.957,-0.060266,
0.81,-58.7206,-5.3,-0.446,-0.055822,
0.815,-59.0057,-5.3,0.276,-0.056444,
0.82,-59.2785,-5.3,2.089,-0.052622,
0.825,-59.5483,-5.3,0.265,-0.052088,
0.83,-59.8101,-5.2,2.378,-0.048266,
0.835,-60.0628,-5.4,-1.354,-0.0488,
0.84,-60.3143,-5.3,4.103,-0.0472,
0.845,-60.5596,-5.3,-1.471,-0.052088,
0.85,-60.7916,-5.3,-0.799,-0.048355,
0.855,-61.0119,-5.3,-3.071,-0.043377,
0.86,-61.2292,-5.3,2.48,-0.040177,
0.865,-61.4367,-5.3,4.237,-0.039644,
0.87,-61.6369,-5.3,2.963,-0.039644,
0.875,-61.8359,-5.3,2.833,-0.038577,
0.88,-62.0245,-5.3,8.106,-0.035288,
0.885,-62.2118,-5.4,-3.245,-0.038488,
0.89,-62.3864,-5.3,4.685,-0.031466,
0.895,-62.5549,-5.3,-4.705,-0.033688,
0.9,-62.7105,-5.3,1.48,-0.032533,
0.905,-62.8564,-5.4,-7.5,-0.032533,
0.91,-62.9925,-5.3,3.375,-0.025511,
0.915,-63.128,-5.4,-1.785,-0.025511,
0.92,-63.2501,-5.4,6.089,-0.020088,
0.925,-63.3697,-5.8,-1.975,-0.024977,
0.93,-63.4686,-6.4,7.394,-0.013599,
0.935,-63.5522,-6.5,1.881,-0.016266,
0.94,-63.6224,-6.4,3.974,-0.013599,
0.945,-63.6895,-6.5,-0.556,-0.012977,
0.95,-63.764,-6.6,2.648,-0.015733,
0.955,-63.8366,-6.5,-4.964,-0.014666,
0.96,-63.9043,-6.6,2.235,-0.014044,
0.965,-63.9617,-6.6,-4.181,-0.010311,
0.97,-64.0124,-6.5,2.934,-0.007111,
0.975,-64.0527,-6.6,-3.432,-0.007111,
0.98,-64.0807,-6.4,3.364,-0.005422,
0.985,-64.1009,-6.5,-4.061,-0.004888,
0.99,-64.1058,-6.5,-0.896,0.002133,
0.995,-64.1168,-6.5,-3.335,-0.002222,
1,-64.1192,-6.6,-3.909,-0.003288,
1.005,-64.1656,-6.6,1.585,-0.012533,
1.01,-64.3029,-6.6,-6.893,-0.038488,
1.015,-64.5245,-6.6,-5.136,-0.052622,
1.02,-64.8394,-6.6,-1.734,-0.068355,
1.025,-65.241,-6.6,-1.441,-0.085155,
1.03,-65.7171,-6.7,-2.668,-0.099288,
1.035,-66.2615,-7.1,0.753,-0.111733,
1.04,-66.8505,-7.3,-0.511,-0.119377,
1.045,-67.4688,-7.2,0.108,-0.124799,
1.05,-68.0975,-7.8,-0.275,-0.128088,
1.055,-68.7273,-8.8,2.52,-0.123644,
1.06,-69.3383,-10.1,3.974,-0.116088,
1.065,-69.9102,-11.5,-1.426,-0.113422,
1.07,-70.4229,-20.7,6.995,-0.092266,
1.075,-70.6921,-32.9,15.346,-0.024977,
1.08,-70.6994,-32.7,4.844,0.007555,
1.085,-70.6872,-31.3,0.315,0.000533,
1.09,-70.7,-31.9,-7.497,-0.005955,
1.095,-70.7116,-33.2,-1.59,-0.003822,
1.1,-70.7165,-34.1,-4.326,-0.002222,
1.105,-70.7342,-35.3,-1.14,-0.003288,
1.11,-70.7671,-37.2,-2.514,-0.007022,
1.115,-70.7708,-37.5,1.019,0.0016,
1.12,-70.7745,-37.2,-1.01,-0.002755,
1.125,-70.7739,-36.7,-0.186,-0.002755,
1.13,-70.7745,-36.4,-0.127,-0.002755,
1.135,-70.7726,-36.4,-1.108,-0.001066,
1.14,-70.7763,-36.5,1.418,0.000533,
1.145,-70.7732,-36.8,0.678,-0.001066,
1.15,-70.7726,-36.8,0.337,0.002222,
1.155,-70.7751,-36.5,1.421,-0.001688,
1.16,-70.7726,-36.4,3.11,0.004355,
1.165,-70.7751,-36.3,-2.353,-0.001688,
1.17,-70.7751,-36.4,-1.362,0.0016,
1.175,-70.7763,-36.4,0.698,0.002133,
1.18,-70.7769,-36.4,-1.574,-0.003288,
1.185,-70.7787,-36.2,8.823,0.001688,
1.19,-70.78,-36.3,-2.816,-0.002755,
1.195,-70.7787,-36.3,3.463,0.001688,
1.2,-70.7775,-36.5,-0.282,0.0016,
1.205,-70.78,-36.6,2.029,0.000533,
1.21,-70.7818,-36.5,0.163,-0.001066,
1.215,-70.7824,-36.5,-2.398,-0.0016,
1.22,-70.7824,-36.4,0.912,-0.000533,
1.225,-70.7818,-36.4,1.701,0,
1.23,-70.7818,-36.4,0.37,-0.000533,
1.235,-70.7818,-36.4,0.215,0,
1.24,-70.7818,-36.5,0.359,0.000533,
1.245,-70.7818,-36.6,0.059,0.000533,
