Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2838,-5.3,3.505,0.0248,
0.005,-0.2001,-4.4,10.742,0.032622,
0.01,-0.1696,-4.8,-6.758,-0.011377,
0.015,-0.1696,-5.7,3.567,0.003822,
0.02,-0.1721,-5.2,-5.046,-0.001688,
0.025,-0.1721,-5.2,5.779,0.0032,
0.03,-0.1727,-5.3,-1.68,-0.001066,
0.035,-0.1745,-5.2,2.106,0.001066,
0.04,-0.1763,-5.3,-3.708,-0.002666,
0.045,-0.1751,-5.2,1.987,0,
0.05,-0.1776,-5.3,-4.03,-0.002755,
0.055,-0.18,-5.2,3.104,-0.001066,
0.06,-0.1812,-5.3,-3.937,0,
0.065,-0.1959,-5.2,3.102,0,
0.07,-0.2038,-5.3,-0.945,-0.000533,
0.075,-0.2142,-5.3,4.265,-0.001066,
0.08,-0.2526,-5.6,-5.673,-0.009155,
0.085,-0.3429,-5.4,4.468,-0.018488,
0.09,-0.4631,-5.5,-3.105,-0.027111,
0.095,-0.609,-5.3,2.062,-0.031999,
0.1,-0.7695,-5.3,-1.465,-0.030933,
0.105,-0.9374,-5.2,1.205,-0.032622,
0.11,-1.1046,-5.3,1.127,-0.031999,
0.115,-1.2615,-5.2,0.834,-0.029333,
0.12,-1.4146,-5.3,-2.641,-0.031466,
0.125,-1.5654,-5.2,-0.548,-0.028177,
0.13,-1.7217,-5.3,-2.241,-0.030399,
0.135,-1.8919,-5.3,2.088,-0.035733,
0.14,-2.0696,-5.3,0.399,-0.035288,
0.145,-2.2649,-5.3,4.407,-0.038044,
0.15,-2.4693,-5.3,-2.119,-0.041777,
0.155,-2.675,-5.3,4.641,-0.040088,
0.16,-2.8941,-5.3,-5.005,-0.044977,
0.165,-3.1224,-5.3,0.62,-0.047733,
0.17,-3.3562,-5.3,-5.766,-0.049422,
0.175,-3.5973,-5.2,5.459,-0.044,
0.18,-3.8512,-5.4,-1.047,-0.053777,
0.185,-4.1008,-5.2,8.207,-0.048266,
0.19,-4.3578,-5.3,-2.551,-0.049955,
0.195,-4.6233,-5.3,3.728,-0.052622,
0.2,-4.8973,-5.3,-6.619,-0.056977,
0.205,-5.183,-5.2,2.646,-0.055911,
0.21,-5.4778,-5.3,-1.059,-0.059199,
0.215,-5.7787,-5.3,4.9,-0.057511,
0.22,-6.0912,-5.3,-1.617,-0.061866,
0.225,-6.4134,-5.3,4.421,-0.062933,
0.23,-6.7339,-5.4,-1.803,-0.064622,
0.235,-7.0659,-5.3,1.466,-0.065066,
0.24,-7.4016,-5.3,-3.328,-0.068355,
0.245,-7.7428,-5.2,1.497,-0.067822,
0.25,-8.0937,-5.4,-4.639,-0.072177,
0.255,-8.4587,-5.3,4.466,-0.069955,
0.26,-8.8341,-5.3,-3.635,-0.076,
0.265,-9.2101,-5.3,3.64,-0.072711,
0.27,-9.5964,-5.3,-0.425,-0.076444,
0.275,-9.987,-5.3,4.57,-0.074844,
0.28,-10.3832,-5.3,-1.282,-0.078133,
0.285,-10.7811,-5.3,1.448,-0.0792,
0.29,-11.1913,-5.3,-2.227,-0.080355,
0.295,-11.6112,-5.3,5.343,-0.086844,
0.3,-12.0299,-5.3,-3.382,-0.083022,
0.305,-12.4577,-5.3,1.299,-0.086222,
0.31,-12.8893,-5.4,-3.975,-0.088977,
0.315,-13.3281,-5.4,3.329,-0.084088,
0.32,-13.7767,-5.4,-1.37,-0.090577,
0.325,-14.2253,-5.3,2.66,-0.090044,
0.33,-14.6776,-5.4,-1.73,-0.088977,
0.335,-15.1329,-5.3,4.307,-0.087911,
0.34,-15.5931,-5.4,1.603,-0.090044,
0.345,-16.0582,-5.3,1.464,-0.088977,
0.35,-16.5227,-5.4,-0.76,-0.093333,
0.355,-16.9835,-5.4,-0.199,-0.092266,
0.36,-17.4553,-5.4,1.078,-0.0944,
0.365,-17.9228,-5.3,0.85,-0.091644,
0.37,-18.3904,-5.4,-0.902,-0.095022,
0.375,-18.8615,-5.4,-1.975,-0.092711,
0.38,-19.3382,-5.4,-1.522,-0.096,
0.385,-19.8143,-5.4,1.515,-0.093866,
0.39,-20.3008,-5.4,-0.885,-0.098755,
0.395,-20.7848,-5.4,1.289,-0.097688,
0.4,-21.27,-5.4,-3.444,-0.094933,
0.405,-21.7583,-5.4,0.133,-0.097155,
0.41,-22.2447,-5.3,-1.562,-0.0976,
0.415,-22.7312,-5.4,-1.025,-0.103111,
0.42,-23.2066,-5.5,3.521,-0.0944,
0.425,-23.6906,-5.4,1.707,-0.100355,
0.43,-24.1637,-5.4,4.804,-0.094933,
0.435,-24.644,-5.4,0.818,-0.096533,
0.44,-25.1335,-5.5,-3.648,-0.099288,
0.445,-25.6261,-5.4,4.268,-0.097155,
0.45,-26.1217,-5.5,-2.219,-0.102577,
