Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3216,-5.2,1.006,0.000533,
0.005,-0.2325,-4.4,10.75,0.0336,
0.01,-0.1587,-5.5,-12.584,-0.010311,
0.015,-0.1721,-5.3,4.048,0.005422,
0.02,-0.174,-4.9,1.778,0.000533,
0.025,-0.174,-5.3,-0.35,-0.001155,
0.03,-0.1727,-5.2,-0.381,0.001688,
0.035,-0.1746,-5.3,0.061,0.002666,
0.04,-0.1746,-5.2,0.774,0,
0.045,-0.174,-5.3,2.283,0.0016,
0.05,-0.174,-5.3,-1.179,0.002133,
0.055,-0.1788,-5.2,0.349,-0.000533,
0.06,-0.1856,-5.3,-1.774,-0.003822,
0.065,-0.1977,-5.3,-3.467,-0.005955,
0.07,-0.2038,-5.3,-4.551,-0.001155,
0.075,-0.2123,-5.4,-2.151,-0.0016,
0.08,-0.2514,-5.4,1.338,-0.005955,
0.085,-0.3368,-5.5,-3.02,-0.020622,
0.09,-0.4528,-5.4,-0.853,-0.021688,
0.095,-0.5956,-5.4,-0.446,-0.030933,
0.1,-0.75,-5.3,-0.178,-0.030933,
0.105,-0.913,-5.3,-0.064,-0.031466,
0.11,-1.0747,-5.2,-0.018,-0.030933,
0.115,-1.2267,-5.2,-0.128,-0.028711,
0.12,-1.3799,-5.2,-1.611,-0.029866,
0.125,-1.5264,-5.3,0.981,-0.026044,
0.13,-1.6936,-5.3,-3.812,-0.035733,
0.135,-1.8658,-5.3,0.5,-0.036355,
0.14,-2.0458,-5.3,0.885,-0.036888,
0.145,-2.2381,-5.3,0.482,-0.036355,
0.15,-2.4383,-5.2,-0.512,-0.040177,
0.155,-2.6476,-5.3,3.787,-0.036888,
0.16,-2.8661,-5.3,3.14,-0.041777,
0.165,-3.0858,-5.3,-0.473,-0.042311,
0.17,-3.3233,-5.3,2.316,-0.046133,
0.175,-3.5613,-5.3,-0.423,-0.047733,
0.18,-3.8164,-5.3,0.154,-0.054755,
0.185,-4.0685,-5.3,-0.579,-0.046666,
0.19,-4.331,-5.2,2.162,-0.050488,
0.195,-4.5989,-5.3,-3.408,-0.050488,
0.2,-4.8815,-5.3,-1.679,-0.058577,
0.205,-5.1647,-5.3,1.105,-0.055377,
0.21,-5.4583,-5.2,2.323,-0.055911,
0.215,-5.7561,-5.3,4.199,-0.057511,
0.22,-6.0686,-5.3,-1.948,-0.0672,
0.225,-6.3787,-5.3,-1.452,-0.061866,
0.23,-6.6991,-5.3,-3.184,-0.066133,
0.235,-7.0232,-5.3,0.095,-0.064533,
0.24,-7.3498,-5.3,-1.951,-0.066755,
0.245,-7.6848,-5.3,0.328,-0.0656,
0.25,-8.0376,-5.4,1.529,-0.071555,
0.255,-8.3996,-5.3,-0.268,-0.070577,
0.26,-8.778,-5.3,-0.102,-0.075466,
0.265,-9.1619,-5.3,0.181,-0.077066,
0.27,-9.5476,-5.3,-1.794,-0.079733,
0.275,-9.9419,-5.3,1.725,-0.079733,
0.28,-10.3441,-5.3,-0.259,-0.0824,
0.285,-10.75,-5.3,2.629,-0.079733,
0.29,-11.1632,-5.3,-2.12,-0.086755,
0.295,-11.5758,-5.3,3.557,-0.0792,
0.3,-11.9933,-5.3,-2.473,-0.086222,
0.305,-12.4145,-5.3,1.703,-0.082488,
0.31,-12.8405,-5.4,3.658,-0.086844,
0.315,-13.2671,-5.4,-2.602,-0.084088,
0.32,-13.7078,-5.4,-2.951,-0.0928,
0.325,-14.1491,-5.4,1.259,-0.087377,
0.33,-14.6014,-5.4,-2.425,-0.090133,
0.335,-15.0603,-5.4,3.063,-0.090044,
0.34,-15.5254,-5.4,2.065,-0.091111,
0.345,-15.9923,-5.4,3.242,-0.093244,
0.35,-16.4635,-5.4,3.297,-0.095466,
0.355,-16.9366,-5.4,4.096,-0.093333,
0.36,-17.4084,-5.3,2.478,-0.093333,
0.365,-17.8771,-5.4,1.31,-0.0944,
0.37,-18.3459,-5.4,-1.045,-0.096088,
0.375,-18.8128,-5.4,-0.961,-0.093866,
0.38,-19.2803,-5.3,1.954,-0.092266,
0.385,-19.7527,-5.5,-2.047,-0.098755,
0.39,-20.227,-5.4,-1.232,-0.096622,
0.395,-20.7079,-5.4,-0.814,-0.095466,
0.4,-21.1986,-5.4,-3.937,-0.098666,
0.405,-21.6863,-5.5,-7.67,-0.099288,
0.41,-22.1795,-5.4,-3.409,-0.100888,
0.415,-22.6714,-5.4,-1.562,-0.093866,
0.42,-23.1603,-5.4,0.901,-0.096533,
0.425,-23.6425,-5.4,-1.803,-0.097688,
0.43,-24.1234,-5.4,-2.916,-0.0992,
0.435,-24.6014,-5.5,-0.17,-0.098755,
0.44,-25.0835,-5.4,0.453,-0.0976,
0.445,-25.562,-5.5,2.683,-0.096,
0.45,-26.0442,-5.5,-0.229,-0.096533,
0.455,-26.5368,-5.6,1.991,-0.098755,
0.46,-27.0403,-5.5,-0.942,-0.103644,
