Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2746,-5.2,-0.173,0.009688,
0.002,-0.3197,-6.4,22.279,-0.0032,
0.004,-0.3991,-6.9,-16.745,-0.046133,
0.006,-0.5626,-6.9,-20.233,-0.088444,
0.008,-0.8245,-6.6,-26.41,-0.142133,
0.01,-1.1956,-6.6,-29.172,-0.2008,
0.012,-1.6893,-6.9,-30.933,-0.262044,
0.014,-2.3168,-7.1,-36.162,-0.327733,
0.016,-3.0852,-7.3,-36.292,-0.397155,
0.018,-3.9934,-7.4,-33.688,-0.466577,
0.02,-5.0383,-7.4,-33.336,-0.5344,
0.022,-6.2218,-7.4,-34.66,-0.606577,
0.024,-7.5475,-7.3,-33.949,-0.676533,
0.026,-9.0215,-7.3,-37.594,-0.753066,
0.028,-10.6664,-7.1,-43.377,-0.840888,
0.03,-12.4791,-6.9,-38.94,-0.922311,
0.032,-14.403,-6.7,-19.474,-0.964088,
0.034,-16.3829,-6.8,-12.757,-0.996088,
0.036,-18.4563,-6.7,-27.527,-1.048711,
0.038,-20.6774,-6.4,-38.932,-1.127377,
0.04,-23.109,-5.6,-59.603,-1.241333,
0.042,-25.6444,-5.8,-6.298,-1.263022,
0.044,-28.0864,-6.5,27.605,-1.207111,
0.046,-30.4949,-6.5,0.138,-1.207111,
0.048,-33.015,-6.3,-40.387,-1.281422,
0.05,-35.6408,-5.5,-14.591,-1.313511,
0.052,-38.1756,-5.2,34.861,-1.252177,
0.054,-40.631,-4.8,9.964,-1.226133,
0.056,-43.0968,-4.5,-5.396,-1.235911,
0.058,-45.5504,-3.9,14.921,-1.217955,
0.06,-47.8911,-3.5,33.464,-1.155022,
0.062,-50.15,-3.3,13.668,-1.125688,
0.064,-52.3925,-3,-2.96,-1.120888,
0.066,-54.6068,-2.6,13.575,-1.098044,
0.068,-56.6906,-2.5,40.768,-1.024355,
0.07,-58.6431,-2.5,23.815,-0.966844,
0.072,-60.5303,-2.2,16.001,-0.936444,
0.074,-62.3595,-2.1,17.103,-0.909244,
0.076,-64.0935,-20.8,27.862,-0.855022,
0.078,-65.6176,11.5,51.086,-0.741155,
0.08,-66.9915,-2.8,30.951,-0.6744,
0.082,-68.2402,-3.8,25.375,-0.614133,
0.084,-69.3663,-22.3,29.341,-0.550666,
0.086,-70.3405,-5.6,27.318,-0.478577,
0.088,-71.1498,-43.5,53.555,-0.378133,
0.09,-71.5917,-52.1,112.825,-0.166577,
0.092,-71.491,-52.1,137.012,0.105244,
0.094,-71.0827,-49.8,52.414,0.220799,
