Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2922,-5.4,4.934,0.010844,
0.002,-0.3301,-6.6,23.472,-0.001155,
0.004,-0.4118,-7,-17.624,-0.0504,
0.006,-0.573,-7,-22.248,-0.090666,
0.008,-0.8354,-6.6,-27.105,-0.1416,
0.01,-1.1992,-6.6,-34.284,-0.197511,
0.012,-1.6905,-6.8,-35.148,-0.257155,
0.014,-2.3192,-7,-35.287,-0.331466,
0.016,-3.0821,-7.3,-40.924,-0.398222,
0.018,-3.9879,-7.3,-31.803,-0.464977,
0.02,-5.031,-7.4,-32.97,-0.537688,
0.022,-6.2035,-7.5,-33.354,-0.600088,
0.024,-7.5279,-7.3,-33.689,-0.6776,
0.026,-8.9983,-7.4,-40.77,-0.7536,
0.028,-10.6432,-7.2,-42.063,-0.844799,
0.03,-12.4413,-6.8,-36.709,-0.917422,
0.032,-14.3602,-6.8,-22.291,-0.966755,
0.034,-16.3335,-6.7,-6.639,-0.989066,
0.036,-18.4007,-6.8,-28.559,-1.045955,
0.038,-20.609,-6.3,-41.911,-1.123022,
0.04,-23.0309,-5.5,-60.605,-1.234844,
0.042,-25.5595,-5.8,-11.037,-1.268977,
0.044,-28.0058,-6.5,30.457,-1.211466,
0.046,-30.4015,-6.6,3.573,-1.199555,
0.048,-32.9076,-6.4,-42.35,-1.2728,
0.05,-35.5309,-5.8,-14.907,-1.310755,
0.052,-38.0663,-5.5,32.303,-1.252711,
0.054,-40.5217,-5.2,8.417,-1.226666,
0.056,-42.9778,-5,-6.902,-1.232711,
0.058,-45.4375,-4.3,10.267,-1.218577,
0.06,-47.7824,-4,35.606,-1.157155,
0.062,-50.0304,-3.8,12.132,-1.120888,
0.064,-52.2771,-3.3,2.82,-1.120888,
0.066,-54.4865,-2.8,7.542,-1.099111,
0.068,-56.577,-2.7,39.607,-1.027555,
0.07,-58.5338,-2.6,28.336,-0.967911,
0.072,-60.4228,-2.4,16.704,-0.934755,
0.074,-62.2527,-2.2,14.099,-0.906577,
0.076,-63.9983,-14.7,27.506,-0.858844,
0.078,-65.5376,7.2,55.298,-0.750311,
0.08,-66.9182,-4.1,30.332,-0.680888,
0.082,-68.1737,-4,27.137,-0.616888,
0.084,-69.3034,-22.4,31.661,-0.548444,
0.086,-70.2873,-5.4,28.428,-0.482311,
0.088,-71.1058,-36.3,52.234,-0.385155,
0.09,-71.5727,-52.1,107.041,-0.180088,
0.092,-71.5056,-52.1,137.27,0.089511,
0.094,-71.1137,-50.8,55.227,0.215466,
0.096,-70.695,-26.9,-11.23,0.202933,
0.098,-70.3673,-13.7,-33.048,0.148622,
0.1,-70.183,-16.5,-50.991,0.067822,
0.102,-70.0847,-15.9,-14.781,0.045066,
0.104,-70.0969,-16.1,-26.949,-0.015733,
0.106,-70.1897,-15.6,-17.798,-0.053777,
0.108,-70.3362,-16.1,-11.418,-0.078666,
0.11,-70.5132,-22.5,-0.785,-0.086844,
0.112,-70.6584,-28.1,12.477,-0.069955,
0.114,-70.7384,-31.6,18.259,-0.033155,
0.116,-70.7335,-32.1,22.816,0.012444,
0.118,-70.6627,-28,16.247,0.042311,
0.12,-70.5547,-23.1,5.484,0.054755,
0.122,-70.4619,-19.2,-1.751,0.043377,
0.124,-70.3874,-16.3,-5.266,0.032533,
0.126,-70.3429,-15,-8.716,0.015733,
0.128,-70.3142,-14,-5.259,0.012977,
0.13,-70.2953,-14.3,-4.153,0.007555,
0.132,-70.2709,-13.6,0.902,0.010222,
0.134,-70.2318,-11.8,4.569,0.023822,
0.136,-70.1817,-10,4.176,0.027733,
0.138,-70.0987,-9.9,7.986,0.044,
0.14,-69.9876,-10,8.837,0.060266,
0.142,-69.8357,-9.5,9.745,0.076977,
0.144,-69.6373,-9.3,11.306,0.103644,
0.146,-69.3871,-9.1,13.907,0.130755,
0.148,-69.0935,-9.2,9.58,0.148622,
0.15,-68.759,-8.9,8.059,0.172,
0.152,-68.4136,-8.8,2.048,0.173066,
0.154,-68.062,-8.4,1.118,0.1736,
0.156,-67.7165,-8,1.093,0.170933,
0.158,-67.3717,-7.7,-3.302,0.168177,
0.16,-67.0488,-7.4,-3.314,0.162222,
0.162,-66.7461,-6.9,-5.726,0.148622,
0.164,-66.469,-6.6,-3.824,0.136177,
0.166,-66.2151,-6.4,-7.53,0.122577,
0.168,-65.9819,-6.3,-6.023,0.115022,
0.17,-65.7781,-6.4,-7.203,0.098666,
0.172,-65.5931,-6.5,-4.45,0.092266,
0.174,-65.4234,-6.7,-5.116,0.083022,
0.176,-65.2617,-6.8,-3.047,0.079733,
0.178,-65.1122,-6.7,-3.645,0.074844,
0.18,-64.9809,-6.7,-5.373,0.064088,
0.182,-64.8595,-6.6,-5.827,0.057511,
0.184,-64.7569,-6.5,-5.268,0.051555,
0.186,-64.6758,-6.5,-5.851,0.039555,
0.188,-64.6037,-6.4,-2.492,0.035288,
0.19,-64.5445,-6.4,-1.939,0.029866,
0.192,-64.4975,-6.4,-4.817,0.021155,
0.194,-64.4652,-6.4,-3.139,0.019555,
0.196,-64.4444,-6.5,-2.658,0.009244,
0.198,-64.4371,-6.5,0.05,0.002755,
0.2,-64.4353,-6.4,0.11,0.003822,
0.202,-64.4371,-6.4,-7.21,-0.005422,
0.204,-64.4383,-6.5,0.097,0.000533,
0.206,-64.4383,-6.4,-1.627,-0.0032,
0.208,-64.4371,-6.5,3.763,0.001066,
0.21,-64.4371,-6.5,2.252,0,
0.212,-64.4328,-6.4,0.241,0.001688,
0.214,-64.4371,-6.5,0.078,0,
0.216,-64.4334,-6.4,1.718,0.003288,
0.218,-64.4347,-6.4,-3.613,0,
0.22,-64.4334,-6.4,1.826,0.002222,
0.222,-64.4347,-6.4,-3.751,-0.001155,
0.224,-64.4353,-6.4,4.884,0.0016,
0.226,-64.4389,-6.4,2.402,-0.003733,
0.228,-64.4371,-6.4,2.459,-0.002133,
0.23,-64.4347,-6.4,0.58,0.0016,
0.232,-64.4334,-6.4,3.548,0.001155,
0.234,-64.4286,-6.4,1.904,0.006488,
0.236,-64.4359,-6.5,1.444,-0.002222,
0.238,-64.4359,-6.5,5.341,0,
0.24,-64.4359,-6.5,0.526,-0.001066,
0.242,-64.4322,-6.5,0.304,0,
0.244,-64.431,-6.5,0.659,0.003288,
0.246,-64.4334,-6.5,-1.393,-0.001066,
0.248,-64.4334,-6.5,-3.844,-0.0032,
0.25,-64.4322,-6.5,0.265,0,
0.252,-64.431,-6.5,2.925,0.004355,
0.254,-64.4322,-6.5,3.737,0.003288,
0.256,-64.4347,-6.4,-0.355,-0.001155,
0.258,-64.4322,-6.5,1.311,0.001066,
0.26,-64.4347,-6.5,5.185,0.0032,
0.262,-64.4334,-6.4,-1.107,-0.001066,
0.264,-64.4334,-6.4,-0.175,0.001155,
0.266,-64.431,-6.4,3.211,0.003288,
0.268,-64.431,-6.4,0.275,0.003288,
0.27,-64.431,-6.5,-1.869,-0.001066,
0.272,-64.4322,-6.5,0.416,0.001688,
0.274,-64.4298,-6.5,1.401,0.004355,
0.276,-64.4286,-6.5,-1.841,0,
0.278,-64.4347,-6.5,-1.685,-0.002222,
0.28,-64.431,-6.5,-4.996,-0.001066,
0.282,-64.431,-6.5,-1.448,0,
0.284,-64.4316,-6.5,1.903,0.000533,
0.286,-64.4359,-6.5,1.167,0.001066,
0.288,-64.4334,-6.4,3.306,0,
0.29,-64.4322,-6.4,3.409,0,
0.292,-64.4334,-6.4,0.894,0.001155,
0.294,-64.4322,-6.5,-1.369,0.002222,
0.296,-64.4328,-6.4,3.656,0.000533,
0.298,-64.4347,-6.5,-0.104,-0.002222,
0.3,-64.4334,-6.4,0.061,0,
0.302,-64.4359,-6.4,2.59,-0.002222,
0.304,-64.4347,-6.4,1.143,0,
0.306,-64.4322,-6.4,3.412,0,
0.308,-64.4334,-6.4,-4.056,-0.0032,
0.31,-64.4334,-6.5,-1.879,-0.001066,
0.312,-64.4347,-6.5,0.811,-0.002222,
0.314,-64.4286,-6.5,0.413,0.004266,
0.316,-64.4298,-6.4,3.781,0.005422,
0.318,-64.4334,-6.5,0.29,0,
0.32,-64.4334,-6.5,-4.469,-0.004266,
0.322,-64.4322,-6.5,1.363,0,
0.324,-64.4322,-6.5,-0.134,-0.001066,
0.326,-64.4298,-6.5,-0.161,0,
0.328,-64.4322,-6.5,2.747,0,
0.33,-64.431,-6.5,-0.598,0,
0.332,-64.4316,-6.5,-3.296,-0.0032,
0.334,-64.4347,-6.5,-1.809,-0.002222,
0.336,-64.4322,-6.5,1.94,0.002222,
0.338,-64.431,-6.5,-3.381,0.002755,
0.34,-64.4347,-6.4,-2.559,-0.003288,
0.342,-64.4328,-6.4,2.077,-0.002666,
0.344,-64.4298,-6.4,3.571,0.005955,
0.346,-64.4328,-6.5,-0.382,-0.000533,
0.348,-64.431,-6.5,3.52,0.002133,
0.35,-64.4316,-6.4,-1.094,0.000533,
0.352,-64.4322,-6.4,0.426,0,
0.354,-64.4286,-6.4,-1.689,0.002133,
0.356,-64.4292,-6.5,-2.651,-0.000533,
0.358,-64.4304,-6.4,-0.659,0.001066,
0.36,-64.4292,-6.4,-4.952,-0.000533,
0.362,-64.4328,-6.5,2.694,-0.000533,
0.364,-64.4316,-6.5,1.082,0.000533,
0.366,-64.431,-6.4,0.253,0.002755,
0.368,-64.4316,-6.5,2.545,0.0016,
0.37,-64.4316,-6.5,0.585,-0.000533,
0.372,-64.4334,-6.4,-4.247,-0.002133,
0.374,-64.4292,-6.4,0.235,0.002666,
0.376,-64.4334,-6.5,-0.879,-0.002133,
0.378,-64.4322,-6.5,0.159,0.002755,
0.38,-64.4286,-6.4,1.253,0.004266,
0.382,-64.431,-6.5,1.261,0.0016,
0.384,-64.4334,-6.5,-1.814,0.001688,
0.386,-64.431,-6.4,-1.885,0.002133,
0.388,-64.431,-6.5,0.195,0.001066,
0.39,-64.431,-6.4,-3.008,0.001066,
0.392,-64.4322,-6.5,0.109,0.000533,
0.394,-64.4292,-6.5,-2.612,0.0016,
0.396,-64.4334,-6.5,2.799,0,
0.398,-64.4334,-6.4,-2.083,-0.0032,
0.4,-64.431,-6.5,0.283,0.001066,
0.402,-64.4316,-6.5,0.472,0.0016,
0.404,-64.4298,-6.5,-3.448,0.001066,
0.406,-64.4322,-6.5,1.306,-0.001066,
0.408,-64.4334,-6.4,0.997,-0.001066,
0.41,-64.4322,-6.5,-3.465,-0.001066,
0.412,-64.4365,-6.5,-3.216,-0.007555,
0.414,-64.4298,-6.4,-0.709,0.004355,
0.416,-64.4304,-6.5,1.896,0.0016,
0.418,-64.4334,-6.4,-3.38,-0.0032,
0.42,-64.4347,-6.4,0.586,-0.001155,
0.422,-64.4304,-6.4,0.368,0.000533,
0.424,-64.4322,-6.5,0.63,0.001066,
0.426,-64.4334,-6.4,4.745,0,
0.428,-64.4292,-6.5,0.883,0.002133,
0.43,-64.4334,-6.5,-3.264,-0.001066,
0.432,-64.4322,-6.5,-0.591,-0.001066,
0.434,-64.4298,-6.4,-0.247,0.002666,
0.436,-64.4328,-6.4,-1.379,0,
0.438,-64.4316,-6.4,1.051,-0.0016,
0.44,-64.4298,-6.5,1.959,0.0016,
0.442,-64.4304,-6.5,4.474,0.002666,
0.444,-64.4304,-6.5,-0.206,0.000533,
0.446,-64.4322,-6.5,2.302,0.002222,
0.448,-64.431,-6.5,3.295,0,
0.45,-64.4322,-6.4,1,-0.001066,
