Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3087,-5.4,8.879,-0.007022,
0.002,-0.3368,-7,18.433,-0.010844,
0.004,-0.4277,-7.2,-18.815,-0.053688,
0.006,-0.6066,-7.2,-23.789,-0.098755,
0.008,-0.8831,-6.9,-26.303,-0.151377,
0.01,-1.2706,-6.6,-31.492,-0.205066,
0.012,-1.7846,-6.8,-31.645,-0.271288,
0.014,-2.4352,-6.9,-31.397,-0.339644,
0.016,-3.2293,-7.1,-34.827,-0.408533,
0.018,-4.1625,-7.2,-37.655,-0.479111,
0.02,-5.2318,-7.3,-33.658,-0.547377,
0.022,-6.4397,-7.4,-33.952,-0.617955,
0.024,-7.7916,-7.2,-33.808,-0.689511,
0.026,-9.2937,-7.1,-40.8,-0.768177,
0.028,-10.9673,-7,-48.364,-0.858311,
0.03,-12.7959,-6.7,-39.897,-0.930399,
0.032,-14.7307,-6.8,-15.816,-0.970044,
0.034,-16.7095,-6.7,-18.398,-0.996622,
0.036,-18.8018,-6.6,-32.081,-1.059644,
0.038,-21.0405,-6.3,-42.574,-1.139822,
0.04,-23.496,-5.4,-54.034,-1.250044,
0.042,-26.0161,-6.1,7.462,-1.251022,
0.044,-28.4453,-6.6,25.855,-1.203822,
0.046,-30.8513,-6.5,-2.159,-1.207111,
0.048,-33.3904,-6.3,-45.457,-1.287466,
0.05,-36.0051,-5.7,2.171,-1.300977,
0.052,-38.5161,-5.2,34.922,-1.241333,
0.054,-40.9673,-5.1,7.104,-1.222311,
0.056,-43.4386,-4.7,-5.413,-1.240266,
0.058,-45.8794,-4.2,19.297,-1.210933,
0.06,-48.1975,-3.7,34.18,-1.144711,
0.062,-50.4436,-3.5,10.042,-1.1176,
0.064,-52.6842,-3.2,-1.012,-1.118666,
0.066,-54.8748,-2.7,20.42,-1.081866,
0.068,-56.9329,-2.9,38.275,-1.014044,
0.07,-58.8695,-2.6,21.279,-0.959733,
0.072,-60.739,-2.4,14.764,-0.928266,
0.074,-62.5585,-2.2,13.904,-0.901688,
0.076,-64.2742,-35.2,34.098,-0.837155,
0.078,-65.7714,10.6,46.306,-0.730311,
0.08,-67.1312,-1,30.874,-0.666755,
0.082,-68.3684,-5.3,29.029,-0.604355,
0.084,-69.4738,-12.1,34.37,-0.533866,
0.086,-70.4369,-6.2,24.026,-0.473599,
0.088,-71.2133,-49.5,57.168,-0.361866,
0.09,-71.6057,-52.1,116.771,-0.143733,
0.092,-71.4653,-52.1,124.731,0.116711,
0.094,-71.0552,-46.5,44.886,0.220266,
0.096,-70.6475,-24.3,-14.675,0.192,
0.098,-70.3368,-12.8,-26.957,0.1416,
0.1,-70.158,-18.4,-62.16,0.058044,
0.102,-70.1104,-16.9,-3.721,0.030844,
0.104,-70.1616,-16.2,-31.719,-0.037955,
0.106,-70.2977,-16.2,-21.272,-0.078133,
0.108,-70.4967,-21.8,-12.564,-0.103644,
0.11,-70.7146,-31.2,1.471,-0.109599,
0.112,-70.8843,-39.6,13.447,-0.0792,
0.114,-70.9746,-45,26.01,-0.034133,
0.116,-70.9777,-45.6,24.146,0.009155,
0.118,-70.9124,-41.1,14.361,0.036355,
0.12,-70.8263,-36.2,2.234,0.040177,
0.122,-70.7756,-33.3,-9.992,0.020088,
0.124,-70.7726,-32.1,-11.717,-0.002755,
0.126,-70.8049,-33.6,-5.969,-0.02,
0.128,-70.8507,-37.2,-6.036,-0.025511,
0.13,-70.9008,-41.8,2.224,-0.021155,
0.132,-70.9331,-44.5,3.674,-0.009777,
0.134,-70.9472,-43.9,2.641,-0.006044,
0.136,-70.9404,-42.6,1.133,0.004888,
0.138,-70.9301,-42.1,2.319,0.007022,
0.14,-70.9203,-41.4,-3.034,0.003288,
0.142,-70.905,-39.9,6.421,0.009244,
0.144,-70.8837,-37.9,-0.036,0.009777,
0.146,-70.8574,-36.6,3.906,0.015733,
0.148,-70.8336,-35.4,-1.682,0.015733,
0.15,-70.8171,-34.7,-3.166,0.004355,
0.152,-70.8159,-34.6,-7.512,-0.002666,
0.154,-70.8135,-34.9,2.765,0,
0.156,-70.819,-35.8,-0.358,-0.002755,
0.158,-70.8214,-36.4,2.088,0.001066,
0.16,-70.8275,-36.9,-3.028,-0.0016,
0.162,-70.8342,-37.3,-0.762,-0.005422,
0.164,-70.841,-37.6,0.822,-0.001688,
0.166,-70.8519,-37.9,1.238,-0.003733,
0.168,-70.8648,-38.4,1.601,-0.002222,
0.17,-70.8733,-38.5,3.843,-0.002755,
0.172,-70.8837,-38.3,3.571,-0.003822,
0.174,-70.8812,-38,4.386,0.002222,
0.176,-70.8794,-37.7,-0.344,-0.001066,
0.178,-70.8818,-37.6,-1.588,0.000622,
0.18,-70.8818,-37.9,-3.099,-0.002133,
0.182,-70.8837,-38.3,1.364,-0.004355,
0.184,-70.8782,-38.5,3.485,-0.001066,
0.186,-70.8782,-38.3,-0.372,-0.001066,
0.188,-70.8788,-38.1,2.815,-0.000533,
0.19,-70.877,-38,-3.403,-0.002222,
